galaxy,source_file,beta_mode,beta_raw,beta_formula,beta,beta_clipped,beta_hit_lower,beta_hit_upper,beta_saturation_ratio,beta_z,beta_numerator,beta_denominator,beta_g_choice,beta_sigma_choice,gbar_char_median,gbar_char_logmean,sigma_char_mean,sigma_char_median,sigma_char_rms,n_sigma_positive,use_dimension_proxy,d_eff_proxy,d_eff_ratio,d_eff_g_hat,d_eff_sigma_hat,d_eff_signed_delta,d_eff_response,formula_g0,formula_sigma0,formula_p,formula_q,formula_lambda_beta,formula_d_ref,formula_dim_sensitivity,formula_dim_g_power,formula_dim_sigma_power,formula_d_min,formula_d_max,formula_dim_response_lambda,formula_dim_transition,formula_dim_response_min,formula_dim_response_max,formula_dim_balance_scale,formula_g_suppression_lambda,formula_g_suppression_power,sigma_weight_mode,sigma_weight_value,sigma_weight_u,sigma_weight_v,sigma_weight_lambda,sigma_weight_g_choice,sigma_weight_sigma_choice,structural_mode,sigma_proxy_mode,sigma_damping_mode,sigma_positive_only,D_bg,upsilon_disk,upsilon_bul,rmse_kmps,mae_kmps,mean_absolute_fractional_error,median_absolute_fractional_error,chi_square,reduced_chi_square,n_points_total,n_points_valid,detail_table,plot_path,status,error
CamB,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\CamB_normalized.csv,formula,,1993.5539053779207,1993.5539053779207,1993.5539053779207,False,False,0.9967769526889604,309.2653803978567,,,gbar_char_logmean,sigma_char_rms,262.5817073170732,232.41966823803128,0.02541684412612317,0.0,0.0762505323783695,1,True,3.894548121561656,0.34909556998147956,0.41425024361972157,0.14461292491139346,-0.8945481215616562,0.555390744412052,561.0610296982485,0.5272732878135848,1.0737936939240835,1.0737936939240835,6354.427628566553,3.0,0.85,1.0,1.0,1.5,4.5,0.45,0.35,0.55,1.85,1.0,0.75,1.0,formula,,0.5368968469620418,0.5368968469620418,79.71466382395747,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_soft,False,0.0,1.0,1.0,9.121981089522679,8.311534838269372,0.8617053552917721,1.0,332.8421559904374,41.605269498804674,9,9,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_134320_formula\tables\CamB_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_134320_formula\figures\CamB_rotation_curve.png,ok,
D512-2,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\D512-2_normalized.csv,formula,,1997.5446785663112,1997.5446785663112,1997.5446785663112,False,False,0.9987723392831556,813.5573009539897,,,gbar_char_logmean,sigma_char_rms,206.5490972222222,189.03041345193063,0.23076686117658174,0.23079532736383818,0.23076694085206198,4,True,2.7776305926822835,1.2990212125108418,0.3369159564577057,0.4376609742719389,0.22236940731771648,1.2527735758825695,561.0610296982485,0.5272732878135848,1.0737936939240835,1.0737936939240835,6354.427628566553,3.0,0.85,1.0,1.0,1.5,4.5,0.45,0.35,0.55,1.85,1.0,0.75,1.0,formula,,0.5368968469620418,0.5368968469620418,79.71466382395747,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_soft,False,0.0,1.0,1.0,4.78712439902907,4.539247462209878,0.14007738251937732,0.15196869329404844,5.925654040270376,1.9752180134234587,4,4,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_134320_formula\tables\D512-2_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_134320_formula\figures\D512-2_rotation_curve.png,ok,
D564-8,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\D564-8_normalized.csv,formula,,1994.2495990637444,1994.2495990637444,1994.2495990637444,False,False,0.9971247995318722,346.80183541467966,,,gbar_char_logmean,sigma_char_rms,70.43799836601308,65.81715615091065,0.2985466595603183,0.31028555403162034,0.2995765247944073,6,True,1.6590399512038274,4.843318166425717,0.1173083722929547,0.5681617706002987,1.3409600487961726,1.449577135738627,561.0610296982485,0.5272732878135848,1.0737936939240835,1.0737936939240835,6354.427628566553,3.0,0.85,1.0,1.0,1.5,4.5,0.45,0.35,0.55,1.85,1.0,0.75,1.0,formula,,0.5368968469620418,0.5368968469620418,79.71466382395747,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_soft,False,0.0,1.0,1.0,8.632904389127111,7.357996430561106,0.5522233796522277,0.3097595170519514,188.98188755692973,37.79637751138595,6,6,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_134320_formula\tables\D564-8_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_134320_formula\figures\D564-8_rotation_curve.png,ok,
D631-7,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\D631-7_normalized.csv,formula,,1997.9568290361563,1997.9568290361563,1997.9568290361563,False,False,0.9989784145180781,977.8706062254079,,,gbar_char_logmean,sigma_char_rms,176.89675139275764,177.4202934561785,0.2599275198693164,0.33897459675737973,0.2918130920087487,13,True,2.5242526672050847,1.750152180542522,0.3162228065485126,0.5534380344181554,0.4757473327949153,1.3943014867121626,561.0610296982485,0.5272732878135848,1.0737936939240835,1.0737936939240835,6354.427628566553,3.0,0.85,1.0,1.0,1.5,4.5,0.45,0.35,0.55,1.85,1.0,0.75,1.0,formula,,0.5368968469620418,0.5368968469620418,79.71466382395747,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_soft,False,0.0,1.0,1.0,16.158741689114073,13.422678895607948,0.3453118397317928,0.3322045619902586,564.4753489483652,37.63168992989101,16,16,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_134320_formula\tables\D631-7_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_134320_formula\figures\D631-7_rotation_curve.png,ok,
DDO064,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO064_normalized.csv,formula,,1998.5606450414698,1998.5606450414698,1998.5606450414698,False,False,0.999280322520735,1388.5113141810173,,,gbar_char_logmean,sigma_char_rms,294.89539265251096,254.48699639190355,0.28197711106508005,0.283071997741108,0.28199815967876,14,True,2.8599527206535615,1.179111873022516,0.45358166566794433,0.5348235273744025,0.14004727934643846,1.1710290426856174,561.0610296982485,0.5272732878135848,1.0737936939240835,1.0737936939240835,6354.427628566553,3.0,0.85,1.0,1.0,1.5,4.5,0.45,0.35,0.55,1.85,1.0,0.75,1.0,formula,,0.5368968469620418,0.5368968469620418,79.71466382395747,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_soft,False,0.0,1.0,1.0,9.734022833395212,9.135806147138604,0.47706399238012237,0.21782142591960607,55.85536948584805,4.296566883526773,14,14,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_134320_formula\tables\DDO064_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_134320_formula\figures\DDO064_rotation_curve.png,ok,
DDO154,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO154_normalized.csv,formula,,1997.4970518589382,1997.4970518589382,1997.4970518589382,False,False,0.9987485259294692,798.0577060664432,,,gbar_char_logmean,sigma_char_rms,113.39115958443993,117.12170534208285,0.359308423429112,0.38374522110788234,0.36583742821541715,12,True,1.9790767819450834,3.3237249899158288,0.20875038390221753,0.6938288676303234,1.0209232180549166,1.4473735705985833,561.0610296982485,0.5272732878135848,1.0737936939240835,1.0737936939240835,6354.427628566553,3.0,0.85,1.0,1.0,1.5,4.5,0.45,0.35,0.55,1.85,1.0,0.75,1.0,formula,,0.5368968469620418,0.5368968469620418,79.71466382395747,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_soft,False,0.0,1.0,1.0,10.501223245442661,9.569619628658605,0.2626765187436733,0.2779500523438825,12261.275394367609,1114.6613994879644,12,12,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_134320_formula\tables\DDO154_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_134320_formula\figures\DDO154_rotation_curve.png,ok,
DDO161,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO161_normalized.csv,formula,,1997.336350448353,1997.336350448353,1997.336350448353,False,False,0.9986681752241765,749.8495247669834,,,gbar_char_logmean,sigma_char_rms,203.02229299363057,210.89414656458226,0.17861556412270493,0.22164563818847183,0.19171692838855783,31,True,3.028241827665872,0.9673202305043733,0.375884503470159,0.3636006845397761,-0.0282418276658718,0.9637676811404827,561.0610296982485,0.5272732878135848,1.0737936939240835,1.0737936939240835,6354.427628566553,3.0,0.85,1.0,1.0,1.5,4.5,0.45,0.35,0.55,1.85,1.0,0.75,1.0,formula,,0.5368968469620418,0.5368968469620418,79.71466382395747,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_soft,False,0.0,1.0,1.0,16.855259280529726,13.296606211142496,0.23232139783255,0.2796265095986222,6425.522876079355,214.18409586931185,31,31,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_134320_formula\tables\DDO161_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_134320_formula\figures\DDO161_rotation_curve.png,ok,
DDO168,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO168_normalized.csv,formula,,1998.6223039272888,1998.6223039272888,1998.6223039272888,False,False,0.9993111519636444,1450.6989919730486,,,gbar_char_logmean,sigma_char_rms,349.09260200070753,336.41905162291397,0.21831106652735222,0.2412479089911327,0.22220382570884276,10,True,3.2997540008852613,0.7028218974257878,0.5996122236539007,0.4214206007481303,-0.2997540008852613,0.6875114850143607,561.0610296982485,0.5272732878135848,1.0737936939240835,1.0737936939240835,6354.427628566553,3.0,0.85,1.0,1.0,1.5,4.5,0.45,0.35,0.55,1.85,1.0,0.75,1.0,formula,,0.5368968469620418,0.5368968469620418,79.71466382395747,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_soft,False,0.0,1.0,1.0,13.047140657471367,11.287551150379429,0.2689527991908995,0.3137209879322666,530.3654944017358,58.92949937797064,10,10,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_134320_formula\tables\DDO168_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_134320_formula\figures\DDO168_rotation_curve.png,ok,
DDO170,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO170_normalized.csv,formula,,1997.2108148600448,1997.2108148600448,1997.2108148600448,False,False,0.9986054074300225,716.0553045582969,,,gbar_char_logmean,sigma_char_rms,145.149332915392,133.28663783148613,0.29058404294972695,0.29149020839882456,0.29059434784435645,8,True,2.284693532764689,2.319930017324326,0.23756174600679492,0.5511266255291408,0.7153064672353109,1.4351457386916013,561.0610296982485,0.5272732878135848,1.0737936939240835,1.0737936939240835,6354.427628566553,3.0,0.85,1.0,1.0,1.5,4.5,0.45,0.35,0.55,1.85,1.0,0.75,1.0,formula,,0.5368968469620418,0.5368968469620418,79.71466382395747,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_soft,False,0.0,1.0,1.0,16.721900119160278,15.466286397117964,0.2798858181543471,0.29792861619653654,1861.0156063932773,265.85937234189674,8,8,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_134320_formula\tables\DDO170_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_134320_formula\figures\DDO170_rotation_curve.png,ok,
ESO079-G014,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\ESO079-G014_normalized.csv,formula,,1999.3901283371556,1999.3901283371556,1999.3901283371556,False,False,0.9996950641685778,3278.378469023867,,,gbar_char_logmean,sigma_char_rms,1608.9090643776824,1661.706405566926,0.0857560916484626,0.10967098172824938,0.09612276287881712,12,True,4.5,0.061552583458732726,2.9617213058989855,0.1823015978628542,-1.5,0.5501704653494427,561.0610296982485,0.5272732878135848,1.0737936939240835,1.0737936939240835,6354.427628566553,3.0,0.85,1.0,1.0,1.5,4.5,0.45,0.35,0.55,1.85,1.0,0.75,1.0,formula,,0.5368968469620418,0.5368968469620418,79.71466382395747,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_soft,False,0.0,1.0,1.0,28.069928077073055,23.09583775045795,0.16280415602222628,0.19057622505295865,1583.7078300670132,113.12198786192951,15,15,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_134320_formula\tables\ESO079-G014_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_134320_formula\figures\ESO079-G014_rotation_curve.png,ok,
