biz_name,AName,NED,RA_match_deg,DE_match_deg,nearest_sparc_name,nearest_sep_deg
RFGC0095,,NED,6.011458,16.486111,NGC0100,0.00044525503033775784
RFGC0139,,NED,9.338667,29.149083,UGC00128,8.443896573065517
RFGC0176,,NED,11.785333,30.341306,UGC00128,8.965049606160076
RFGC0183,,NED,12.258958,28.217528,UGC00128,10.759793921720815
RFGC0206,,NED,13.361583,29.270083,UGC00128,10.699439491802451
RFGC0282,,NED,18.593583,50.227083,UGC00731,0.856748764860661
RFGC0355,,NED,24.514917,32.493944,UGC01281,2.4188279909878654
RFGC0363,,NED,25.116417,34.625667,UGC01281,2.777148294351685
RFGC0420,,NED,29.77875,36.062611,NGC0801,2.382068216123385
RFGC0444,,NED,31.231667,43.154806,NGC0891,3.333502819868471
RFGC0485,,NED,33.845167,18.676389,UGC01230,9.723463633769958
RFGC0504,,NED,35.379708,14.198083,UGC01230,14.122845547614743
RFGC0517,,NED,36.313708,45.451028,NGC0891,3.1407419181522753
RFGC0507,,NED,35.452,16.874111,UGC01230,12.084355275790625
RFGC0538,,NED,37.475625,25.256139,UGC02455,6.740008335013238
RFGC0544,,NED,37.722125,43.34975,NGC0891,1.8273530547690184
RFGC0551,,NED,38.31025,25.505861,UGC02455,5.985037088140976
RFGC0561,,NED,39.250833,25.625,UGC02455,5.141364183884423
RFGC0586,,NED,40.934333,32.496028,UGC02023,2.4033639823008563
RFGC0603,,NED,42.572917,-8.597222,NGC1090,8.401587676395865
RFGC0609,,NED,42.994167,-33.34,NGC0300,24.117752203389777
RFGC0642,,NED,45.152167,49.042778,NGC1003,8.993904692804087
RFGC0653,,NED,45.639292,46.438222,NGC1003,6.9745615166664
RFGC0671,,NED,47.4035,18.500889,UGC02455,7.120265336614164
RFGC0702,,NED,49.974583,-3.593611,NGC1090,8.974683422053065
RFGC0722,,NED,51.354167,-16.235,NGC1090,18.637939431982243
RFGC0744,,NED,53.246458,15.874361,UGC02455,12.173295550399734
RFGC0757,,NED,54.867917,13.393056,UGC02455,15.09655202494787
RFGC0765,,NED,55.399167,16.020528,UGC02455,13.443053038173147
RFGC0826,,NED,64.625,-14.99,NGC1090,27.077027711153484
RFGC0882,,NED,70.11,-63.1075,NGC1705,9.910284455048924
RFGC0895,,NED,71.564583,76.418444,UGC02916,5.566751036720278
