galaxy,source_file,beta_mode,beta_raw,beta_formula,beta,beta_clipped,beta_hit_lower,beta_hit_upper,beta_saturation_ratio,beta_z,beta_numerator,beta_denominator,beta_g_choice,beta_sigma_choice,gbar_char_median,gbar_char_logmean,sigma_char_mean,sigma_char_median,sigma_char_rms,n_sigma_positive,use_dimension_proxy,d_eff_proxy,d_eff_ratio,d_eff_g_hat,d_eff_sigma_hat,d_eff_signed_delta,d_eff_response,formula_g0,formula_sigma0,formula_p,formula_q,formula_lambda_beta,formula_d_ref,formula_dim_sensitivity,formula_dim_g_power,formula_dim_sigma_power,formula_d_min,formula_d_max,formula_dim_response_lambda,formula_dim_transition,formula_dim_response_min,formula_dim_response_max,formula_dim_balance_scale,formula_g_suppression_lambda,formula_g_suppression_power,sigma_weight_mode,sigma_weight_value,sigma_weight_u,sigma_weight_v,sigma_weight_lambda,sigma_weight_g_choice,sigma_weight_sigma_choice,structural_mode,sigma_proxy_mode,sigma_damping_mode,sigma_positive_only,D_bg,upsilon_disk,upsilon_bul,rmse_kmps,mae_kmps,mean_absolute_fractional_error,median_absolute_fractional_error,chi_square,reduced_chi_square,n_points_total,n_points_valid,detail_table,plot_path,status,error
CamB,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\CamB_normalized.csv,formula,,1999.2336496664616,2000.0,2000.0,False,True,0.9996168248332308,2608.7724662891787,,,gbar_char_logmean,sigma_char_rms,262.5817073170732,232.41966823803128,0.22626814569341314,0.2468222347933324,0.23012636866692585,1,True,2.933495468386977,1.0535807860187223,0.41425024361972157,0.43644609728131345,0.06650453161302305,1.0725033418728886,561.0610296982485,0.5272732878135848,1.0737936939240835,1.0737936939240835,6354.427628566553,3.0,0.85,1.0,1.0,1.5,4.5,0.45,0.35,0.55,1.85,1.0,0.75,1.0,formula,,0.5368968469620418,0.5368968469620418,79.71466382395747,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_soft,False,0.0,1.0,1.0,9.127368531701077,8.318626487684014,0.86209778231042,1.0,333.23542525394816,41.65442815674352,9,9,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_131906_formula\tables\CamB_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_131906_formula\figures\CamB_rotation_curve.png,ok,
D512-2,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\D512-2_normalized.csv,formula,,1999.2359328047448,2000.0,2000.0,False,True,0.9996179664023724,2616.5708267807277,,,gbar_char_logmean,sigma_char_rms,206.5490972222222,189.03041345193063,0.23076686117658174,0.23079532736383818,0.23076694085206198,4,True,2.671837157050672,1.2990212125108418,0.3369159564577057,0.4376609742719389,0.32816284294932796,1.3387673041966337,561.0610296982485,0.5272732878135848,1.0737936939240835,1.0737936939240835,6354.427628566553,3.0,0.85,1.0,1.0,1.5,4.5,0.45,0.35,0.55,1.85,1.0,0.75,1.0,formula,,0.5368968469620418,0.5368968469620418,79.71466382395747,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_soft,False,0.0,1.0,1.0,4.782018108575688,4.534991857325447,0.13999885516141775,0.15207311583165822,5.919489012483321,1.9731630041611068,4,4,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_131906_formula\tables\D512-2_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_131906_formula\figures\D512-2_rotation_curve.png,ok,
D564-8,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\D564-8_normalized.csv,formula,,1999.4226029394163,2000.0,2000.0,False,True,0.9997113014697081,3462.82088952398,,,gbar_char_logmean,sigma_char_rms,70.43799836601308,65.81715615091065,0.2985466595603183,0.31028555403162034,0.2995765247944073,6,True,1.692146030963913,4.843318166425717,0.1173083722929547,0.5681617706002987,1.307853969036087,1.7931004632755285,561.0610296982485,0.5272732878135848,1.0737936939240835,1.0737936939240835,6354.427628566553,3.0,0.85,1.0,1.0,1.5,4.5,0.45,0.35,0.55,1.85,1.0,0.75,1.0,formula,,0.5368968469620418,0.5368968469620418,79.71466382395747,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_soft,False,0.0,1.0,1.0,8.660158316709975,7.390417589351492,0.5541488084890195,0.3113333586863193,190.09100301616107,38.018200603232216,6,6,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_131906_formula\tables\D564-8_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_131906_formula\figures\D564-8_rotation_curve.png,ok,
D631-7,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\D631-7_normalized.csv,formula,,1999.4425302117968,2000.0,2000.0,False,True,0.9997212651058984,3586.638365921515,,,gbar_char_logmean,sigma_char_rms,176.89675139275764,177.4202934561785,0.2986639337439228,0.33897459675737973,0.3095400177092133,13,True,2.276667432415598,1.8564696094673803,0.3162228065485126,0.5870580301777961,0.7233325675844018,1.6210044215126014,561.0610296982485,0.5272732878135848,1.0737936939240835,1.0737936939240835,6354.427628566553,3.0,0.85,1.0,1.0,1.5,4.5,0.45,0.35,0.55,1.85,1.0,0.75,1.0,formula,,0.5368968469620418,0.5368968469620418,79.71466382395747,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_soft,False,0.0,1.0,1.0,16.151759928954284,13.416852996144272,0.345209120152416,0.33202140603368197,563.94831388867,37.59655425924466,16,16,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_131906_formula\tables\D631-7_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_131906_formula\figures\D631-7_rotation_curve.png,ok,
DDO064,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO064_normalized.csv,formula,,1999.3838795907247,2000.0,2000.0,False,True,0.9996919397953624,3245.1187292155696,,,gbar_char_logmean,sigma_char_rms,294.89539265251096,254.48699639190355,0.28197711106508005,0.283071997741108,0.28199815967876,14,True,2.791291781669699,1.179111873022516,0.45358166566794433,0.5348235273744025,0.20870821833030107,1.2227669158061514,561.0610296982485,0.5272732878135848,1.0737936939240835,1.0737936939240835,6354.427628566553,3.0,0.85,1.0,1.0,1.5,4.5,0.45,0.35,0.55,1.85,1.0,0.75,1.0,formula,,0.5368968469620418,0.5368968469620418,79.71466382395747,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_soft,False,0.0,1.0,1.0,9.734221416285488,9.135752153777768,0.4772318092695143,0.21769424896654252,55.864942288389294,4.297303252953022,14,14,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_131906_formula\tables\DDO064_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_131906_formula\figures\DDO064_rotation_curve.png,ok,
DDO154,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO154_normalized.csv,formula,,1999.5340765370559,2000.0,2000.0,False,True,0.999767038268528,4291.550513258637,,,gbar_char_logmean,sigma_char_rms,113.39115958443993,117.12170534208285,0.359308423429112,0.38374522110788234,0.36583742821541715,12,True,1.8446365492009016,3.3237249899158288,0.20875038390221753,0.6938288676303234,1.1553634507990984,1.7671141891848823,561.0610296982485,0.5272732878135848,1.0737936939240835,1.0737936939240835,6354.427628566553,3.0,0.85,1.0,1.0,1.5,4.5,0.45,0.35,0.55,1.85,1.0,0.75,1.0,formula,,0.5368968469620418,0.5368968469620418,79.71466382395747,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_soft,False,0.0,1.0,1.0,10.492197974537156,9.561830184249425,0.2625704246907605,0.2776341402431731,12231.471377600386,1111.9519434182168,12,12,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_131906_formula\tables\DDO154_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_131906_formula\figures\DDO154_rotation_curve.png,ok,
DDO161,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO161_normalized.csv,formula,,1999.0677132713886,1950.1321974726902,1950.1321974726902,False,False,0.9995338566356943,2144.2627594292103,,,gbar_char_logmean,sigma_char_rms,203.02229299363057,210.89414656458226,0.17861556412270493,0.22164563818847183,0.19171692838855783,31,True,3.04235148223836,0.9673202305043733,0.375884503470159,0.3636006845397761,-0.04235148223835994,0.9755208312985969,561.0610296982485,0.5272732878135848,1.0737936939240835,1.0737936939240835,6354.427628566553,3.0,0.85,1.0,1.0,1.5,4.5,0.45,0.35,0.55,1.85,1.0,0.75,1.0,formula,,0.5368968469620418,0.5368968469620418,79.71466382395747,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_soft,False,0.0,1.0,1.0,16.948490766028698,13.366680665946616,0.2329917218219318,0.2818197081681259,6495.67974517047,216.522658172349,31,31,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_131906_formula\tables\DDO161_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_131906_formula\figures\DDO161_rotation_curve.png,ok,
DDO168,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO168_normalized.csv,formula,,1999.2042830962428,1541.2839964558302,1541.2839964558302,False,False,0.9996021415481213,2512.4567212986854,,,gbar_char_logmean,sigma_char_rms,349.09260200070753,336.41905162291397,0.21831106652735222,0.2412479089911327,0.22220382570884276,10,True,3.4366312101594017,0.7028218974257878,0.5996122236539007,0.4214206007481303,-0.43663121015940165,0.7709487266947956,561.0610296982485,0.5272732878135848,1.0737936939240835,1.0737936939240835,6354.427628566553,3.0,0.85,1.0,1.0,1.5,4.5,0.45,0.35,0.55,1.85,1.0,0.75,1.0,formula,,0.5368968469620418,0.5368968469620418,79.71466382395747,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_soft,False,0.0,1.0,1.0,14.109311874517433,11.969002876228084,0.2702910923826558,0.3440772623482802,642.955862354532,71.43954026161467,10,10,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_131906_formula\tables\DDO168_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_131906_formula\figures\DDO168_rotation_curve.png,ok,
DDO170,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO170_normalized.csv,formula,,1999.403422848468,2000.0,2000.0,False,True,0.9997017114242339,3351.4582610373686,,,gbar_char_logmean,sigma_char_rms,145.149332915392,133.28663783148613,0.29058404294972695,0.29149020839882456,0.29059434784435645,8,True,2.0790095997241105,2.319930017324326,0.23756174600679492,0.5511266255291408,0.9209904002758895,1.7044371744520501,561.0610296982485,0.5272732878135848,1.0737936939240835,1.0737936939240835,6354.427628566553,3.0,0.85,1.0,1.0,1.5,4.5,0.45,0.35,0.55,1.85,1.0,0.75,1.0,formula,,0.5368968469620418,0.5368968469620418,79.71466382395747,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_soft,False,0.0,1.0,1.0,16.71282740794639,15.458629263799919,0.2797739111625347,0.29775077057609406,1858.9583838938067,265.56548341340095,8,8,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_131906_formula\tables\DDO170_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_131906_formula\figures\DDO170_rotation_curve.png,ok,
ESO079-G014,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\ESO079-G014_normalized.csv,formula,,808.5667500252595,460.93789067022436,460.93789067022436,False,False,0.9991018577998987,1112.4094354849271,,,gbar_char_logmean,sigma_char_rms,1608.9090643776824,1661.706405566926,0.10174393597894917,0.10967098172824938,0.1040480457495243,12,True,4.470282687620478,0.06662756903679264,2.9617213058989855,0.19733229077652428,-1.470282687620478,0.5700678276169837,561.0610296982485,0.5272732878135848,1.0737936939240835,1.0737936939240835,6354.427628566553,3.0,0.85,1.0,1.0,1.5,4.5,0.45,0.35,0.55,1.85,1.0,0.75,1.0,formula,,0.5368968469620418,0.5368968469620418,79.71466382395747,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_soft,False,0.0,1.0,1.0,28.693558836955496,24.03246999802823,0.17631673307874002,0.19525470157796943,1637.8630032299775,116.99021451642696,15,15,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_131906_formula\tables\ESO079-G014_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_131906_formula\figures\ESO079-G014_rotation_curve.png,ok,
