galaxy,n_points,n_segments,d_gal_mean,sigma0_abs_max,sigma1_abs_max,mean_beta_i,mean_delta_d_eff_i,mean_g_trans,rmse_bar_only_kms,rmse_desc_kms,mae_bar_only_kms,mae_desc_kms,reduced_chi2_bar_only,reduced_chi2_desc,rmse_improvement_kms,mae_improvement_kms
NGC4068,6,1,3.0,0.0,0.0,2.5,0.0,0.0,6.0332781675934655,6.0332781675934655,4.801296271137378,4.801296271137378,5.445130931015962,5.445130931015962,0.0,0.0
UGCA281,7,1,3.0,0.0,0.0,2.5,0.0,0.0,6.731165308050977,6.731165308050977,6.138508437910452,6.138508437910452,18.04988983802662,18.04988983802662,0.0,0.0
UGC08837,7,2,2.8524943516914676,4.440892098500626e-16,0.0,2.4999999999999964,4.440892098500626e-16,1.3158794075130046e-13,8.490305533776496,8.49030553377649,6.9506867492881765,6.950686749288173,9.31837127870333,9.318371278703319,5.329070518200751e-15,3.552713678800501e-15
UGC07089,10,3,2.592194752702695,0.2958969404825429,0.3911116153789971,1.2978069851004463,0.29247930188481613,22.879581329113034,15.229946408036618,14.179469821846002,12.303559329756132,11.281479633624816,7.696393487154574,6.427099085050167,1.0504765861906158,1.0220796961313159
NGC4010,10,3,2.552514382838263,0.6025143828382626,0.7104066097888975,1.1736870859506452,0.5095684821761433,66.11819737483333,17.55139775692406,17.334221883215296,15.401422451744116,14.944796561196759,14.345191584623803,13.863801335911313,0.217175873708765,0.45662589054735747
UGC01281,21,5,2.7522516091874434,0.3607081934132359,0.4968290999587919,0.7629909913468861,0.38941478562403126,9.296927628454664,18.640470373770814,17.886410850735324,15.743638018514199,15.16173972321018,18.048624607225378,16.416108600579363,0.7540595230354903,0.5818982953040184
DDO168,9,2,2.5830251175718533,0.0,0.0,2.5,0.0,0.0,19.024813323289894,19.024813323289894,15.826201390734967,15.826201390734967,128.81094172142923,128.81094172142923,0.0,0.0
UGC05750,10,2,2.8581164791335603,0.0,0.0,2.5,0.0,0.0,21.177236001939548,21.177236001939548,17.68465137815956,17.68465137815956,8.104833924877713,8.104833924877713,0.0,0.0
NGC3917,14,4,2.796491955934579,0.8464919559345789,0.7759997391596887,0.5954297044511282,0.7339304635816555,38.5649250835659,26.275307983859516,25.57426990154669,23.910904002915338,23.01115575327247,39.657952050238954,37.11355414812788,0.7010380823128273,0.8997482496428688
NGC0100,17,5,2.6735715984191133,0.7235715984191131,1.0847738404078675,0.49649221344300515,0.813344596646877,12.895329014563993,27.477769360087667,27.34305633039039,22.47593038297263,22.224781601187644,22.75170568590904,22.426260373033443,0.13471302969727716,0.25114878178498756
UGC04278,21,5,3.497948312726774,0.7868620924168255,1.018304769469613,0.19847511659869324,0.8911660892550453,6.223943660505138,27.733839595268694,27.37255855434899,23.36036661759344,23.040694434825884,30.149033019702177,28.968673469922386,0.36128104091970314,0.3196721827675546
UGC06917,10,2,2.6837151402378243,4.440892098500626e-16,0.0,2.4999999999999964,4.440892098500626e-16,3.224697519420695e-13,30.596331189780688,30.596331189780667,28.244821977626014,28.244821977626003,57.79119508699503,57.791195086994975,2.1316282072803006e-14,1.0658141036401503e-14
NGC4183,19,5,2.7072768484367566,0.7572768484367565,0.9717267126823903,0.5709620514619844,0.7344913972967855,17.025228285060656,33.32695447458726,32.5111280051603,31.374016102312698,30.575511132257972,35.62939113587394,33.83122772895412,0.815826469426959,0.7985049700547258
NGC2683,10,2,1.95,2.220446049250313e-16,0.0,2.4999999999999982,2.220446049250313e-16,3.116896068245647e-13,34.69083060476303,34.69083060476302,30.871646941735946,30.871646941735946,15.1749967952912,15.174996795291195,7.105427357601002e-15,0.0
IC4202,28,5,2.5890607066984446,0.6390607066984444,0.7103573881444634,0.4993571022351948,0.6357945679271569,143.15544155446509,37.32068988815855,35.94906173967992,25.941003196887227,23.52570948697399,68.3607217596409,66.2879779447237,1.371628148478628,2.415293709913236
UGC05721,19,5,2.8529296238923685,0.9029296238923683,1.8020827894526779,0.4612863141215976,1.131407437258747,15.74693182212088,36.852187353133786,36.67613297148525,32.95812890387441,32.75580542241229,64.97833429318933,64.32844494224987,0.17605438164853382,0.2023234814621233
NGC2998,11,3,2.617673212880456,0.5375826589665396,0.6496831607351634,1.162933394346944,0.4704889410796502,58.74792092371797,37.33173037461076,37.05635480361328,31.907527665370004,32.047396798032054,200.42843511566008,195.69679782136623,0.27537557099747545,-0.13986913266204937
NGC2403,69,5,2.478888403399558,0.528888403399558,0.42811593848196106,0.6121940892511198,0.47025047603732234,36.73310807977621,38.14020035207019,37.28360956295544,26.9481844126792,26.439317668994036,2117.2026111001674,1964.8719213890636,0.8565907891147475,0.5088667436851644
NGC3198,39,5,2.613380412086821,0.6633804120868207,0.8426910288813967,0.2603492967079127,0.7860848336851682,11.119885753001808,38.233093369686515,37.67885016195515,28.66609111276689,28.263023105864313,308.0344533964537,298.7050404233063,0.5542432077313677,0.4030680069025756
UGC08490,26,5,2.5775520154608182,1.4724479845391816,2.0999999999999996,0.6838695875720011,1.3943836203520061,9.909872065508916,38.11435670120881,37.93067931213795,36.39149888289967,36.159645627056754,110.95778925072966,109.89092988472906,0.18367738907086562,0.23185325584291405
UGC05986,13,3,2.509789183607202,0.5597891836072018,0.5597891836072022,1.68662218735873,0.3731927890714683,1.3647414116489454,39.21030770006691,39.06728902607005,35.005928290617334,34.8976783925924,159.98877964927615,159.0548056183252,0.1430186739968633,0.1082498980249369
NGC4013,32,5,1.9915414047465507,2.058458595253449,2.0999999999999996,0.8716246482005425,1.4783082809493098,32.214372204554806,39.77498515690112,39.97600831219735,33.98487619687046,34.18418753568422,63.22861127015683,64.75546583399108,-0.20102315529623382,-0.1993113388137573
NGC3769,10,3,2.052525530981769,0.5335869038409351,0.6361124348227039,1.2010927674141854,0.45825013354239214,25.95190070318421,41.03929160632841,40.76662039553239,37.68828076383251,37.38088614291888,26.748521752640777,25.734284210893627,0.27267121079601964,0.3073946209136267
NGC4157,14,4,1.9500000000000002,1.0499999999999998,1.0499999999999998,1.2694432908674207,0.7874999999999999,2.466063707495952,41.47400894099612,41.15782848167331,36.94523856803081,36.634861689943186,22.518587028159978,22.267272885890193,0.31618045932280836,0.3103768780876237
