galaxy,source_file,beta_mode,beta,a_newton_source,rmse_kmps,mean_absolute_fractional_error,chi2,n_points,status,error
F563-V1_normalized,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F563-V1_normalized.csv,structural,,,,,,,failed,"""abar에 해당하는 열을 찾지 못했습니다. 현재 열 목록: ['galaxy', 'r_kpc', 'v_obs_kmps', 'v_err_kmps', 'v_gas_kmps', 'v_disk_kmps', 'v_bul_kmps', 'a_obs_kmps2_per_kpc']"""
F563-V2_normalized,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F563-V2_normalized.csv,structural,,,,,,,failed,"""abar에 해당하는 열을 찾지 못했습니다. 현재 열 목록: ['galaxy', 'r_kpc', 'v_obs_kmps', 'v_err_kmps', 'v_gas_kmps', 'v_disk_kmps', 'v_bul_kmps', 'a_obs_kmps2_per_kpc']"""
F565-V2_normalized,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F565-V2_normalized.csv,structural,,,,,,,failed,"""abar에 해당하는 열을 찾지 못했습니다. 현재 열 목록: ['galaxy', 'r_kpc', 'v_obs_kmps', 'v_err_kmps', 'v_gas_kmps', 'v_disk_kmps', 'v_bul_kmps', 'a_obs_kmps2_per_kpc']"""
F567-2_normalized,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F567-2_normalized.csv,structural,,,,,,,failed,"""abar에 해당하는 열을 찾지 못했습니다. 현재 열 목록: ['galaxy', 'r_kpc', 'v_obs_kmps', 'v_err_kmps', 'v_gas_kmps', 'v_disk_kmps', 'v_bul_kmps', 'a_obs_kmps2_per_kpc']"""
F568-1_normalized,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F568-1_normalized.csv,structural,,,,,,,failed,"""abar에 해당하는 열을 찾지 못했습니다. 현재 열 목록: ['galaxy', 'r_kpc', 'v_obs_kmps', 'v_err_kmps', 'v_gas_kmps', 'v_disk_kmps', 'v_bul_kmps', 'a_obs_kmps2_per_kpc']"""
F568-3_normalized,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F568-3_normalized.csv,structural,,,,,,,failed,"""abar에 해당하는 열을 찾지 못했습니다. 현재 열 목록: ['galaxy', 'r_kpc', 'v_obs_kmps', 'v_err_kmps', 'v_gas_kmps', 'v_disk_kmps', 'v_bul_kmps', 'a_obs_kmps2_per_kpc']"""
F568-V1_normalized,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F568-V1_normalized.csv,structural,,,,,,,failed,"""abar에 해당하는 열을 찾지 못했습니다. 현재 열 목록: ['galaxy', 'r_kpc', 'v_obs_kmps', 'v_err_kmps', 'v_gas_kmps', 'v_disk_kmps', 'v_bul_kmps', 'a_obs_kmps2_per_kpc']"""
F571-8_normalized,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F571-8_normalized.csv,structural,,,,,,,failed,"""abar에 해당하는 열을 찾지 못했습니다. 현재 열 목록: ['galaxy', 'r_kpc', 'v_obs_kmps', 'v_err_kmps', 'v_gas_kmps', 'v_disk_kmps', 'v_bul_kmps', 'a_obs_kmps2_per_kpc']"""
F571-V1_normalized,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F571-V1_normalized.csv,structural,,,,,,,failed,"""abar에 해당하는 열을 찾지 못했습니다. 현재 열 목록: ['galaxy', 'r_kpc', 'v_obs_kmps', 'v_err_kmps', 'v_gas_kmps', 'v_disk_kmps', 'v_bul_kmps', 'a_obs_kmps2_per_kpc']"""
F574-1_normalized,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F574-1_normalized.csv,structural,,,,,,,failed,"""abar에 해당하는 열을 찾지 못했습니다. 현재 열 목록: ['galaxy', 'r_kpc', 'v_obs_kmps', 'v_err_kmps', 'v_gas_kmps', 'v_disk_kmps', 'v_bul_kmps', 'a_obs_kmps2_per_kpc']"""
