r_kpc,v_obs_kms,v_vis_kms,v_err_kms,galaxy,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc,matched_sparc_name,matched_sparc_name_norm,included_source_catalog,secondary_source_catalog,duplicate_flag,duplicate_status,source_object_name_primary,source_object_name_secondary,structure_2002_preferred_name,structure_2002_catalog_name_normalized,structure_2002_RFGC_int,structure_2002_Dist,structure_2002_Re,structure_2002_Z0,structure_2002_z0_over_re,structure_2002_S0,structure_2002_RAJ2000_deg,structure_2002_DEJ2000_deg,structure_2002_Note,structure_2002_has_ned_link_flag,structure_2002_has_simbad_link_flag,structure_2002_source_catalog,structure_2002__Glon,structure_2002__Glat,structure_2002__RAJ2000,structure_2002__DEJ2000,structure_2002__RAB1950,structure_2002__DEB1950,structure_2002__Elon2000,structure_2002__Elat2000,structure_2002_RFGC,structure_2002__RA,structure_2002__DE,structure_2002_NED,structure_2002_Simbad,structure_2002_biz_name,structure_2002_biz_name_norm,structure_2002_biz_catalog_token,structure_2002_RA_match_deg,structure_2002_DE_match_deg,structure_2002_biz_aname_norm,structure_2002_biz_aname_token,structure_2002_biz_ned_norm,structure_2002_biz_ned_token,structure_2002_matched,structure_2002_match_reason,structure_2002_matched_sparc_name,structure_2002_matched_sparc_index,structure_2002_matched_sep_deg,structure_2002___source_catalog__,h_kpc,segment_index,Dw_i,sigma_i,beta_i,source_core_i,info_source_i,I_struct_i,gamma_topo,mean_dw_pert,mean_sigma,mean_beta,r_scale,factor_dw,factor_sigma,factor_rscale,factor_beta,gamma_raw,g_topo_km2s2_per_kpc,v_struct_kms,v_topo_total_kms,rotation_residual_topo_kms,rotation_residual_vis_only_kms
13.44,310.0,277.98028779033956,20.4,ESO563-G021,0.4,277.98,0.0,7150.297619047619,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,0.35,3,2.003279495107795,0.003992083498712162,0.982016095767664,0.0072715786065069565,0.0071408072332296325,0.36477002500437106,3062.5479825502034,0.008788424053411337,0.005749287926006286,0.9749421862207205,4.545891879704271,0.29294746848037795,0.5749287927006287,1.8183567518821087,1.0,3062.5479825502034,6.184484526532849,9.116988101154979,278.12975366191336,31.870246338086645,32.01971220966044
15.18,310.0,282.2671334038024,16.1,ESO563-G021,3.11,282.25,0.0,6330.698287220026,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,0.35,3,2.003279495107795,0.003992083498712162,0.982016095767664,0.0072715786065069565,0.0071408072332296325,0.36477002500437106,3062.5479825502034,0.008788424053411337,0.005749287926006286,0.9749421862207205,4.545891879704271,0.29294746848037795,0.5749287927006287,1.8183567518821087,1.0,3062.5479825502034,4.8479541252528895,8.578574684721167,282.39746199925617,27.602538000743834,27.732866596197596
16.83,314.0,283.7363587910439,13.5,ESO563-G021,15.18,283.33,0.0,5858.348187759953,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,0.35,3,2.003279495107795,0.003992083498712162,0.982016095767664,0.0072715786065069565,0.0071408072332296325,0.36477002500437106,3062.5479825502034,0.008788424053411337,0.005749287926006286,0.9749421862207205,4.545891879704271,0.29294746848037795,0.5749287927006287,1.8183567518821087,1.0,3062.5479825502034,3.9439719065878953,8.147211006711085,283.85330427385884,30.14669572614116,30.263641208956074
18.56,317.0,277.4176075882712,12.7,ESO563-G021,22.91,276.47,0.0,5414.27801724138,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,0.35,3,2.003279495107795,0.003992083498712162,0.982016095767664,0.0072715786065069565,0.0071408072332296325,0.36477002500437106,3062.5479825502034,0.008788424053411337,0.005749287926006286,0.9749421862207205,4.545891879704271,0.29294746848037795,0.5749287927006287,1.8183567518821087,1.0,3062.5479825502034,3.2429936696801263,7.758219029472108,277.52606897823006,39.47393102176994,39.58239241172879
20.3,319.0,274.1903712751416,10.4,ESO563-G021,33.06,272.19,0.0,5012.857142857143,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,0.35,3,2.003279495107795,0.003992083498712162,0.982016095767664,0.0072715786065069565,0.0071408072332296325,0.36477002500437106,3062.5479825502034,0.008788424053411337,0.005749287926006286,0.9749421862207205,4.545891879704271,0.29294746848037795,0.5749287927006287,1.8183567518821087,1.0,3062.5479825502034,2.7108779736754682,7.418276273206061,274.29070440477125,44.70929559522875,44.809628724858385
23.68,317.0,274.2245512349323,9.3,ESO563-G021,39.67,271.34,0.0,4243.623310810811,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,0.35,4,2.0019365354797065,0.0013429596280882805,0.9939136480701711,0.0032794951077947943,0.003259534946416603,0.39247607204891216,3062.5479825502034,0.008788424053411337,0.005749287926006286,0.9749421862207205,4.545891879704271,0.29294746848037795,0.5749287927006287,1.8183567518821087,1.0,3062.5479825502034,2.1435454188101777,7.124545986757683,274.3170859708112,42.682914029188794,42.77544876506772
25.41,317.0,265.4585180400132,7.23,ESO563-G021,44.98,261.62,0.0,3954.7028728846913,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,0.35,4,2.0019365354797065,0.0013429596280882805,0.9939136480701711,0.0032794951077947943,0.003259534946416603,0.39247607204891216,3062.5479825502034,0.008788424053411337,0.005749287926006286,0.9749421862207205,4.545891879704271,0.29294746848037795,0.5749287927006287,1.8183567518821087,1.0,3062.5479825502034,1.8616016536245545,6.8777393101658,265.5476004373201,51.45239956267989,51.54148195998681
27.06,312.0,257.17034238029856,8.39,ESO563-G021,46.29,252.97,0.0,3597.339246119734,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,0.35,4,2.0019365354797065,0.0013429596280882805,0.9939136480701711,0.0032794951077947943,0.003259534946416603,0.39247607204891216,3062.5479825502034,0.008788424053411337,0.005749287926006286,0.9749421862207205,4.545891879704271,0.29294746848037795,0.5749287927006287,1.8183567518821087,1.0,3062.5479825502034,1.6414985431796527,6.664754352445512,257.25668883544785,54.74331116455215,54.829657619701436
28.8,312.0,247.63895028851982,8.37,ESO563-G021,43.21,243.84,0.0,3380.0,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,0.35,4,2.0019365354797065,0.0013429596280882805,0.9939136480701711,0.0032794951077947943,0.003259534946416603,0.39247607204891216,3062.5479825502034,0.008788424053411337,0.005749287926006286,0.9749421862207205,4.545891879704271,0.29294746848037795,0.5749287927006287,1.8183567518821087,1.0,3062.5479825502034,1.4491425572104362,6.460286808467606,247.723202396642,64.276797603358,64.36104971148018
30.53,311.0,238.15547211853016,11.5,ESO563-G021,45.08,233.85,0.0,3168.0641991483785,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,0.35,4,2.0019365354797065,0.0013429596280882805,0.9939136480701711,0.0032794951077947943,0.003259534946416603,0.39247607204891216,3062.5479825502034,0.008788424053411337,0.005749287926006286,0.9749421862207205,4.545891879704271,0.29294746848037795,0.5749287927006287,1.8183567518821087,1.0,3062.5479825502034,1.2895627435908452,6.27457971196705,238.23811460503507,72.76188539496493,72.84452788146984
