galaxy_id,Name,SimbadName,NEDname,S4G,EDD,RA_deg,DEC_deg,Type,Dist,inclination_deg,L3p6,Reff,Rdisk,MHI,RHI,Vflat,e_Vflat,Qual,Ref,name_normalized,simbad_normalized,ned_normalized,s4g_name_normalized
CamB,CamB,NAME Cam B,NAME Cam B,0,1,73.2795833,67.0991667,10,3.36,65.0,0.075,1.21,0.47,0.012,1.21,0.0,0.0,2,Bm03          ,CAMB,NAMECAMB,NAMECAMB,0
D512-2,D512-2,ESDO 512-02,ESDO 512-02,0,0,218.3346469,26.9980389,10,15.2,56.0,0.325,2.37,1.24,0.081,0.0,0.0,0.0,2,Tr09          ,D512-2,ESDO512-02,ESDO512-02,0
D564-8,D564-8,ESDO 564-8,ESDO 564-8,0,0,135.7223189,20.0756139,10,8.79,63.0,0.033,0.72,0.61,0.029,0.0,0.0,0.0,2,Tr09          ,D564-8,ESDO564-8,ESDO564-8,0
D631-7,D631-7,ESDO 631-7,ESDO 631-7,0,0,119.2542811,14.3965711,10,7.72,59.0,0.196,1.22,0.7,0.29,0.0,57.7,2.7,1,"Tr09,dB01     ",D631-7,ESDO631-7,ESDO631-7,0
DDO064,DDO064,DDO064,DDO064,0,0,147.5948689,31.4882769,10,6.8,60.0,0.157,1.2,0.69,0.211,3.49,46.1,3.9,1,"dB02,Sw02     ",DDO064,DDO064,DDO064,0
DDO154,DDO154,DDO154,DDO154,0,0,193.5218667,27.1496306,10,4.04,64.0,0.053,0.65,0.37,0.275,4.96,47.0,1.0,2,"Be91,CB89     ",DDO154,DDO154,DDO154,0
DDO161,DDO161,DDO161,DDO161,0,0,195.8197333,-17.4230306,10,7.5,70.0,0.548,2.04,1.22,1.378,10.69,66.3,1.9,1,Co00          ,DDO161,DDO161,DDO161,0
DDO168,DDO168,DDO168,DDO168,0,1,198.6166561,45.9197619,10,4.25,63.0,0.191,1.29,1.02,0.413,4.3,53.4,1.9,2,"Sa96,Br92     ",DDO168,DDO168,DDO168,0
DDO170,DDO170,DDO170,DDO170,0,0,198.9740769,25.4361481,10,15.4,66.0,0.543,3.03,1.95,0.735,9.14,60.0,1.6,2,"Be91,La90     ",DDO170,DDO170,DDO170,0
ESO079-G014,ESO079-G014,ESO079-G014,ESO079-G014,0,0,15.7143583,-65.6099917,4,28.7,79.0,51.733,7.23,5.08,3.14,17.67,175.0,3.5,1,Ge04          ,ESO079-G014,ESO079-G014,ESO079-G014,0
ESO116-G012,ESO116-G012,ESO116-G012,ESO116-G012,0,0,48.269775,-57.3572472,7,13.0,74.0,4.292,2.75,1.51,1.083,9.58,109.1,3.1,1,Ge04          ,ESO116-G012,ESO116-G012,ESO116-G012,0
ESO444-G084,ESO444-G084,ESO444-G084,ESO444-G084,0,0,204.335,-28.0441667,10,4.83,32.0,0.071,0.75,0.46,0.135,2.95,0.0,0.0,2,Co00          ,ESO444-G084,ESO444-G084,ESO444-G084,0
ESO563-G021,ESO563-G021,ESO563-G021,ESO563-G021,0,0,131.8207542,-20.0356611,4,60.8,83.0,311.177,10.59,5.45,24.298,55.71,314.6,11.7,1,SG06          ,ESO563-G021,ESO563-G021,ESO563-G021,0
F561-1,F561-1,LSB F561-1,LSB F561-1,0,0,122.3858333,22.5594444,9,66.4,24.0,4.077,5.39,2.79,1.622,10.69,50.0,2.9,3,"dB97,dB96     ",F561-1,LSBF561-1,LSBF561-1,0
F563-1,F563-1,LSB F563-1,LSB F563-1,0,0,133.7558333,19.7516667,9,48.9,25.0,1.903,4.61,3.52,3.2,23.47,109.9,12.5,1,"KN08,dB96     ",F563-1,LSBF563-1,LSBF563-1,0
F563-V1,F563-V1,VLSB F563-V01,VLSB F563-V01,0,0,131.6575,18.8902778,10,54.0,60.0,1.54,5.01,3.79,0.61,6.83,0.0,0.0,3,"dB97,dB96     ",F563-V1,VLSBF563-V01,VLSBF563-V01,0
F563-V2,F563-V2,VLSB F563-V02,VLSB F563-V02,0,0,133.2583333,18.4383333,10,59.7,29.0,2.986,4.49,2.43,2.169,11.37,116.6,9.4,1,"dB01,dB96     ",F563-V2,VLSBF563-V02,VLSBF563-V02,0
F565-V2,F565-V2,VLSB F565-V02,VLSB F565-V02,0,0,144.4025,21.7708333,10,51.8,60.0,0.559,3.57,2.17,0.699,7.31,0.0,0.0,2,"dB97,dB96     ",F565-V2,VLSBF565-V02,VLSBF565-V02,0
F567-2,F567-2,LSB F567-2,LSB F567-2,0,0,154.4845833,21.0613889,9,79.0,20.0,2.134,5.43,3.08,2.449,14.94,0.0,0.0,3,"dB97,dB96     ",F567-2,LSBF567-2,LSBF567-2,0
F568-1,F568-1,LSB F568-1,LSB F568-1,0,0,156.4254167,22.4244444,5,90.7,26.0,6.252,7.0,5.18,4.498,16.31,0.0,0.0,1,"dB01,dB96     ",F568-1,LSBF568-1,LSBF568-1,0
F568-3,F568-3,LSB F568-3,LSB F568-3,0,0,156.7458333,22.2266667,7,82.4,40.0,8.346,7.47,4.99,3.195,16.14,0.0,0.0,1,"KN08,dB96     ",F568-3,LSBF568-3,LSBF568-3,0
F568-V1,F568-V1,VLSB F568-V01,VLSB F568-V01,0,0,161.2586,22.0543167,7,80.6,40.0,3.825,4.4,2.85,2.491,14.38,112.3,15.8,1,"dB01,dB96     ",F568-V1,VLSBF568-V01,VLSBF568-V01,0
F571-8,F571-8,LSB F571-8,LSB F571-8,0,0,173.47625,19.355,5,53.3,85.0,10.164,1.4,3.56,1.782,24.55,139.7,4.3,1,"dB01,dB96     ",F571-8,LSBF571-8,LSBF571-8,0
F571-V1,F571-V1,VLSB F571-V01,VLSB F571-V01,0,0,171.575,18.8316667,7,80.1,30.0,1.849,4.38,2.47,1.217,10.1,83.6,3.5,2,"dB97,dB96     ",F571-V1,VLSBF571-V01,VLSBF571-V01,0
F574-1,F574-1,LSB F574-1,LSB F574-1,0,0,189.5554167,22.2997222,7,96.8,65.0,6.537,5.87,4.46,3.524,16.19,97.8,4.1,1,"dB01,dB96     ",F574-1,LSBF574-1,LSBF574-1,0
F574-2,F574-2,LSB F574-2,LSB F574-2,0,0,191.6970833,21.8033333,9,89.1,30.0,2.877,6.48,3.76,1.701,12.61,0.0,0.0,3,"dB97,dB96     ",F574-2,LSBF574-2,LSBF574-2,0
F579-V1,F579-V1,VLSB F579-V01,VLSB F579-V01,0,0,218.2004167,22.7661111,5,89.5,26.0,11.848,5.76,3.37,2.245,20.96,112.1,13.4,1,"dB01,dB96     ",F579-V1,VLSBF579-V01,VLSBF579-V01,0
