galaxy_id,filename,catalog_prefix,catalog_number,name_normalized,row_count,sp_ra_deg,sp_dec_deg,angular_sep_deg,match_status
IC2574,IC2574.csv,IC,2574,IC2574,34,157.09833,68.41214,3.1341571331094658,still_unmatched
NGC0024,NGC0024.csv,NGC,0024,NGC0024,29,2.48444,-24.96402,24.27822443261496,still_unmatched
NGC0055,NGC0055.csv,NGC,0055,NGC0055,21,3.72841,-39.1995,38.145230694466484,still_unmatched
NGC0100,NGC0100.csv,NGC,0100,NGC0100,21,6.01111,16.48603,3.49492883665056,still_unmatched
NGC0247,NGC0247.csv,NGC,0247,NGC0247,26,11.7853,-20.76018,19.038850906517244,still_unmatched
NGC0289,NGC0289.csv,NGC,0289,NGC0289,28,13.1761,-31.20582,29.524185017138514,still_unmatched
NGC0300,NGC0300.csv,NGC,0300,NGC0300,25,13.72267,-37.6842,36.018002046621504,still_unmatched
NGC1090,NGC1090.csv,NGC,1090,NGC1090,24,41.64131,-0.24714,5.275535836346378,still_unmatched
NGC1705,NGC1705.csv,NGC,1705,NGC1705,14,73.55597,-53.36099,52.122344642263286,still_unmatched
NGC2683,NGC2683.csv,NGC,2683,NGC2683,11,133.17208,33.42188,0.8203172860475827,still_unmatched
NGC2841,NGC2841.csv,NGC,2841,NGC2841,50,140.51122,50.97659,9.474947088289598,still_unmatched
NGC2903,NGC2903.csv,NGC,2903,NGC2903,34,143.0424,21.50183,6.374013859734134,still_unmatched
NGC2976,NGC2976.csv,NGC,2976,NGC2976,27,146.81366,67.91671,0.7051169354685576,still_unmatched
NGC3198,NGC3198.csv,NGC,3198,NGC3198,43,154.97921,45.54977,6.933441543359964,still_unmatched
NGC3521,NGC3521.csv,NGC,3521,NGC3521,41,166.45241,-0.03594,0.9246648310885323,still_unmatched
NGC3726,NGC3726.csv,NGC,3726,NGC3726,12,173.33808,47.02924,3.5269911934182114,still_unmatched
NGC3769,NGC3769.csv,NGC,3769,NGC3769,12,174.4337,47.89294,3.254192087942403,still_unmatched
NGC3877,NGC3877.csv,NGC,3877,NGC3877,13,176.53221,47.49459,2.7608224434478608,still_unmatched
NGC3893,NGC3893.csv,NGC,3893,NGC3893,10,177.15901,48.71095,1.479066530623516,still_unmatched
NGC3917,NGC3917.csv,NGC,3917,NGC3917,17,177.68935,51.82448,1.8114487339815097,still_unmatched
NGC3949,NGC3949.csv,NGC,3949,NGC3949,7,178.42388,47.85875,1.7104838244409122,still_unmatched
NGC3953,NGC3953.csv,NGC,3953,NGC3953,8,178.45424,52.32681,2.2962992886308475,still_unmatched
NGC3972,NGC3972.csv,NGC,3972,NGC3972,10,178.93807,55.32037,0.08795127372031154,still_unmatched
NGC3992,NGC3992.csv,NGC,3992,NGC3992,9,179.39983,53.37483,1.758198687909502,still_unmatched
NGC4010,NGC4010.csv,NGC,4010,NGC4010,12,179.658,47.26141,1.545728543921271,still_unmatched
NGC4013,NGC4013.csv,NGC,4013,NGC4013,36,179.63059,43.94746,2.9899778881849177,still_unmatched
NGC4051,NGC4051.csv,NGC,4051,NGC4051,7,180.79007,44.53131,3.4788844185267367,still_unmatched
NGC4068,NGC4068.csv,NGC,4068,NGC4068,6,181.00735,52.58772,2.771322845546279,still_unmatched
NGC4085,NGC4085.csv,NGC,4085,NGC4085,7,181.34446,50.35283,1.7646754216226987,still_unmatched
NGC4088,NGC4088.csv,NGC,4088,NGC4088,12,181.3928,50.53923,1.9531083368195354,still_unmatched
NGC4100,NGC4100.csv,NGC,4100,NGC4100,24,181.53561,49.58271,1.0889787604583778,still_unmatched
NGC4138,NGC4138.csv,NGC,4138,NGC4138,7,182.37415,43.68521,2.922452696383704,still_unmatched
NGC4157,NGC4157.csv,NGC,4157,NGC4157,17,182.76824,50.48501,2.279245811810349,still_unmatched
NGC4183,NGC4183.csv,NGC,4183,NGC4183,23,183.32012,43.69846,3.2430167409049324,still_unmatched
NGC4214,NGC4214.csv,NGC,4214,NGC4214,14,183.91305,36.328,2.8532049459492073,still_unmatched
NGC4217,NGC4217.csv,NGC,4217,NGC4217,19,183.96244,47.0916,2.672372058342549,still_unmatched
NGC4389,NGC4389.csv,NGC,4389,NGC4389,6,186.39541,45.68503,3.2248746385239406,still_unmatched
NGC4559,NGC4559.csv,NGC,4559,NGC4559,32,188.99021,27.95993,5.521438149162319,still_unmatched
NGC5005,NGC5005.csv,NGC,5005,NGC5005,18,197.73442,37.05903,2.3611186120647547,still_unmatched
NGC5033,NGC5033.csv,NGC,5033,NGC5033,22,198.36451,36.59384,2.6868685962773022,still_unmatched
NGC5055,NGC5055.csv,NGC,5055,NGC5055,28,198.95528,42.02935,4.758542217103512,still_unmatched
NGC5371,NGC5371.csv,NGC,5371,NGC5371,19,208.91647,40.46174,5.18906005497455,still_unmatched
NGC5585,NGC5585.csv,NGC,5585,NGC5585,24,214.95043,56.7294,4.903197992891629,still_unmatched
NGC5907,NGC5907.csv,NGC,5907,NGC5907,19,228.97293,56.32874,2.0343326866615334,still_unmatched
NGC5985,NGC5985.csv,NGC,5985,NGC5985,33,234.90445,59.33208,2.412836685960597,still_unmatched
NGC6015,NGC6015.csv,NGC,6015,NGC6015,44,237.85512,62.31005,5.4582255066419005,still_unmatched
NGC6503,NGC6503.csv,NGC,6503,NGC6503,31,267.36024,70.14434,5.550475722885557,still_unmatched
NGC7793,NGC7793.csv,NGC,7793,NGC7793,46,359.45721,-32.59107,31.677241086076886,still_unmatched
NGC7814,NGC7814.csv,NGC,7814,NGC7814,18,0.81202,16.14534,1.2629727708938316,still_unmatched
