galaxy_id,filename,catalog_prefix,catalog_number,name_normalized,row_count,name_same_direct
CamB,CamB.csv,CAMB,,CAMB,9,CAMB
D512-2,D512-2.csv,OTHER,512-2,D5122,4,D5122
D564-8,D564-8.csv,OTHER,564-8,D5648,6,D5648
D631-7,D631-7.csv,OTHER,631-7,D6317,16,D6317
DDO064,DDO064.csv,DDO,064,DDO064,14,DDO064
DDO154,DDO154.csv,DDO,154,DDO154,12,DDO154
DDO161,DDO161.csv,DDO,161,DDO161,31,DDO161
DDO168,DDO168.csv,DDO,168,DDO168,10,DDO168
DDO170,DDO170.csv,DDO,170,DDO170,8,DDO170
ESO079-G014,ESO079-G014.csv,ESO,079-G014,ESO079G014,15,ESO079G014
ESO116-G012,ESO116-G012.csv,ESO,116-G012,ESO116G012,15,ESO116G012
ESO444-G084,ESO444-G084.csv,ESO,444-G084,ESO444G084,7,ESO444G084
ESO563-G021,ESO563-G021.csv,ESO,563-G021,ESO563G021,30,ESO563G021
F561-1,F561-1.csv,F,561-1,F5611,6,F5611
F563-1,F563-1.csv,F,563-1,F5631,17,F5631
F563-V1,F563-V1.csv,F,563-V1,F563V1,6,F563V1
F563-V2,F563-V2.csv,F,563-V2,F563V2,10,F563V2
F565-V2,F565-V2.csv,F,565-V2,F565V2,7,F565V2
F567-2,F567-2.csv,F,567-2,F5672,5,F5672
F568-1,F568-1.csv,F,568-1,F5681,12,F5681
F568-3,F568-3.csv,F,568-3,F5683,18,F5683
F568-V1,F568-V1.csv,F,568-V1,F568V1,15,F568V1
F571-8,F571-8.csv,F,571-8,F5718,13,F5718
F571-V1,F571-V1.csv,F,571-V1,F571V1,7,F571V1
F574-1,F574-1.csv,F,574-1,F5741,14,F5741
F574-2,F574-2.csv,F,574-2,F5742,5,F5742
F579-V1,F579-V1.csv,F,579-V1,F579V1,14,F579V1
F583-1,F583-1.csv,F,583-1,F5831,25,F5831
F583-4,F583-4.csv,F,583-4,F5834,12,F5834
IC2574,IC2574.csv,IC,2574,IC2574,34,IC2574
IC4202,IC4202.csv,IC,4202,IC4202,32,IC4202
KK98-251,KK98-251.csv,KK,98-251,KK98251,15,KK98251
NGC0024,NGC0024.csv,NGC,0024,NGC0024,29,NGC0024
NGC0055,NGC0055.csv,NGC,0055,NGC0055,21,NGC0055
NGC0100,NGC0100.csv,NGC,0100,NGC0100,21,NGC0100
NGC0247,NGC0247.csv,NGC,0247,NGC0247,26,NGC0247
NGC0289,NGC0289.csv,NGC,0289,NGC0289,28,NGC0289
NGC0300,NGC0300.csv,NGC,0300,NGC0300,25,NGC0300
NGC0801,NGC0801.csv,NGC,0801,NGC0801,13,NGC0801
NGC0891,NGC0891.csv,NGC,0891,NGC0891,18,NGC0891
NGC1003,NGC1003.csv,NGC,1003,NGC1003,36,NGC1003
NGC1090,NGC1090.csv,NGC,1090,NGC1090,24,NGC1090
NGC1705,NGC1705.csv,NGC,1705,NGC1705,14,NGC1705
NGC2366,NGC2366.csv,NGC,2366,NGC2366,26,NGC2366
NGC2403,NGC2403.csv,NGC,2403,NGC2403,73,NGC2403
NGC2683,NGC2683.csv,NGC,2683,NGC2683,11,NGC2683
NGC2841,NGC2841.csv,NGC,2841,NGC2841,50,NGC2841
NGC2903,NGC2903.csv,NGC,2903,NGC2903,34,NGC2903
NGC2915,NGC2915.csv,NGC,2915,NGC2915,30,NGC2915
NGC2955,NGC2955.csv,NGC,2955,NGC2955,24,NGC2955
NGC2976,NGC2976.csv,NGC,2976,NGC2976,27,NGC2976
NGC2998,NGC2998.csv,NGC,2998,NGC2998,13,NGC2998
NGC3109,NGC3109.csv,NGC,3109,NGC3109,25,NGC3109
NGC3198,NGC3198.csv,NGC,3198,NGC3198,43,NGC3198
NGC3521,NGC3521.csv,NGC,3521,NGC3521,41,NGC3521
NGC3726,NGC3726.csv,NGC,3726,NGC3726,12,NGC3726
NGC3741,NGC3741.csv,NGC,3741,NGC3741,21,NGC3741
NGC3769,NGC3769.csv,NGC,3769,NGC3769,12,NGC3769
NGC3877,NGC3877.csv,NGC,3877,NGC3877,13,NGC3877
NGC3893,NGC3893.csv,NGC,3893,NGC3893,10,NGC3893
NGC3917,NGC3917.csv,NGC,3917,NGC3917,17,NGC3917
NGC3949,NGC3949.csv,NGC,3949,NGC3949,7,NGC3949
NGC3953,NGC3953.csv,NGC,3953,NGC3953,8,NGC3953
NGC3972,NGC3972.csv,NGC,3972,NGC3972,10,NGC3972
NGC3992,NGC3992.csv,NGC,3992,NGC3992,9,NGC3992
NGC4010,NGC4010.csv,NGC,4010,NGC4010,12,NGC4010
NGC4013,NGC4013.csv,NGC,4013,NGC4013,36,NGC4013
NGC4051,NGC4051.csv,NGC,4051,NGC4051,7,NGC4051
NGC4068,NGC4068.csv,NGC,4068,NGC4068,6,NGC4068
NGC4085,NGC4085.csv,NGC,4085,NGC4085,7,NGC4085
NGC4088,NGC4088.csv,NGC,4088,NGC4088,12,NGC4088
NGC4100,NGC4100.csv,NGC,4100,NGC4100,24,NGC4100
NGC4138,NGC4138.csv,NGC,4138,NGC4138,7,NGC4138
NGC4157,NGC4157.csv,NGC,4157,NGC4157,17,NGC4157
NGC4183,NGC4183.csv,NGC,4183,NGC4183,23,NGC4183
NGC4214,NGC4214.csv,NGC,4214,NGC4214,14,NGC4214
NGC4217,NGC4217.csv,NGC,4217,NGC4217,19,NGC4217
NGC4389,NGC4389.csv,NGC,4389,NGC4389,6,NGC4389
NGC4559,NGC4559.csv,NGC,4559,NGC4559,32,NGC4559
NGC5005,NGC5005.csv,NGC,5005,NGC5005,18,NGC5005
NGC5033,NGC5033.csv,NGC,5033,NGC5033,22,NGC5033
NGC5055,NGC5055.csv,NGC,5055,NGC5055,28,NGC5055
NGC5371,NGC5371.csv,NGC,5371,NGC5371,19,NGC5371
NGC5585,NGC5585.csv,NGC,5585,NGC5585,24,NGC5585
NGC5907,NGC5907.csv,NGC,5907,NGC5907,19,NGC5907
NGC5985,NGC5985.csv,NGC,5985,NGC5985,33,NGC5985
NGC6015,NGC6015.csv,NGC,6015,NGC6015,44,NGC6015
NGC6195,NGC6195.csv,NGC,6195,NGC6195,23,NGC6195
