galaxy_id,filename,filepath,catalog_prefix,catalog_number,name_normalized,row_count,source_expected,s4g_name_normalized,Name,RAJ2000,DEJ2000,amaj,PA,ell,3.6,e_3.6,4.5,e_4.5,c31,c42,M3.6,M4.5,logM*,Dmean,e_Dmean,TT,e_TT,Vr,e_Vr,match_status
CamB,CamB.csv,data/derived/sparc/CamB.csv,CAMB,,CAMB,9,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
D512-2,D512-2.csv,data/derived/sparc/D512-2.csv,OTHER,512-2,D5122,4,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
D564-8,D564-8.csv,data/derived/sparc/D564-8.csv,OTHER,564-8,D5648,6,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
D631-7,D631-7.csv,data/derived/sparc/D631-7.csv,OTHER,631-7,D6317,16,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
DDO064,DDO064.csv,data/derived/sparc/DDO064.csv,DDO,064,DDO064,14,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
DDO154,DDO154.csv,data/derived/sparc/DDO154.csv,DDO,154,DDO154,12,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
DDO161,DDO161.csv,data/derived/sparc/DDO161.csv,DDO,161,DDO161,31,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
DDO168,DDO168.csv,data/derived/sparc/DDO168.csv,DDO,168,DDO168,10,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
DDO170,DDO170.csv,data/derived/sparc/DDO170.csv,DDO,170,DDO170,8,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
ESO079-G014,ESO079-G014.csv,data/derived/sparc/ESO079-G014.csv,ESO,079-G014,ESO079G014,15,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
ESO116-G012,ESO116-G012.csv,data/derived/sparc/ESO116-G012.csv,ESO,116-G012,ESO116G012,15,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
ESO444-G084,ESO444-G084.csv,data/derived/sparc/ESO444-G084.csv,ESO,444-G084,ESO444G084,7,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
ESO563-G021,ESO563-G021.csv,data/derived/sparc/ESO563-G021.csv,ESO,563-G021,ESO563G021,30,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
F561-1,F561-1.csv,data/derived/sparc/F561-1.csv,F,561-1,F5611,6,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
F563-1,F563-1.csv,data/derived/sparc/F563-1.csv,F,563-1,F5631,17,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
F563-V1,F563-V1.csv,data/derived/sparc/F563-V1.csv,F,563-V1,F563V1,6,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
F563-V2,F563-V2.csv,data/derived/sparc/F563-V2.csv,F,563-V2,F563V2,10,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
F565-V2,F565-V2.csv,data/derived/sparc/F565-V2.csv,F,565-V2,F565V2,7,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
F567-2,F567-2.csv,data/derived/sparc/F567-2.csv,F,567-2,F5672,5,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
F568-1,F568-1.csv,data/derived/sparc/F568-1.csv,F,568-1,F5681,12,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
F568-3,F568-3.csv,data/derived/sparc/F568-3.csv,F,568-3,F5683,18,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
F568-V1,F568-V1.csv,data/derived/sparc/F568-V1.csv,F,568-V1,F568V1,15,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
F571-8,F571-8.csv,data/derived/sparc/F571-8.csv,F,571-8,F5718,13,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
F571-V1,F571-V1.csv,data/derived/sparc/F571-V1.csv,F,571-V1,F571V1,7,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
F574-1,F574-1.csv,data/derived/sparc/F574-1.csv,F,574-1,F5741,14,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
