galaxy_id,filename,catalog_prefix,catalog_number,name_normalized,sparc_ugc_normalized,row_count
NGC4051,NGC4051.csv,NGC,4051,NGC4051,,7
NGC4068,NGC4068.csv,NGC,4068,NGC4068,,6
NGC4085,NGC4085.csv,NGC,4085,NGC4085,,7
NGC4088,NGC4088.csv,NGC,4088,NGC4088,,12
NGC4100,NGC4100.csv,NGC,4100,NGC4100,,24
NGC4138,NGC4138.csv,NGC,4138,NGC4138,,7
NGC4157,NGC4157.csv,NGC,4157,NGC4157,,17
NGC4183,NGC4183.csv,NGC,4183,NGC4183,,23
NGC4214,NGC4214.csv,NGC,4214,NGC4214,,14
NGC4217,NGC4217.csv,NGC,4217,NGC4217,,19
NGC4389,NGC4389.csv,NGC,4389,NGC4389,,6
NGC4559,NGC4559.csv,NGC,4559,NGC4559,,32
NGC5005,NGC5005.csv,NGC,5005,NGC5005,,18
NGC5033,NGC5033.csv,NGC,5033,NGC5033,,22
NGC5055,NGC5055.csv,NGC,5055,NGC5055,,28
NGC5371,NGC5371.csv,NGC,5371,NGC5371,,19
NGC5585,NGC5585.csv,NGC,5585,NGC5585,,24
NGC5907,NGC5907.csv,NGC,5907,NGC5907,,19
NGC5985,NGC5985.csv,NGC,5985,NGC5985,,33
NGC6015,NGC6015.csv,NGC,6015,NGC6015,,44
NGC6195,NGC6195.csv,NGC,6195,NGC6195,,23
NGC6503,NGC6503.csv,NGC,6503,NGC6503,,31
NGC6674,NGC6674.csv,NGC,6674,NGC6674,,15
NGC6789,NGC6789.csv,NGC,6789,NGC6789,,4
NGC6946,NGC6946.csv,NGC,6946,NGC6946,,58
NGC7331,NGC7331.csv,NGC,7331,NGC7331,,36
NGC7793,NGC7793.csv,NGC,7793,NGC7793,,46
NGC7814,NGC7814.csv,NGC,7814,NGC7814,,18
PGC51017,PGC51017.csv,PGC,51017,PGC51017,,6
UGC00128,UGC00128.csv,UGC,00128,UGC00128,UGC128,22
UGC00191,UGC00191.csv,UGC,00191,UGC00191,UGC191,9
UGC00634,UGC00634.csv,UGC,00634,UGC00634,UGC634,4
UGC00731,UGC00731.csv,UGC,00731,UGC00731,UGC731,12
UGC00891,UGC00891.csv,UGC,00891,UGC00891,UGC891,5
UGC01230,UGC01230.csv,UGC,01230,UGC01230,UGC1230,11
UGC01281,UGC01281.csv,UGC,01281,UGC01281,UGC1281,25
UGC02023,UGC02023.csv,UGC,02023,UGC02023,UGC2023,5
UGC02259,UGC02259.csv,UGC,02259,UGC02259,UGC2259,8
UGC02455,UGC02455.csv,UGC,02455,UGC02455,UGC2455,8
UGC02487,UGC02487.csv,UGC,02487,UGC02487,UGC2487,17
UGC02885,UGC02885.csv,UGC,02885,UGC02885,UGC2885,19
UGC02916,UGC02916.csv,UGC,02916,UGC02916,UGC2916,43
UGC02953,UGC02953.csv,UGC,02953,UGC02953,UGC2953,115
UGC03205,UGC03205.csv,UGC,03205,UGC03205,UGC3205,48
UGC03546,UGC03546.csv,UGC,03546,UGC03546,UGC3546,30
UGC03580,UGC03580.csv,UGC,03580,UGC03580,UGC3580,47
UGC04278,UGC04278.csv,UGC,04278,UGC04278,UGC4278,25
UGC04305,UGC04305.csv,UGC,04305,UGC04305,UGC4305,22
UGC04325,UGC04325.csv,UGC,04325,UGC04325,UGC4325,8
UGC04483,UGC04483.csv,UGC,04483,UGC04483,UGC4483,8
UGC04499,UGC04499.csv,UGC,04499,UGC04499,UGC4499,9
UGC05005,UGC05005.csv,UGC,05005,UGC05005,UGC5005,11
UGC05253,UGC05253.csv,UGC,05253,UGC05253,UGC5253,73
UGC05414,UGC05414.csv,UGC,05414,UGC05414,UGC5414,6
UGC05716,UGC05716.csv,UGC,05716,UGC05716,UGC5716,12
UGC05721,UGC05721.csv,UGC,05721,UGC05721,UGC5721,23
UGC05750,UGC05750.csv,UGC,05750,UGC05750,UGC5750,11
UGC05764,UGC05764.csv,UGC,05764,UGC05764,UGC5764,10
UGC05829,UGC05829.csv,UGC,05829,UGC05829,UGC5829,11
UGC05918,UGC05918.csv,UGC,05918,UGC05918,UGC5918,8
UGC05986,UGC05986.csv,UGC,05986,UGC05986,UGC5986,15
UGC05999,UGC05999.csv,UGC,05999,UGC05999,UGC5999,5
UGC06399,UGC06399.csv,UGC,06399,UGC06399,UGC6399,9
UGC06446,UGC06446.csv,UGC,06446,UGC06446,UGC6446,17
UGC06614,UGC06614.csv,UGC,06614,UGC06614,UGC6614,13
UGC06628,UGC06628.csv,UGC,06628,UGC06628,UGC6628,7
UGC06667,UGC06667.csv,UGC,06667,UGC06667,UGC6667,9
UGC06786,UGC06786.csv,UGC,06786,UGC06786,UGC6786,45
UGC06787,UGC06787.csv,UGC,06787,UGC06787,UGC6787,71
UGC06818,UGC06818.csv,UGC,06818,UGC06818,UGC6818,8
UGC06917,UGC06917.csv,UGC,06917,UGC06917,UGC6917,11
UGC06923,UGC06923.csv,UGC,06923,UGC06923,UGC6923,6
UGC06930,UGC06930.csv,UGC,06930,UGC06930,UGC6930,10
UGC06973,UGC06973.csv,UGC,06973,UGC06973,UGC6973,9
UGC06983,UGC06983.csv,UGC,06983,UGC06983,UGC6983,17
UGC07089,UGC07089.csv,UGC,07089,UGC07089,UGC7089,12
UGC07125,UGC07125.csv,UGC,07125,UGC07125,UGC7125,13
UGC07151,UGC07151.csv,UGC,07151,UGC07151,UGC7151,11
UGC07232,UGC07232.csv,UGC,07232,UGC07232,UGC7232,4
UGC07261,UGC07261.csv,UGC,07261,UGC07261,UGC7261,7
UGC07323,UGC07323.csv,UGC,07323,UGC07323,UGC7323,10
UGC07399,UGC07399.csv,UGC,07399,UGC07399,UGC7399,10
UGC07524,UGC07524.csv,UGC,07524,UGC07524,UGC7524,31
UGC07559,UGC07559.csv,UGC,07559,UGC07559,UGC7559,7
UGC07577,UGC07577.csv,UGC,07577,UGC07577,UGC7577,9
UGC07603,UGC07603.csv,UGC,07603,UGC07603,UGC7603,12
UGC07608,UGC07608.csv,UGC,07608,UGC07608,UGC7608,8
UGC07866,UGC07866.csv,UGC,07866,UGC07866,UGC7866,7
UGC08286,UGC08286.csv,UGC,08286,UGC08286,UGC8286,17
UGC08490,UGC08490.csv,UGC,08490,UGC08490,UGC8490,30
UGC08550,UGC08550.csv,UGC,08550,UGC08550,UGC8550,11
UGC08699,UGC08699.csv,UGC,08699,UGC08699,UGC8699,41
UGC08837,UGC08837.csv,UGC,08837,UGC08837,UGC8837,8
UGC09037,UGC09037.csv,UGC,09037,UGC09037,UGC9037,22
UGC09133,UGC09133.csv,UGC,09133,UGC09133,UGC9133,68
UGC09992,UGC09992.csv,UGC,09992,UGC09992,UGC9992,5
UGC10310,UGC10310.csv,UGC,10310,UGC10310,UGC10310,7
UGC11455,UGC11455.csv,UGC,11455,UGC11455,UGC11455,36
UGC11557,UGC11557.csv,UGC,11557,UGC11557,UGC11557,12
UGC11820,UGC11820.csv,UGC,11820,UGC11820,UGC11820,10
UGC11914,UGC11914.csv,UGC,11914,UGC11914,UGC11914,65
UGC12506,UGC12506.csv,UGC,12506,UGC12506,UGC12506,31
UGC12632,UGC12632.csv,UGC,12632,UGC12632,UGC12632,15
UGC12732,UGC12732.csv,UGC,12732,UGC12732,UGC12732,16
UGCA281,UGCA281.csv,UGC,281,UGCA281,UGC281,7
UGCA442,UGCA442.csv,UGC,442,UGCA442,UGC442,8
UGCA444,UGCA444.csv,UGC,444,UGCA444,UGC444,36
