Structural coupling rotation pipeline run log
started_at: 2026-03-23T15:17:01.871254
project_root: C:\Users\mincu\Desktop\topological_gravity_project
data_dir: C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized
output_root: C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_structural_coupling
run_dir: C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_structural_coupling\2026-03-23_151701_local_structural_coupling
beta_mode: local_structural_coupling
beta_value: 200.0
n_input_files: 175
------------------------------------------------------------------------
[053/175] [OK] NGC3109 | beta_mean=72.684 | beta_max=129.963 | d_eff_mean=2.3661 | rmse=49.0309 | mafe=1.46106
[054/175] [OK] NGC3198 | beta_mean=94.0704 | beta_max=138.004 | d_eff_mean=2.46553 | rmse=80.4769 | mafe=0.596252
[055/175] [OK] NGC3521 | beta_mean=106.188 | beta_max=143.632 | d_eff_mean=2.51973 | rmse=208.04 | mafe=1
[056/175] [OK] NGC3726 | beta_mean=107.141 | beta_max=143.983 | d_eff_mean=2.53433 | rmse=78.5684 | mafe=0.438976
[057/175] [OK] NGC3741 | beta_mean=97.0417 | beta_max=127.881 | d_eff_mean=2.47329 | rmse=37.8974 | mafe=1
[058/175] [OK] NGC3769 | beta_mean=124.686 | beta_max=153.047 | d_eff_mean=2.61761 | rmse=101.944 | mafe=0.856712
[059/175] [OK] NGC3877 | beta_mean=74.382 | beta_max=132.405 | d_eff_mean=2.37509 | rmse=104.555 | mafe=0.649872
[060/175] [OK] NGC3893 | beta_mean=123.321 | beta_max=139.534 | d_eff_mean=2.60689 | rmse=170.847 | mafe=0.94224
[061/175] [OK] NGC3917 | beta_mean=80.8166 | beta_max=144.472 | d_eff_mean=2.41026 | rmse=96.5959 | mafe=0.628484
[062/175] [OK] NGC3949 | beta_mean=99.3735 | beta_max=137.853 | d_eff_mean=2.49551 | rmse=153.815 | mafe=1
[063/175] [OK] NGC3953 | beta_mean=99.6603 | beta_max=141.675 | d_eff_mean=2.48918 | rmse=147.846 | mafe=0.651794
[064/175] [OK] NGC3972 | beta_mean=60.7396 | beta_max=138.099 | d_eff_mean=2.32256 | rmse=88.7764 | mafe=0.7033
[065/175] [OK] NGC3992 | beta_mean=117.834 | beta_max=142.213 | d_eff_mean=2.58696 | rmse=73.7637 | mafe=0.28376
[066/175] [OK] NGC4010 | beta_mean=92.0465 | beta_max=136.552 | d_eff_mean=2.45191 | rmse=116.167 | mafe=1.3186
[067/175] [OK] NGC4013 | beta_mean=130.331 | beta_max=141.517 | d_eff_mean=2.64573 | rmse=93.1211 | mafe=0.493839
[068/175] [OK] NGC4051 | beta_mean=89.0443 | beta_max=139.169 | d_eff_mean=2.44738 | rmse=107.366 | mafe=0.664555
[069/175] [OK] NGC4068 | beta_mean=49.9793 | beta_max=102.508 | d_eff_mean=2.26161 | rmse=64.7054 | mafe=5.77059
[070/175] [OK] NGC4085 | beta_mean=81.7589 | beta_max=141.009 | d_eff_mean=2.40984 | rmse=112.855 | mafe=0.964836
[071/175] [OK] NGC4088 | beta_mean=100.972 | beta_max=142.756 | d_eff_mean=2.50785 | rmse=125.353 | mafe=0.660958
[072/175] [OK] NGC4100 | beta_mean=115.363 | beta_max=140.888 | d_eff_mean=2.57555 | rmse=137.459 | mafe=0.709052
[073/175] [OK] NGC4138 | beta_mean=131.111 | beta_max=142.21 | d_eff_mean=2.65451 | rmse=164.562 | mafe=0.984417
[074/175] [OK] NGC4157 | beta_mean=115.819 | beta_max=139.887 | d_eff_mean=2.57722 | rmse=110.971 | mafe=0.568741
[075/175] [OK] NGC4183 | beta_mean=93.0194 | beta_max=139.767 | d_eff_mean=2.47083 | rmse=76.8568 | mafe=0.720305
[076/175] [OK] NGC4214 | beta_mean=113.982 | beta_max=137.729 | d_eff_mean=2.56471 | rmse=75.6241 | mafe=1
[077/175] [OK] NGC4217 | beta_mean=112.665 | beta_max=137.358 | d_eff_mean=2.55693 | rmse=167.95 | mafe=1.00865
[078/175] [OK] NGC4389 | beta_mean=67.3659 | beta_max=142.327 | d_eff_mean=2.34965 | rmse=77.653 | mafe=0.946717
[079/175] [OK] NGC4559 | beta_mean=106.544 | beta_max=134.314 | d_eff_mean=2.52409 | rmse=92.2773 | mafe=0.794466
[080/175] [OK] NGC5005 | beta_mean=107.336 | beta_max=138.662 | d_eff_mean=2.51992 | rmse=252.767 | mafe=1
[081/175] [OK] NGC5033 | beta_mean=128.464 | beta_max=138.692 | d_eff_mean=2.63303 | rmse=81.2127 | mafe=0.368215
[082/175] [OK] NGC5055 | beta_mean=118.465 | beta_max=139.646 | d_eff_mean=2.58148 | rmse=128.776 | mafe=0.611149
