galaxy,source_file,beta_mode,beta,r_kpc,v_obs_kmps,v_err_kmps,a_newton,sigma_profile,a_struct,a_total,v_model_kmps,residual_kmps
CamB,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\CamB_normalized.csv,structural,262.5817073170732,0.16,1.99,1.5,109.513125,612.274329268293,1004825.2420355263,1004934.7551605264,400.985736436702,-398.995736436702
CamB,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\CamB_normalized.csv,structural,262.5817073170732,0.41,4.84,1.5,262.5817073170732,459.33769255455735,294179.6964538062,294442.2781611233,347.44975758526664,-342.60975758526666
CamB,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\CamB_normalized.csv,structural,262.5817073170732,0.57,6.79,1.5,297.8415789473685,181.44971600400925,83588.37933426458,83886.22091321195,218.66674626136185,-211.87674626136186
CamB,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\CamB_normalized.csv,structural,262.5817073170732,0.73,8.87,1.5,320.64561643835617,38.233935849725256,13752.78377105796,14073.429387496317,101.35878577051083,-92.48878577051083
CamB,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\CamB_normalized.csv,structural,262.5817073170732,0.9,10.9,1.5,310.4587777777778,-104.03988972171975,-30354.41319134354,-30043.954413565763,9.486832980505138e-07,10.899999051316703
CamB,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\CamB_normalized.csv,structural,262.5817073170732,1.06,12.9,1.5,286.31245283018865,-194.1547358834245,-48095.737766004735,-47809.42531317455,1.0295630140987e-06,12.899998970436986
CamB,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\CamB_normalized.csv,structural,262.5817073170732,1.22,14.7,1.5,248.32926229508197,-170.5374243576859,-36704.92463057163,-36456.59536827655,1.104536101718726e-06,14.699998895463898
CamB,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\CamB_normalized.csv,structural,262.5817073170732,1.47,16.8,1.5,216.39210884353744,-170.98224003547654,-30542.0466050429,-30325.65449619936,1.212435565298214e-06,16.799998787564434
CamB,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\CamB_normalized.csv,structural,262.5817073170732,1.79,20.1,1.5,150.86938547486034,-204.7585105271159,-30036.78172173799,-29885.91233626313,1.3379088160259653e-06,20.099998662091185
