galaxy,n_points,chi2,reduced_chi2,rmse_kmps,mae_kmps,mean_abs_residual_kmps,max_abs_residual_kmps,status,source_file,rs_kpc
CamB,9,85.2602347635461,10.657529345443262,4.616823441597752,4.238341546495578,4.238341546495578,6.429388876683932,success,data\raw\sparc_csv\CamB.csv,3.0
D512-2,4,44.42579649505268,14.808598831684227,12.493950382400962,12.120965484666463,12.120965484666463,15.331847357401223,success,data\raw\sparc_csv\D512-2.csv,3.0
D564-8,6,171.0846872765243,34.21693745530486,10.049576841590154,8.922903097268849,8.922903097268849,14.60364967885364,success,data\raw\sparc_csv\D564-8.csv,3.0
D631-7,16,1408.0996752940875,93.8733116862725,24.5852323730351,20.37799317168824,20.37799317168824,37.44987909356721,success,data\raw\sparc_csv\D631-7.csv,3.0
DDO064,14,117.32468313000886,9.024975625385297,14.591505838594633,13.224739922391871,13.224739922391871,19.624220723660198,success,data\raw\sparc_csv\DDO064.csv,3.0
DDO154,12,65173.21126264126,5924.837387512842,22.680803776816237,20.60665307997355,20.60665307997355,29.92167950822615,success,data\raw\sparc_csv\DDO154.csv,3.0
DDO161,31,10061.08143490559,335.3693811635197,21.31489016029167,17.133985762300615,17.133985762300615,35.14706475954178,success,data\raw\sparc_csv\DDO161.csv,3.0
DDO168,10,1249.103788811374,138.78930986793046,18.767038568918075,15.870005761432296,15.870005761432296,26.511876158651656,success,data\raw\sparc_csv\DDO168.csv,3.0
DDO170,8,3927.752198160779,561.1074568801113,24.535484730575124,23.428157652526913,23.428157652526913,33.1257828996205,success,data\raw\sparc_csv\DDO170.csv,3.0
ESO079-G014,15,1654.3800429182456,118.17000306558897,28.886704382352235,24.316806338372494,24.316806338372494,47.33809660042448,success,data\raw\sparc_csv\ESO079-G014.csv,3.0
ESO116-G012,15,2783.658648058021,198.8327605755729,34.256228959673145,28.747439246225213,28.747439246225213,54.67824845662861,success,data\raw\sparc_csv\ESO116-G012.csv,3.0
ESO444-G084,7,1807.772735948683,301.29545599144717,31.693305766747677,29.141449409483805,29.141449409483805,45.920148987550576,success,data\raw\sparc_csv\ESO444-G084.csv,3.0
ESO563-G021,30,1798.9397662634046,62.03240573322085,62.816483163106724,55.25629435727358,55.25629435727358,114.83082637208994,success,data\raw\sparc_csv\ESO563-G021.csv,3.0
F561-1,6,3.727396887316666,0.7454793774633333,4.42316040510831,3.7915354063565476,3.7915354063565476,7.049640555881638,success,data\raw\sparc_csv\F561-1.csv,3.0
F563-1,17,436.1132363999756,27.257077274998476,56.06046351026242,53.037019868805814,53.037019868805814,70.56046641076864,success,data\raw\sparc_csv\F563-1.csv,3.0
F563-V1,6,0.8705252366716097,0.17410504733432194,1.9045179143635556,1.4816862942157838,1.4816862942157838,3.540197794437052,success,data\raw\sparc_csv\F563-V1.csv,3.0
F563-V2,10,162.8893541484375,18.098817127604164,50.91073712689549,46.61576196221472,46.61576196221472,65.69299990244392,success,data\raw\sparc_csv\F563-V2.csv,3.0
F565-V2,7,259.91505852648993,43.31917642108166,37.81055917316258,35.06586458930031,35.06586458930031,50.17744693982558,success,data\raw\sparc_csv\F565-V2.csv,3.0
F567-2,5,17.73886238544141,4.434715596360353,11.042301659590876,10.000113639481134,10.000113639481134,14.677970900930177,success,data\raw\sparc_csv\F567-2.csv,3.0
F568-1,12,345.21845885219534,31.383496259290485,59.47223904806734,54.75312628904715,54.75312628904715,73.12540599030729,success,data\raw\sparc_csv\F568-1.csv,3.0
F568-3,18,273.7192236787743,16.101130804633783,33.872109024328516,29.491862579800802,29.491862579800802,57.39759669150073,success,data\raw\sparc_csv\F568-3.csv,3.0
F568-V1,15,473.52926519648986,33.82351894260642,55.10144891123267,52.01511688280651,52.01511688280651,69.06028913040046,success,data\raw\sparc_csv\F568-V1.csv,3.0
F571-8,13,1600.7565784063788,133.3963815338649,47.869589054996254,42.509101719601,42.509101719601,87.43390326352718,success,data\raw\sparc_csv\F571-8.csv,3.0
