galaxy,source_file,beta_mode,beta_raw,beta_formula,beta,beta_clipped,beta_hit_lower,beta_hit_upper,beta_saturation_ratio,beta_z,beta_numerator,beta_denominator,beta_g_choice,beta_sigma_choice,gbar_char_median,gbar_char_logmean,sigma_char_mean,sigma_char_median,sigma_char_rms,n_sigma_positive,formula_g0,formula_sigma0,formula_p,formula_q,formula_lambda_beta,sigma_weight_mode,sigma_weight_value,sigma_weight_u,sigma_weight_v,sigma_weight_lambda,sigma_weight_g_choice,sigma_weight_sigma_choice,structural_mode,sigma_proxy_mode,sigma_damping_mode,sigma_positive_only,D_bg,upsilon_disk,upsilon_bul,rmse_kmps,mae_kmps,mean_absolute_fractional_error,median_absolute_fractional_error,chi_square,reduced_chi_square,n_points_total,n_points_valid,detail_table,plot_path,status,error
CamB,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\CamB_normalized.csv,formula,,127.14079956078366,127.14079956078366,127.14079956078366,False,False,0.06357039978039183,0.0678859358626463,,,gbar_char_logmean,sigma_char_rms,262.5817073170732,232.41966823803128,0.03123270344640739,0.0,0.09369811033922218,1,608.3984930448789,0.5272732878135848,1.0,1.0,1.0,formula,,1.0,1.0,1.0,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,4.5365099886055855,4.121274713092857,0.5723048983183726,0.5335457208397473,82.31969150687303,10.289961438359128,9,9,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_140059_formula\tables\CamB_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_140059_formula\figures\CamB_rotation_curve.png,ok,
D512-2,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\D512-2_normalized.csv,formula,,499.1958075901095,499.1958075901095,499.1958075901095,False,False,0.24959790379505475,0.3326188786749952,,,gbar_char_logmean,sigma_char_rms,206.5490972222222,189.03041345193063,0.5628382107462424,0.5623592141099625,0.5644677193828596,4,608.3984930448789,0.5272732878135848,1.0,1.0,1.0,formula,,1.0,1.0,1.0,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,6.880497136044773,6.043238925199127,0.1718611182605764,0.20510951395112592,11.785507551301533,3.9285025171005112,4,4,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_140059_formula\tables\D512-2_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_140059_formula\figures\D512-2_rotation_curve.png,ok,
D564-8,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\D564-8_normalized.csv,formula,,189.3408035854763,189.3408035854763,189.3408035854763,False,False,0.09467040179273814,0.10457009467071987,,,gbar_char_logmean,sigma_char_rms,70.43799836601308,65.81715615091065,0.4957508808249727,0.5419576902924467,0.5096737749732058,6,608.3984930448789,0.5272732878135848,1.0,1.0,1.0,formula,,1.0,1.0,1.0,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,6.523957740024168,5.5925516602947285,0.26649123656359525,0.27767493369328516,69.65682378590984,13.931364757181967,6,6,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_140059_formula\tables\D564-8_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_140059_formula\figures\D564-8_rotation_curve.png,ok,
D631-7,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\D631-7_normalized.csv,formula,,570.3785033013754,570.3785033013754,570.3785033013754,False,False,0.2851892516506877,0.3989716890929037,,,gbar_char_logmean,sigma_char_rms,176.89675139275764,177.4202934561785,0.6101491586341368,0.7190384438451154,0.7213776553078806,13,608.3984930448789,0.5272732878135848,1.0,1.0,1.0,formula,,1.0,1.0,1.0,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,17.16320992016978,14.129495704576291,0.30279414236693825,0.3457052431355381,671.9686493725102,44.797909958167345,16,16,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_140059_formula\tables\D631-7_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_140059_formula\figures\D631-7_rotation_curve.png,ok,
DDO064,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO064_normalized.csv,formula,,727.3483060279276,727.3483060279276,727.3483060279276,False,False,0.36367415301396383,0.5715218935966693,,,gbar_char_logmean,sigma_char_rms,294.89539265251096,254.48699639190355,0.7046046336875154,0.6900400071815125,0.7204289819595103,14,608.3984930448789,0.5272732878135848,1.0,1.0,1.0,formula,,1.0,1.0,1.0,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,10.425014849129823,9.110958615301413,0.5019456858997765,0.23349948037805196,63.75827059369093,4.904482353360841,14,14,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_140059_formula\tables\DDO064_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_140059_formula\figures\DDO064_rotation_curve.png,ok,
DDO154,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO154_normalized.csv,formula,,428.16791236265885,428.16791236265885,428.16791236265885,False,False,0.21408395618132942,0.27240054184556595,,,gbar_char_logmean,sigma_char_rms,113.39115958443993,117.12170534208285,0.7127266373150732,0.7969317010185614,0.7460956013944321,12,608.3984930448789,0.5272732878135848,1.0,1.0,1.0,formula,,1.0,1.0,1.0,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,15.644837771130936,13.749187115274994,0.3208731044523225,0.3868377311243906,31890.704138441473,2899.1549216764975,12,12,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_140059_formula\tables\DDO154_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_140059_formula\figures\DDO154_rotation_curve.png,ok,
DDO161,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO161_normalized.csv,formula,,503.9329292215355,503.9329292215355,503.9329292215355,False,False,0.25196646461076777,0.3368384606977004,,,gbar_char_logmean,sigma_char_rms,203.02229299363057,210.89414656458226,0.4409687802143459,0.5493752047785536,0.5123668790559269,31,608.3984930448789,0.5272732878135848,1.0,1.0,1.0,formula,,1.0,1.0,1.0,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,17.882676841945926,14.177853469472222,0.23441358134673124,0.2837590653802052,7106.627068306299,236.8875689435433,31,31,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_140059_formula\tables\DDO161_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_140059_formula\figures\DDO161_rotation_curve.png,ok,
DDO168,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO168_normalized.csv,formula,,804.9702257441252,804.9702257441252,804.9702257441252,False,False,0.40248511287206257,0.6735984684945334,,,gbar_char_logmean,sigma_char_rms,349.09260200070753,336.41905162291397,0.5818587686821431,0.7206637801841629,0.6423095934848321,10,608.3984930448789,0.5272732878135848,1.0,1.0,1.0,formula,,1.0,1.0,1.0,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,11.145917127050735,9.165238037615449,0.1973245917992105,0.2592393492435142,403.35105860430303,44.81678428936701,10,10,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_140059_formula\tables\DDO168_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_140059_formula\figures\DDO168_rotation_curve.png,ok,
DDO170,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO170_normalized.csv,formula,,411.30502248581774,411.30502248581774,411.30502248581774,False,False,0.20565251124290887,0.2588948969483011,,,gbar_char_logmean,sigma_char_rms,145.149332915392,133.28663783148613,0.6182571731962272,0.6291624965062734,0.6231043411401808,8,608.3984930448789,0.5272732878135848,1.0,1.0,1.0,formula,,1.0,1.0,1.0,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,20.61314991918267,19.296155903493457,0.3504012952952829,0.3747728995225562,2804.991910920195,400.71313013145647,8,8,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_140059_formula\tables\DDO170_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_140059_formula\figures\DDO170_rotation_curve.png,ok,
ESO079-G014,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\ESO079-G014_normalized.csv,formula,,1319.8277830327372,1319.8277830327372,1319.8277830327372,False,False,0.6599138915163686,1.9404317761133447,,,gbar_char_logmean,sigma_char_rms,1608.9090643776824,1661.706405566926,0.3194867885460212,0.38932641623190095,0.3746001817103559,12,608.3984930448789,0.5272732878135848,1.0,1.0,1.0,formula,,1.0,1.0,1.0,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,26.850966508373247,22.318854148015156,0.16050791079694626,0.18379418539566628,1465.9353684126072,104.70966917232909,15,15,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_140059_formula\tables\ESO079-G014_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_140059_formula\figures\ESO079-G014_rotation_curve.png,ok,
