galaxy,r_kpc,v_obs_kms,v_vis_kms,v_err_kms,h_kpc,source_path,segment_index,Dw_i,sigma_i,beta_i,S_i,I_int_i,I_ext_i,DeltaD_i,segment_density_eff_msun_per_kpc3,segment_wedge_volume_eff_kpc3,v_bar_kms,delta_v_i,C_i
DDO168,0.41,15.0,13.301372109673498,4.1,1.24,data\derived\crossmatch\sparc_structure_test32\per_galaxy\DDO168_structure_enriched.csv,1,2.338001907854017,0.10762250956485397,0.2219632202903082,1411436.8717334084,1695138.329382244,1440867.5799749075,0.15,59085011.817944735,2.52681,13.301372109673498,0.11324185935510016,0.016986278903265022
DDO168,0.82,23.4,22.071746645881923,1.3,1.24,data\derived\crossmatch\sparc_structure_test32\per_galaxy\DDO168_structure_enriched.csv,1,2.338001907854017,0.10762250956485397,0.2219632202903082,1411436.8717334084,1695138.329382244,1440867.5799749075,0.15,59085011.817944735,2.52681,22.071746645881923,0.05676296385119981,0.008514444577679971
DDO168,1.24,29.2,25.138022993067693,1.5,1.24,data\derived\crossmatch\sparc_structure_test32\per_galaxy\DDO168_structure_enriched.csv,1,2.338001907854017,0.10762250956485397,0.2219632202903082,1411436.8717334084,1695138.329382244,1440867.5799749075,0.15,59085011.817944735,2.52681,25.138022993067693,0.13910880160727077,0.020866320241090613
DDO168,1.64,36.2,25.762765767673315,1.1,1.24,data\derived\crossmatch\sparc_structure_test32\per_galaxy\DDO168_structure_enriched.csv,1,2.338001907854017,0.10762250956485397,0.2219632202903082,1411436.8717334084,1695138.329382244,1440867.5799749075,0.15,59085011.817944735,2.52681,25.762765767673315,0.28832138763333387,0.04324820814500008
DDO168,2.47,52.1,28.32203735609428,1.2,1.24,data\derived\crossmatch\sparc_structure_test32\per_galaxy\DDO168_structure_enriched.csv,2,2.230379398289163,0.10762250956485397,0.0816557054410123,804246.0719736515,1302136.844268526,1106816.317628247,0.15000000000000008,91516478.10766615,6.7415699999999985,28.32203735609428,0.45639083769492744,0.06845862565423916
DDO168,2.89,52.9,28.554554803043242,1.7,1.24,data\derived\crossmatch\sparc_structure_test32\per_galaxy\DDO168_structure_enriched.csv,2,2.230379398289163,0.10762250956485397,0.0816557054410123,804246.0719736515,1302136.844268526,1106816.317628247,0.15000000000000008,91516478.10766615,6.7415699999999985,28.554554803043242,0.4602163553299954,0.06903245329949935
DDO168,3.3,54.8,28.506204587773517,2.2,1.24,data\derived\crossmatch\sparc_structure_test32\per_galaxy\DDO168_structure_enriched.csv,2,2.230379398289163,0.10762250956485397,0.0816557054410123,804246.0719736515,1302136.844268526,1106816.317628247,0.15000000000000008,91516478.10766615,6.7415699999999985,28.506204587773517,0.4798137848946438,0.07197206773419661
DDO168,3.71,55.0,28.488123841348344,2.5,1.24,data\derived\crossmatch\sparc_structure_test32\per_galaxy\DDO168_structure_enriched.csv,2,2.230379398289163,0.10762250956485397,0.0816557054410123,804246.0719736515,1302136.844268526,1106816.317628247,0.15000000000000008,91516478.10766615,6.7415699999999985,28.488123841348344,0.4820341119754847,0.07230511679632273
DDO168,4.12,52.0,28.01935937882949,2.7,1.24,data\derived\crossmatch\sparc_structure_test32\per_galaxy\DDO168_structure_enriched.csv,2,2.230379398289163,0.10762250956485397,0.0816557054410123,804246.0719736515,1302136.844268526,1106816.317628247,0.15000000000000008,91516478.10766615,6.7415699999999985,28.01935937882949,0.46116616579174063,0.06917492486876113
ESO563-G021,0.45,18.9,65.19,9.78,0.35,data\derived\crossmatch\sparc_structure_test32\per_galaxy\ESO563-G021_structure_enriched.csv,1,2.10705888903762,0.008663310458691509,2.0032647362399478e-20,4.636661338935868e-13,0.047892032377770975,0.040708227521105325,0.15000000000000008,2671672080.6021585,4.166312500000001,65.19,2.4492063492063494,0.3673809523809526
ESO563-G021,1.34,58.3,120.17,10.5,0.35,data\derived\crossmatch\sparc_structure_test32\per_galaxy\ESO563-G021_structure_enriched.csv,1,2.10705888903762,0.008663310458691509,2.0032647362399478e-20,4.636661338935868e-13,0.047892032377770975,0.040708227521105325,0.15000000000000008,2671672080.6021585,4.166312500000001,120.17,1.0612349914236707,0.1591852487135507
ESO563-G021,2.23,74.1,137.48,5.69,0.35,data\derived\crossmatch\sparc_structure_test32\per_galaxy\ESO563-G021_structure_enriched.csv,1,2.10705888903762,0.008663310458691509,2.0032647362399478e-20,4.636661338935868e-13,0.047892032377770975,0.040708227521105325,0.15000000000000008,2671672080.6021585,4.166312500000001,137.48,0.8553306342780027,0.12829959514170047
ESO563-G021,3.12,119.0,146.18,4.27,0.35,data\derived\crossmatch\sparc_structure_test32\per_galaxy\ESO563-G021_structure_enriched.csv,1,2.10705888903762,0.008663310458691509,2.0032647362399478e-20,4.636661338935868e-13,0.047892032377770975,0.040708227521105325,0.15000000000000008,2671672080.6021585,4.166312500000001,146.18,0.22840336134453787,0.0342605042016807
ESO563-G021,4.01,141.0,157.86,3.76,0.35,data\derived\crossmatch\sparc_structure_test32\per_galaxy\ESO563-G021_structure_enriched.csv,1,2.10705888903762,0.008663310458691509,2.0032647362399478e-20,4.636661338935868e-13,0.047892032377770975,0.040708227521105325,0.15000000000000008,2671672080.6021585,4.166312500000001,157.86,0.11957446808510648,0.01793617021276598
ESO563-G021,5.79,227.0,199.19,4.2,0.35,data\derived\crossmatch\sparc_structure_test32\per_galaxy\ESO563-G021_structure_enriched.csv,2,2.1157221994963114,0.013928168292118626,1.0419012351871175e-12,8.65379400830692e-05,0.09990735130182454,0.08492124860655086,0.15000000000000005,5963290887.971518,19.585912500000003,199.19,0.12251101321585904,0.018376651982378863
