dataset,rows_read,rows_written,D_loc_pos_nonnull,D_loc_kin_nonnull,D_loc_nonnull,shells_nonempty,median_D_loc,median_lambda_pos
5d,22517,22517,22517,22517,22517,5,2.3251512868303177,0.4030146395426611
6d,858,858,858,858,858,3,2.813658526148612,0.49811235065474235
