dataset,shell,shell_center_kpc,n_shell,D_halo_shell,Delta_halo_shell,sigma_bar_shell,observed_variance_shell,standard_variance_shell,topological_gradient_term,topological_prediction_norm
6d,5-10,7.5,824,2.8787329902604015,-0.12126700973959847,-7.623632139236871e-16,19799.74727412438,19799.74727412438,0.24396491806938508,40026.42079126755
6d,10-20,15.0,31,4.708469875780789,1.7084698757807892,-4.196951038432212e-16,82908.12333677658,82908.12333677658,,
6d,20-40,30.0,0,,,,,,,
6d,40-80,60.0,3,37.21903703157823,34.21903703157823,6.001208001166659e-16,1811095.2847156005,1811095.2847156005,,
6d,80+,100.0,0,,,,,,0.24396491806938508,
