dataset,shell,shell_center_kpc,n_shell,D_halo_shell,Delta_halo_shell,sigma_bar_shell,observed_variance_shell,standard_variance_shell,topological_gradient_term,topological_prediction_norm
5d,5-10,7.5,8610,2.4369094487567575,-0.5630905512432425,3.65400143035976e-16,19969.820666005413,19969.820666005413,0.0021427226650873347,20166.623415559523
5d,10-20,15.0,7593,2.4208390287686026,-0.5791609712313974,3.0272059754601293e-16,30165.229927636057,30165.229927636065,0.007037830822566629,30811.63390671626
5d,20-40,30.0,3458,2.3152715664301033,-0.6847284335698967,1.099682418252754e-16,91847.04710541131,91847.04710541131,0.003685582554563404,92185.55697991118
5d,40-80,60.0,1512,2.2047040897932013,-0.7952959102067987,1.7174423757736558e-17,241909.23611924233,241909.23611924233,0.00019875341857148035,241927.49103384023
5d,80+,100.0,1344,2.2126542265360607,-0.7873457734639393,-1.5097756127473815e-16,603980010.5888257,603980010.5888257,0.00019875341857148035,603980028.8437403
