galaxy,source_file,beta_mode,beta_mean,beta_max,d_eff_mean,d_eff_max,cinfo_cap_mean,eta_mean,eta_max,struct_to_bar_ratio_mean,struct_to_bar_ratio_max,sigma_flip_severity,a_newton_source,rmse_kmps,mean_absolute_fractional_error,n_points,status,error
NGC6195,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC6195_normalized.csv,local_structural_coupling_v4,81.10724600547921,111.90927050773533,2.265531504931854,2.4125188000953735,0.5270210032879022,0.4386831735043057,0.5937480863987677,0.31307136710624134,0.3647226942247692,94.38946182275163,computed_from_baryonic_velocity,20.55588054761109,0.0615732589288712,23,ok,
NGC5371,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC5371_normalized.csv,local_structural_coupling_v4,74.5005252741776,105.57392386726785,2.242940488281885,2.3734940872598194,0.5119603255212565,0.44501574937353017,0.5949648700344097,0.22058099229725348,0.3093031571851188,59.13388590091182,computed_from_baryonic_velocity,19.25878127443301,0.06873805931479014,19,ok,
F563-V1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\F563-V1_normalized.csv,local_structural_coupling_v4,72.14400594229768,80.22247537235424,2.2248548256128657,2.255580782283535,0.4999032170752436,0.44997125547134714,0.5338119985192964,0.29781188335786973,0.4740853278785148,7.156700740577511,computed_from_baryonic_velocity,2.745393557596357,0.09959515496291593,6,ok,
NGC2955,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC2955_normalized.csv,local_structural_coupling_v4,69.96235503924521,102.51005594757935,2.224584044056964,2.357915354002702,0.49972269603797614,0.46127355687873006,0.5895321295679044,0.37216028670426105,0.4789462559028953,202.45240854979102,computed_from_baryonic_velocity,37.12147451465224,0.11883000776001872,24,ok,
F574-2,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\F574-2_normalized.csv,local_structural_coupling_v4,81.4905916734755,83.99571952808947,2.259650169559952,2.2700769836110313,0.523100113039968,0.4568607335728715,0.5274690245340795,0.3390918622853939,0.520674484696988,2.9531182988523756,computed_from_baryonic_velocity,2.7675415609002174,0.12109941106681725,5,ok,
NGC5005,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC5005_normalized.csv,local_structural_coupling_v4,74.38904398264665,101.33280246484786,2.23788804419964,2.3523144450414764,0.5085920294664265,0.4471657643585218,0.5827229734064269,0.444541383525246,0.5895396387334355,893.0297604133693,computed_from_baryonic_velocity,41.15444817434794,0.12451681600541997,18,ok,
NGC3521,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC3521_normalized.csv,local_structural_coupling_v4,81.5284264809898,119.21882504173904,2.2746761326422003,2.459144933024418,0.5331174217614669,0.4519280201123226,0.6101140608381723,0.45293234418915124,0.6473115321385242,631.6317606787843,computed_from_baryonic_velocity,40.90211369749978,0.13221569586496065,41,ok,
UGC06628,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC06628_normalized.csv,local_structural_coupling_v4,79.71154194613311,90.23667365777001,2.2555354587901877,2.298844233700015,0.5203569725267919,0.4556917858419025,0.54930225283661,0.4359201018259518,0.498018700432602,10.317965934512813,computed_from_baryonic_velocity,5.766106629536593,0.1357856839861642,7,ok,
NGC3949,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC3949_normalized.csv,local_structural_coupling_v4,61.92865989405227,78.52213522626906,2.1911947207459197,2.2501552410894505,0.4774631471639463,0.4433097907753349,0.5394415882476357,0.4464964083886401,0.5786514593440305,207.9050188162987,computed_from_baryonic_velocity,32.53264673665736,0.15084303082247436,7,ok,
F561-1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\F561-1_normalized.csv,local_structural_coupling_v4,83.15652184394082,98.12769843507499,2.277358421878328,2.3416136650488237,0.5349056145855517,0.46036696753190903,0.548570349743293,0.3952823302140009,0.4471483797974126,2.983417155858916,computed_from_baryonic_velocity,9.290601888675987,0.17551070544750758,6,ok,
NGC0801,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC0801_normalized.csv,local_structural_coupling_v4,61.92535930449666,92.48405793238776,2.196460071716668,2.3076632132179773,0.4809733811444453,0.4567714134792136,0.5776966562364398,0.3161819585558256,0.5983373889669559,320.55953150561726,computed_from_baryonic_velocity,39.47259737735763,0.1773115545807114,13,ok,
NGC4088,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC4088_normalized.csv,local_structural_coupling_v4,63.14589011327461,91.12839692994737,2.1990758349705515,2.301736233471604,0.4827172233137007,0.45250707508328564,0.5730916226415353,0.3890164870131414,0.5068137014955116,106.2689261011746,computed_from_baryonic_velocity,34.21940187118139,0.18730969617855528,12,ok,
NGC3953,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC3953_normalized.csv,local_structural_coupling_v4,90.53253660752192,112.56727062887546,2.315616077486232,2.4226473357759657,0.5604107183241549,0.4670956085341075,0.5772332269875653,0.43525618068024285,0.5634889195943125,101.63346221867982,computed_from_baryonic_velocity,43.41081637660976,0.18748105753880645,8,ok,
