dataset,observation_date,time_value,time_reference,radius_arcsec,ra_offset_arcsec,dec_offset_arcsec,x_center_arcsec,y_center_arcsec,source_id
Tylenda,2002-04-30,120.0,t in days since 2002-01-01 per paper,18.55,,,-0.84,0.46,SRC-01
Tylenda,2002-05-20,140.0,t in days since 2002-01-01 per paper,20.89,,,-1.12,0.51,SRC-01
Tylenda,2002-09-02,245.0,t in days since 2002-01-01 per paper,30.32,,,-2.27,0.37,SRC-01
Tylenda,2002-10-28,301.0,t in days since 2002-01-01 per paper,33.68,,,-2.36,1.11,SRC-01
Tylenda,2002-12-17,351.0,t in days since 2002-01-01 per paper,36.66,,,-2.61,1.58,SRC-01
Crause,2002-05-01,85.0,time since 2002-02-05 peak per paper,19.5,-1.0,1.0,,,SRC-02
Crause,2002-06-02,117.0,time since 2002-02-05 peak per paper,21.4,0.0,0.0,,,SRC-02
Crause,2002-09-16,223.0,time since 2002-02-05 peak per paper,31.9,-2.0,0.0,,,SRC-02
Crause,2002-10-31,268.0,time since 2002-02-05 peak per paper,34.1,-2.0,2.0,,,SRC-02
Crause,2003-01-26,355.0,time since 2002-02-05 peak per paper,39.4,-3.0,2.0,,,SRC-02
Crause,2003-04-19,438.0,time since 2002-02-05 peak per paper,44.3,-4.0,3.0,,,SRC-02
Crause,2003-05-21,470.0,time since 2002-02-05 peak per paper,46.5,-5.0,3.0,,,SRC-02
Crause,2003-09-12,584.0,time since 2002-02-05 peak per paper,51.8,-6.0,3.0,,,SRC-02
Crause,2003-11-03,636.0,time since 2002-02-05 peak per paper,53.9,-7.0,3.0,,,SRC-02
Crause,2004-03-24,778.0,time since 2002-02-05 peak per paper,58.6,-7.0,5.0,,,SRC-02
Crause,2004-05-07,822.0,time since 2002-02-05 peak per paper,61.4,-8.0,7.0,,,SRC-02
Crause,2004-12-11,1040.0,time since 2002-02-05 peak per paper,70.1,-10.0,9.0,,,SRC-02
