galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta_raw,beta_formula,beta_clipped,use_dimension_proxy,d_eff_proxy,d_eff_boost,beta_mode
UGC12632,0.71,24.1,7.55,0.7965284043849126,285.59281690140847,2243.741984182853,2529.334801084261,14.239764745247726,39.91311574870879,42.37720742061498,,1338.535819029585,2000.0,True,1.560550922705372,1.849544931577367,formula
UGC12632,1.42,33.6,5.02,0.7791708465297994,285.42492957746475,1097.4237275067599,1382.8486570842247,20.132148419878092,39.4758368253239,44.31303524990811,,1338.535819029585,2000.0,True,1.560550922705372,1.849544931577367,formula
UGC12632,2.14,44.8,3.38,0.8625809561284232,294.00607476635514,806.150426288246,1100.156501054601,25.08332115171354,41.53506846337016,48.521489180123545,,1338.535819029585,2000.0,True,1.560550922705372,1.849544931577367,formula
UGC12632,2.85,54.4,2.9,0.9385091224037899,286.9475087719298,658.6028929149403,945.5504016868701,28.597209654090378,43.324568604979554,51.91164267105771,,1338.535819029585,2000.0,True,1.560550922705372,1.849544931577367,formula
UGC12632,3.55,57.4,2.89,0.9570774485068801,248.6059718309859,539.1985625390874,787.8045343700734,29.707763295138864,43.751055953128265,52.88389260458954,,1338.535819029585,2000.0,True,1.560550922705372,1.849544931577367,formula
UGC12632,4.26,61.4,3.44,0.9908779448246645,223.91617370892018,465.2009130632228,689.117086772143,30.88499473854577,44.516916892899594,54.18153550472088,,1338.535819029585,2000.0,True,1.560550922705372,1.849544931577367,formula
UGC12632,4.97,63.8,3.64,0.9763610849613769,212.37086519114686,392.90184505488,605.2727102460269,32.48820093510873,44.189616087071336,54.84710903887965,,1338.535819029585,2000.0,True,1.560550922705372,1.849544931577367,formula
UGC12632,5.69,65.5,3.82,0.9761418577590215,195.5874340949033,343.1078586147703,538.6952927096736,33.3600434651995,44.18465475159949,55.36403359147564,,1338.535819029585,2000.0,True,1.560550922705372,1.849544931577367,formula
UGC12632,6.4,67.6,3.54,0.9254792283078359,201.66424999999998,289.2122588461987,490.8765088461987,35.92563430198554,43.02276672432483,56.05006384131665,,1338.535819029585,2000.0,True,1.560550922705372,1.849544931577367,formula
UGC12632,7.11,69.2,2.91,0.914815888910012,193.63551336146273,257.3321769085828,450.9676902700455,37.10456171416124,42.774195232874035,56.62490863409869,,1338.535819029585,2000.0,True,1.560550922705372,1.849544931577367,formula
UGC12632,7.82,70.3,2.79,0.8737021826471477,194.51790281329923,223.4532436437718,417.97114645707103,39.001666631055656,41.80196604580095,57.17109728957715,,1338.535819029585,2000.0,True,1.560550922705372,1.849544931577367,formula
UGC12632,8.52,71.4,2.93,0.8733406410972033,184.27719483568075,205.00954016366276,389.2867349993435,39.623751715353755,41.79331623829828,57.59099740579604,,1338.535819029585,2000.0,True,1.560550922705372,1.849544931577367,formula
UGC12632,9.25,73.2,3.0,0.8910524155438031,173.2507027027027,192.65998173920067,365.9106844419034,40.03209962017981,42.214983490315454,58.17794969821132,,1338.535819029585,2000.0,True,1.560550922705372,1.849544931577367,formula
UGC12632,9.95,73.0,2.81,0.8647906181805475,167.28511557788946,173.82725993578845,341.1123755136779,40.798123731367845,41.58823435012714,58.25863143227014,,1338.535819029585,2000.0,True,1.560550922705372,1.849544931577367,formula
UGC12632,10.66,73.1,2.79,0.8532260571101333,159.57607879924953,160.07993566794246,319.656014467192,41.24416322341865,41.30922553401681,58.37407912952689,,1338.535819029585,2000.0,True,1.560550922705372,1.849544931577367,formula
