galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta_raw,beta_formula,beta_clipped,use_dimension_proxy,d_eff_proxy,d_eff_boost,beta_mode
DDO064,0.1,6.29,4.62,1.4013264814026678,51.18499999999999,28026.52962805335,28077.714628053352,2.262410219213129,52.940088428386055,52.9884087589478,,1388.8237290772013,2000.0,True,1.7107694933276671,1.848926718774469,formula
DDO064,0.3,13.9,4.62,1.0421723882709883,152.72866666666664,6947.81592180659,7100.544588473257,6.768943787622999,45.65462491951913,46.153692989207016,,1388.8237290772013,2000.0,True,1.7107694933276671,1.848926718774469,formula
DDO064,0.49,15.6,4.62,0.7407270370638993,191.6704081632653,3023.375661485303,3215.0460696485684,9.691155761827378,38.48966191236029,39.6909633812005,,1388.8237290772013,2000.0,True,1.7107694933276671,1.848926718774469,formula
DDO064,0.69,18.4,4.62,0.44861944704116447,289.80652173913046,1300.3462233077232,1590.1527450468536,14.140951170271396,29.953946218859524,33.12409084159638,,1388.8237290772013,2000.0,True,1.7107694933276671,1.848926718774469,formula
DDO064,0.89,22.5,4.62,0.6236243726950539,262.16011235955057,1401.4030847079864,1663.563197067537,15.274897708331798,35.316409010403476,38.47819181549606,,1388.8237290772013,2000.0,True,1.7107694933276671,1.848926718774469,formula
DDO064,1.09,26.5,4.62,0.6877239217554336,269.7146788990825,1261.878755514557,1531.5934344136394,17.146107429967888,37.08703066451758,40.858742559100705,,1388.8237290772013,2000.0,True,1.7107694933276671,1.848926718774469,formula
DDO064,1.29,35.3,4.62,0.8779006458350009,299.98426356589147,1361.0862726124044,1661.070536178296,19.671799612643476,41.90228265464785,46.2901824544903,,1388.8237290772013,2000.0,True,1.7107694933276671,1.848926718774469,formula
DDO064,1.48,40.5,4.62,0.8628894051963782,352.60810810810807,1166.0667637788895,1518.6748718869976,22.844255295369116,41.542494031927795,47.40926924550469,,1388.8237290772013,2000.0,True,1.7107694933276671,1.848926718774469,formula
DDO064,1.68,44.2,4.89,0.8545400299970797,374.97738095238105,1017.3095595203331,1392.2869404727142,25.09904380648793,41.34102151609415,48.36364399002788,,1388.8237290772013,2000.0,True,1.7107694933276671,1.848926718774469,formula
DDO064,1.88,46.3,4.62,0.8364157034900674,378.5091489361702,889.8039398830506,1268.3130888192209,26.6757792763398,40.90026169818642,48.83061137217243,,1388.8237290772013,2000.0,True,1.7107694933276671,1.848926718774469,formula
DDO064,2.08,46.4,4.62,0.8056240526864485,360.8363461538462,774.6385121985081,1135.4748583523542,27.395977806970134,40.140355072830346,48.59822738920522,,1388.8237290772013,2000.0,True,1.7107694933276671,1.848926718774469,formula
DDO064,2.27,46.3,4.62,0.7956849233733724,334.4237004405287,701.0439853509889,1035.4676857915176,27.552528014684974,39.89197722282947,48.48207552020381,,1388.8237290772013,2000.0,True,1.7107694933276671,1.848926718774469,formula
DDO064,2.37,46.4,6.73,0.7891838022193364,325.01274261603373,665.9778921682163,990.99063478425,27.753922245333182,39.72867483869394,48.462849735015304,,1388.8237290772013,2000.0,True,1.7107694933276671,1.848926718774469,formula
DDO064,2.98,46.9,8.65,0.7886011850192157,264.32651006711416,529.2625402813528,793.589050348467,28.065868951450625,39.71400722715389,48.63018990337619,,1388.8237290772013,2000.0,True,1.7107694933276671,1.848926718774469,formula
