galaxy,source_file,beta_mode,beta,beta_mean,beta_max,d_eff_mean,d_eff_max,cinfo_cap_mean,a_newton_source,rmse_kmps,mean_absolute_fractional_error,n_points,status,error
NGC5371,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC5371_normalized.csv,local_structural_coupling_v2,77.08793525558808,77.08793525558808,105.93966358859444,2.3226357988948667,2.494662272089437,0.5587643404613843,computed_from_baryonic_velocity,28.061126139217325,0.10638765483285391,19,ok,
NGC0801,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC0801_normalized.csv,local_structural_coupling_v2,64.83969307043206,64.83969307043206,95.33661060993074,2.2653838710118595,2.431135805326465,0.5217189753606146,computed_from_baryonic_velocity,27.99930753682996,0.13122132895213895,13,ok,
NGC5055,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC5055_normalized.csv,local_structural_coupling_v2,68.95749371918741,68.95749371918741,86.89602724937524,2.2735402854854767,2.3723994734913108,0.5269966553141321,computed_from_baryonic_velocity,37.04813273521865,0.1702108093316543,28,ok,
NGC7331,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC7331_normalized.csv,local_structural_coupling_v2,76.55911935180444,76.55911935180444,94.1540194943028,2.3115462283307853,2.419570237537679,0.5515887359787436,computed_from_baryonic_velocity,50.646596157651366,0.17763284614636848,36,ok,
NGC2998,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC2998_normalized.csv,local_structural_coupling_v2,63.44874438545584,63.44874438545584,100.01269194553448,2.2595564099548446,2.464742916514061,0.5179482652648995,computed_from_baryonic_velocity,43.719572557682575,0.18889669314697066,13,ok,
UGC09037,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC09037_normalized.csv,local_structural_coupling_v2,76.08669314109751,76.08669314109751,91.56684060216605,2.3096477833029967,2.415136995518965,0.5503603303725269,computed_from_baryonic_velocity,31.231905097199597,0.1898197307980296,22,ok,
NGC5907,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC5907_normalized.csv,local_structural_coupling_v2,69.52967322637036,69.52967322637036,83.91706984082208,2.277279056414877,2.352517129385009,0.5294158600331557,computed_from_baryonic_velocity,51.052830913707595,0.21407504853745601,19,ok,
UGC02885,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC02885_normalized.csv,local_structural_coupling_v2,75.90755597151106,75.90755597151106,88.67055524058267,2.3048562955971468,2.387481382903576,0.5472599559746246,computed_from_baryonic_velocity,73.12967406460513,0.2196599445540804,19,ok,
NGC3992,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC3992_normalized.csv,local_structural_coupling_v2,64.34441959199401,64.34441959199401,82.61187713125253,2.2514417874757333,2.3491826572195547,0.5126976271901804,computed_from_baryonic_velocity,61.82864444439649,0.23530967449442672,9,ok,
NGC3726,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC3726_normalized.csv,local_structural_coupling_v2,73.56818645142923,73.56818645142923,102.11904791623762,2.308403803227892,2.4823563851339,0.5495554020886357,computed_from_baryonic_velocity,43.970369729999526,0.23985769783018948,12,ok,
