galaxy,source_file,beta_mode,beta,beta_mean,beta_max,d_eff_mean,d_eff_max,cinfo_cap_mean,a_newton_source,rmse_kmps,mean_absolute_fractional_error,n_points,status,error
CamB,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\CamB_normalized.csv,local_structural_coupling_v2,88.27797486331366,88.27797486331366,115.4551154149282,2.380656583336814,2.6432464935907194,0.5963072009826446,computed_from_baryonic_velocity,69.43847972682892,12.742171586100344,9,ok,
UGCA281,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGCA281_normalized.csv,local_structural_coupling_v2,82.86737948516927,82.86737948516927,90.37918145112431,2.3368912938136797,2.426277923600283,0.5679884842323809,computed_from_baryonic_velocity,130.84996234943372,8.289856750063597,7,ok,
NGC6789,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC6789_normalized.csv,local_structural_coupling_v2,96.0248362363267,96.0248362363267,100.41757292782376,2.426203575291599,2.4926900542729893,0.6257787840122111,computed_from_baryonic_velocity,200.70017976305414,8.197896252372953,4,ok,
NGC2976,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC2976_normalized.csv,local_structural_coupling_v2,90.58289476823511,90.58289476823511,128.79300872180045,2.4082195915283524,2.725052335786869,0.6141420886359925,computed_from_baryonic_velocity,274.01282259888603,7.928733152835571,27,ok,
UGC07577,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC07577_normalized.csv,local_structural_coupling_v2,89.30232800222474,89.30232800222474,118.1393345427545,2.388385162075898,2.663112970417374,0.6013080460491108,computed_from_baryonic_velocity,53.81826758755962,6.722609474160496,9,ok,
UGC04483,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC04483_normalized.csv,local_structural_coupling_v2,77.43850755225935,77.43850755225935,93.82293049452545,2.3154012503932577,2.43964849150727,0.5540831620191667,computed_from_baryonic_velocity,73.42737569490791,6.033748577984273,8,ok,
NGC4068,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC4068_normalized.csv,local_structural_coupling_v2,84.77478157447068,84.77478157447068,94.50726738206457,2.3518007517646358,2.4519667176142477,0.5776357805535878,computed_from_baryonic_velocity,67.34846331896131,6.0044738969091975,6,ok,
UGC07232,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC07232_normalized.csv,local_structural_coupling_v2,87.25309716109722,87.25309716109722,93.60880491293085,2.3727310213920836,2.4612570960419733,0.5911788961948776,computed_from_baryonic_velocity,164.12670957966841,5.820160918915001,4,ok,
KK98-251,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\KK98-251_normalized.csv,local_structural_coupling_v2,84.15402873450833,84.15402873450833,106.87547766422831,2.354277369793863,2.5796655985475203,0.579238298101911,computed_from_baryonic_velocity,53.1995963768551,4.101364706576819,15,ok,
UGC11557,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC11557_normalized.csv,local_structural_coupling_v2,91.20254596650456,91.20254596650456,138.95830507946334,2.4324089684673242,2.818965146402056,0.6297940384200335,computed_from_baryonic_velocity,75.7193609675028,3.8197650981602522,12,ok,
UGC04305,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC04305_normalized.csv,local_structural_coupling_v2,79.84245654886153,79.84245654886153,111.46889334058382,2.3297710433819567,2.5625813061963707,0.5633812633647953,computed_from_baryonic_velocity,52.831525693584815,3.3443908377571376,22,ok,
DDO064,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\DDO064_normalized.csv,local_structural_coupling_v2,76.28096492423039,76.28096492423039,88.84341286083426,2.302192714407512,2.4165358923505944,0.5455364622636846,computed_from_baryonic_velocity,63.29858872764971,3.2993827551123056,14,ok,
UGC02455,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC02455_normalized.csv,local_structural_coupling_v2,70.07299739122966,70.07299739122966,94.67712822213555,2.2844812614872727,2.44976893970392,0.5340761103741176,computed_from_baryonic_velocity,93.181233118895,2.919627616397065,8,ok,
F571-8,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\F571-8_normalized.csv,local_structural_coupling_v2,73.40632686506332,73.40632686506332,99.228885215624,2.30503774563724,2.4658475560514876,0.5473773648240962,computed_from_baryonic_velocity,124.17211601473456,2.4341895983097337,13,ok,
UGC07559,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC07559_normalized.csv,local_structural_coupling_v2,74.3258488582986,74.3258488582986,75.7806467251396,2.2962078332451457,2.3141750860485337,0.5416638920998003,computed_from_baryonic_velocity,40.99489530572328,2.2770376500379963,7,ok,
UGC02023,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC02023_normalized.csv,local_structural_coupling_v2,74.76660159140481,74.76660159140481,75.58106372668313,2.2946904816714047,2.3024504470331895,0.5406820763756146,computed_from_baryonic_velocity,62.161661746966196,2.251909932003302,5,ok,
NGC2366,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC2366_normalized.csv,local_structural_coupling_v2,76.14433429699449,76.14433429699449,106.00342209445613,2.3118111039121665,2.5126767315418856,0.5517601260608137,computed_from_baryonic_velocity,50.11782545487683,2.138897221834918,26,ok,
UGCA444,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGCA444_normalized.csv,local_structural_coupling_v2,79.78239054197404,79.78239054197404,132.39382768090456,2.341348829030209,2.7402087305862093,0.5708727717254293,computed_from_baryonic_velocity,47.24498211147995,2.0344674366017625,36,ok,
UGC04278,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC04278_normalized.csv,local_structural_coupling_v2,86.52450790847706,86.52450790847706,120.98967448513557,2.3756891156885267,2.619150219035437,0.5930929572102231,computed_from_baryonic_velocity,60.42383447604282,1.9462883133503461,25,ok,
UGC05750,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC05750_normalized.csv,local_structural_coupling_v2,88.51882608406024,88.51882608406024,122.55257754084617,2.3876273094344427,2.6938965347156336,0.6008176708105217,computed_from_baryonic_velocity,32.865994460679744,1.8386033540359839,11,ok,
