galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc
F568-3,0.64,12.4,8.6,1.18,13.56,0.0,240.25000000000003
F568-3,1.18,21.9,6.2,1.55,21.17,0.0,406.4491525423729
F568-3,1.8,32.3,1.88,1.6,27.72,0.0,579.6055555555554
F568-3,2.03,37.9,6.2,1.54,29.76,0.0,707.5911330049261
F568-3,2.78,53.1,9.5,1.46,36.4,0.0,1014.248201438849
F568-3,3.0,62.4,11.0,1.62,38.08,0.0,1297.9199999999998
F568-3,3.64,68.0,6.2,2.96,42.4,0.0,1270.3296703296703
F568-3,4.19,78.0,7.98,5.28,45.43,0.0,1452.0286396181382
F568-3,4.6,82.3,6.2,6.86,46.43,0.0,1472.454347826087
F568-3,5.14,85.7,6.3,8.92,47.19,0.0,1428.8891050583659
F568-3,5.39,85.5,6.51,9.95,47.91,0.0,1356.26159554731
F568-3,6.31,89.5,15.6,14.48,50.48,0.0,1269.4532488114105
F568-3,9.1,95.2,15.5,26.69,51.31,0.0,995.9384615384616
F568-3,10.17,97.5,6.2,29.9,52.01,0.0,934.7345132743363
F568-3,11.99,101.0,10.2,33.72,51.6,0.0,850.7923269391159
F568-3,14.02,107.0,10.7,36.41,50.13,0.0,816.6191155492154
F568-3,15.94,117.0,11.7,38.69,49.27,0.0,858.7829360100377
F568-3,17.98,120.0,12.0,39.0,48.97,0.0,800.8898776418242
