galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc
NGC2841,3.44,285.0,14.4,-0.57,163.4,239.5,23611.918604651164
NGC2841,3.77,297.0,13.6,-0.57,171.13,229.25,23397.61273209549
NGC2841,4.13,303.0,8.47,-0.43,180.88,219.24,22229.782082324455
NGC2841,4.47,306.0,5.93,-0.1,188.37,210.91,20947.65100671141
NGC2841,4.8,307.0,5.93,-0.19,194.64,203.54,19635.208333333336
NGC2841,5.13,304.0,8.47,-0.28,200.57,196.88,18014.814814814814
NGC2841,5.48,308.0,8.47,-0.38,206.64,190.44,17310.948905109486
NGC2841,5.83,313.0,12.7,-0.48,211.29,184.57,16804.288164665522
NGC2841,6.16,314.0,9.32,-0.53,215.14,179.57,16005.844155844155
NGC2841,6.51,315.0,6.78,3.83,221.84,174.68,15241.935483870968
NGC2841,6.86,317.0,8.47,8.02,227.72,170.15,14648.542274052477
NGC2841,7.18,320.0,7.63,12.15,231.73,166.32,14261.838440111422
NGC2841,7.51,316.0,20.5,16.24,235.48,162.63,13296.404793608523
NGC2841,7.85,318.0,23.4,20.27,239.96,159.08,12882.03821656051
NGC2841,8.21,321.0,8.48,24.66,243.42,155.54,12550.669914738122
NGC2841,8.57,323.0,8.66,27.1,245.15,152.23,12173.745624270712
NGC2841,8.9,321.0,12.7,29.42,245.8,149.38,11577.640449438202
NGC2841,9.24,323.0,11.0,31.74,245.24,146.61,11291.017316017316
NGC2841,9.6,323.0,10.4,34.31,244.14,143.83,10867.604166666668
NGC2841,9.93,322.0,13.6,36.63,243.64,141.42,10441.490433031218
NGC2841,10.27,321.0,13.6,38.95,243.6,139.06,10033.203505355405
NGC2841,10.6,323.0,9.32,41.02,243.38,136.88,9842.358490566037
NGC2841,10.93,322.0,11.9,43.22,243.08,134.8,9486.184812442818
NGC2841,11.27,321.0,11.0,45.42,242.44,132.75,9142.945874001774
NGC2841,12.31,323.0,4.24,52.25,237.3,127.02,8475.142160844842
NGC2841,14.35,319.0,4.24,56.77,222.06,117.64,7091.358885017422
NGC2841,16.4,308.0,4.24,51.89,207.98,110.04,5784.39024390244
NGC2841,18.48,299.0,5.66,48.35,196.87,103.67,4837.7164502164505
NGC2841,20.57,299.0,5.66,54.45,185.72,98.26,4346.183762761303
NGC2841,22.51,298.0,5.66,63.61,176.98,93.93,3945.091070635273
NGC2841,24.59,296.0,5.66,66.17,168.93,89.87,3563.0744204961366
NGC2841,26.68,293.0,4.24,61.9,161.21,86.28,3217.728635682159
NGC2841,28.77,289.0,4.24,58.85,153.59,83.08,2903.0587417448733
NGC2841,30.7,289.0,4.24,57.01,147.56,80.43,2720.5537459283387
NGC2841,32.79,288.0,4.24,57.38,141.95,77.82,2529.551692589204
NGC2841,34.88,285.0,4.24,60.43,136.82,75.46,2328.6983944954127
NGC2841,36.96,283.0,2.83,64.09,132.38,73.3,2166.910173160173
NGC2841,38.9,275.0,2.83,66.9,128.66,71.45,1944.0874035989718
NGC2841,40.99,272.0,2.83,68.61,124.87,69.61,1804.9280312271285
NGC2841,43.08,271.0,2.83,68.98,121.52,67.9,1704.7585886722377
NGC2841,45.16,274.0,4.24,67.76,118.47,66.31,1662.444641275465
NGC2841,47.1,277.0,4.24,65.19,115.75,64.93,1629.0658174097664
NGC2841,49.19,281.0,4.24,62.26,113.11,63.54,1605.2246391542997
NGC2841,51.27,286.0,4.24,60.55,110.59,62.24,1595.3969182757946
NGC2841,53.36,282.0,4.24,60.55,108.3,61.01,1490.3298350824589
NGC2841,55.3,283.0,4.24,62.39,106.31,59.93,1448.264014466546
NGC2841,57.38,288.0,5.66,64.95,104.23,58.83,1445.5210874869292
NGC2841,59.47,287.0,5.66,67.27,102.32,57.79,1385.0512863628721
NGC2841,61.56,289.0,7.07,68.49,100.51,56.8,1356.7413905133203
NGC2841,63.64,294.0,7.07,68.73,98.76,55.86,1358.2023884349467
