galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc
F571-V1,1.95,32.0,10.0,7.85,23.82,0.0,525.1282051282052
F571-V1,3.88,57.6,10.0,15.1,35.57,0.0,855.0927835051547
F571-V1,5.83,70.9,7.0,20.84,33.21,0.0,862.2315608919383
F571-V1,7.78,77.0,6.0,25.68,32.58,0.0,762.0822622107969
F571-V1,9.72,82.5,6.0,29.5,31.97,0.0,700.2314814814814
F571-V1,11.66,84.3,6.0,30.81,29.08,0.0,609.4759862778731
F571-V1,13.59,83.9,6.0,28.8,26.58,0.0,517.9698307579104
