galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc
NGC0247,1.08,34.6,0.9,2.87,22.18,0.0,1108.4814814814815
NGC0247,1.61,47.0,0.8,4.22,29.63,0.0,1372.0496894409937
NGC0247,2.15,59.1,3.1,5.53,34.54,0.0,1624.5627906976745
NGC0247,2.7,64.4,1.4,7.02,38.17,0.0,1536.0592592592593
NGC0247,3.22,67.4,2.3,8.74,41.49,0.0,1410.7950310559008
NGC0247,3.77,69.8,0.7,10.74,44.33,0.0,1292.318302387268
NGC0247,4.31,71.3,1.1,12.87,46.65,0.0,1179.5104408352668
NGC0247,4.85,73.2,1.7,14.02,48.71,0.0,1104.7917525773198
NGC0247,5.38,75.1,3.0,14.25,50.36,0.0,1048.3289962825277
NGC0247,5.92,78.5,3.8,15.4,51.67,0.0,1040.9206081081081
NGC0247,6.46,81.4,5.0,17.47,52.6,0.0,1025.6904024767803
NGC0247,6.99,83.5,7.0,20.12,53.23,0.0,997.4606580829757
NGC0247,7.53,87.1,7.2,23.34,53.67,0.0,1007.4913678618856
NGC0247,8.07,90.7,4.8,25.63,54.09,0.0,1019.3915737298636
NGC0247,8.62,93.1,1.4,27.36,54.75,0.0,1005.5232018561485
NGC0247,9.14,95.9,2.1,29.31,55.29,0.0,1006.2155361050329
NGC0247,9.69,98.4,5.2,31.5,55.46,0.0,999.2321981424151
NGC0247,10.23,101.0,8.2,33.45,55.35,0.0,997.1652003910068
NGC0247,10.76,103.0,9.4,35.18,54.98,0.0,985.9665427509294
NGC0247,11.3,104.0,9.4,36.44,54.45,0.0,957.1681415929203
NGC0247,11.84,105.0,8.9,37.01,53.82,0.0,931.1655405405405
NGC0247,12.38,105.0,8.4,37.01,53.2,0.0,890.5492730210016
NGC0247,12.91,105.0,9.0,36.33,52.54,0.0,853.9891556932611
NGC0247,13.48,106.0,8.4,35.29,51.7,0.0,833.5311572700297
NGC0247,14.01,108.0,7.7,34.03,50.9,0.0,832.5481798715203
NGC0247,14.54,107.0,9.2,32.65,50.18,0.0,787.4140302613481
