galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc
D631-7,0.45,8.41,1.58,8.4,9.99,0.0,157.17355555555554
D631-7,0.9,17.8,2.22,13.51,15.52,0.0,352.0444444444445
D631-7,1.35,26.0,2.35,16.7,20.76,0.0,500.7407407407407
D631-7,1.8,30.9,2.22,18.72,21.37,0.0,530.4499999999999
D631-7,2.25,34.7,1.82,19.9,19.92,0.0,535.1511111111112
D631-7,2.69,38.8,1.81,20.61,18.76,0.0,559.6431226765799
D631-7,3.14,42.5,1.57,20.73,17.36,0.0,575.2388535031847
D631-7,3.59,45.6,1.59,20.61,16.32,0.0,579.2089136490251
D631-7,4.04,48.8,1.83,20.38,15.37,0.0,589.4653465346533
D631-7,4.49,51.8,1.91,19.9,14.49,0.0,597.6035634743874
D631-7,4.94,54.8,2.19,19.43,13.72,0.0,607.902834008097
D631-7,5.39,56.6,2.73,18.84,13.04,0.0,594.352504638219
D631-7,5.84,58.4,3.27,18.25,12.45,0.0,584.0
D631-7,6.29,58.5,3.95,17.65,11.93,0.0,544.0779014308426
D631-7,6.74,57.7,4.07,17.06,11.48,0.0,493.95994065281906
D631-7,7.19,57.3,3.94,16.47,11.08,0.0,456.6467315716272
