galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc
UGC05005,0.78,14.5,8.1,3.09,15.78,0.0,269.55128205128204
UGC05005,2.34,32.6,26.8,8.01,29.57,0.0,454.1709401709402
UGC05005,3.91,48.6,11.3,11.69,39.92,0.0,604.081841432225
UGC05005,5.47,58.1,6.1,14.84,44.43,0.0,617.1133455210238
UGC05005,7.04,65.9,8.71,17.28,44.27,0.0,616.8764204545455
UGC05005,8.6,72.5,12.2,20.43,44.23,0.0,611.1918604651163
UGC05005,10.17,78.6,28.4,23.88,42.94,0.0,607.4690265486724
UGC05005,17.97,97.1,10.0,35.26,33.89,0.0,524.6750139120757
UGC05005,21.07,99.4,10.0,36.58,30.93,0.0,468.93023255813955
UGC05005,22.72,100.0,10.0,37.09,29.59,0.0,440.1408450704226
UGC05005,28.61,99.1,10.0,39.02,25.82,0.0,343.2649423278574
