galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc
NGC2998,0.33,90.0,20.0,0.0,44.56,0.0,24545.454545454544
NGC2998,0.99,125.0,15.0,0.66,93.23,0.0,15782.828282828283
NGC2998,1.98,148.0,15.0,2.66,132.13,0.0,11062.626262626263
NGC2998,2.64,180.0,17.0,4.03,154.64,0.0,12272.727272727272
NGC2998,3.63,201.0,15.0,6.22,196.69,0.0,11129.752066115703
NGC2998,7.59,206.0,10.0,16.84,221.58,0.0,5591.040843214756
NGC2998,12.5,214.0,5.0,32.06,213.19,0.0,3663.68
NGC2998,17.48,212.0,5.0,44.76,198.92,0.0,2571.1670480549196
NGC2998,22.46,213.0,2.0,52.43,175.78,0.0,2019.9910952804985
NGC2998,27.44,214.0,2.0,58.37,162.69,0.0,1668.9504373177842
NGC2998,32.32,213.0,2.0,63.92,151.18,0.0,1403.743811881188
NGC2998,37.3,213.0,3.0,66.04,139.68,0.0,1216.3270777479893
NGC2998,42.28,203.0,3.0,64.42,130.09,0.0,974.6688741721854
