galaxy,source_file,beta_mode,beta,beta_mean,beta_max,d_eff_mean,d_eff_max,cinfo_cap_mean,a_newton_source,rmse_kmps,mean_absolute_fractional_error,n_points,status,error
CamB,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\CamB_normalized.csv,local_structural_coupling_v2,88.27797486331366,88.27797486331366,115.4551154149282,2.380656583336814,2.6432464935907194,0.5963072009826446,computed_from_baryonic_velocity,69.43847972682892,12.742171586100344,9,ok,
D512-2,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\D512-2_normalized.csv,local_structural_coupling_v2,76.16150915834015,76.16150915834015,85.19425484356852,2.312526443493993,2.425564447884312,0.5522229928490543,computed_from_baryonic_velocity,30.859430181670913,0.7913087000057387,4,ok,
D564-8,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\D564-8_normalized.csv,local_structural_coupling_v2,71.40870933456715,71.40870933456715,93.7940173050007,2.2955245657311822,2.4690584005114222,0.5412217778260592,computed_from_baryonic_velocity,19.88966063058895,1.0,6,ok,
D631-7,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\D631-7_normalized.csv,local_structural_coupling_v2,70.45831813682183,70.45831813682183,96.51154426470015,2.2875815821897594,2.4361561556114113,0.5360822002404325,computed_from_baryonic_velocity,47.34452582314165,1.3026818060626075,16,ok,
DDO064,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\DDO064_normalized.csv,local_structural_coupling_v2,76.28096492423039,76.28096492423039,88.84341286083426,2.302192714407512,2.4165358923505944,0.5455364622636846,computed_from_baryonic_velocity,63.29858872764971,3.2993827551123056,14,ok,
DDO154,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\DDO154_normalized.csv,local_structural_coupling_v2,87.32434954865778,87.32434954865778,119.89046462296008,2.3863017380195237,2.6351747882379963,0.5999599481302799,computed_from_baryonic_velocity,39.69865656836933,1.0,12,ok,
DDO161,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\DDO161_normalized.csv,local_structural_coupling_v2,80.9238374642221,80.9238374642221,130.40588272491613,2.355324652360803,2.7014319705193484,0.5799159515275785,computed_from_baryonic_velocity,48.98445352561942,0.9899195028905258,31,ok,
DDO168,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\DDO168_normalized.csv,local_structural_coupling_v2,79.40840174418477,79.40840174418477,103.80739673206186,2.3309761683592027,2.507882516781,0.5641610501147782,computed_from_baryonic_velocity,50.575560884675895,1.4727400878404602,10,ok,
DDO170,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\DDO170_normalized.csv,local_structural_coupling_v2,93.96627723859811,93.96627723859811,129.42240383878953,2.4465244666529067,2.743382535756374,0.6389275960695278,computed_from_baryonic_velocity,48.41192123454033,0.9045962136674964,8,ok,
ESO079-G014,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\ESO079-G014_normalized.csv,local_structural_coupling_v2,83.08236851783762,83.08236851783762,134.76724237407177,2.377585246387298,2.7839679473533163,0.5943198653094278,computed_from_baryonic_velocity,61.918359966876935,0.5455235672878321,15,ok,
