echo_patch,location_label,delay_time_days,delay_time_err_plus_days,delay_time_err_minus_days,theta_arcsec,z_1e17_cm,z_err_1e17_cm,z_position_class,standard_geometry_role,theta_rank_small_to_large,delay_rank_small_to_large,hemisphere_group,standard_interpretation_summary,source_table
N1,north,125,8,8,4.52,0.0,0.4,near_ring_plane,ring_plane_patch,3,1,north_south_ring,"N1: delay=125 d, theta=4.52 arcsec. Standard geometric reading: patch lies close to the ring plane; the delayed illumination is interpreted as scattered light from the nova flash reaching material near the main ring surface.",Sokoloski2013_Table2
S1,south,136,5,5,4.99,0.1,0.4,near_ring_plane,ring_plane_patch,4,2,north_south_ring,"S1: delay=136 d, theta=4.99 arcsec. Standard geometric reading: patch lies close to the ring plane; the delayed illumination is interpreted as scattered light from the nova flash reaching material near the main ring surface.",Sokoloski2013_Table2
N2,north #2,156,5,5,5.5,-0.1,0.4,near_ring_plane,ring_plane_patch,5,3,north_south_ring,"N2: delay=156 d, theta=5.50 arcsec. Standard geometric reading: patch lies close to the ring plane; the delayed illumination is interpreted as scattered light from the nova flash reaching material near the main ring surface.",Sokoloski2013_Table2
NW,northwest,159,10,1,3.99,-1.1,0.2,observer_side,inclined_observer_side_patch,2,4,west_side_inclined,"NW: delay=159 d, theta=3.99 arcsec. Standard geometric reading: patch is displaced toward the observer relative to the main ring plane; this supports the inclined-west-side interpretation rather than any real superluminal transport.",Sokoloski2013_Table2
S2,south #2,162,3,3,5.82,0.0,0.4,near_ring_plane,ring_plane_patch,6,5,north_south_ring,"S2: delay=162 d, theta=5.82 arcsec. Standard geometric reading: patch lies close to the ring plane; the delayed illumination is interpreted as scattered light from the nova flash reaching material near the main ring surface.",Sokoloski2013_Table2
W,west,164,20,5,3.32,-1.5,0.2,observer_side,inclined_observer_side_patch,1,6,west_side_inclined,"W: delay=164 d, theta=3.32 arcsec. Standard geometric reading: patch is displaced toward the observer relative to the main ring plane; this supports the inclined-west-side interpretation rather than any real superluminal transport.",Sokoloski2013_Table2
