galaxy,source_file,beta_mode,beta_raw,beta,beta_clipped,beta_hit_lower,beta_hit_upper,beta_numerator,beta_denominator,gbar_char_median,gbar_char_logmean,sigma_char_mean,sigma_char_median,sigma_char_rms,n_sigma_positive,structural_mode,sigma_proxy_mode,sigma_damping_mode,sigma_positive_only,D_bg,upsilon_disk,upsilon_bul,rmse_kmps,mae_kmps,mean_absolute_fractional_error,median_absolute_fractional_error,chi_square,reduced_chi_square,n_points_total,n_points_valid,detail_table,plot_path,status,error
CamB,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\CamB_normalized.csv,structural,398.63446615665885,398.63446615665885,398.63446615665885,False,False,45.01271730786435,0.1129172741680968,262.5817073170732,232.41966823803128,0.037336850721720084,0.0,0.11201055216516026,1,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,4.452109056717481,3.83094007402283,0.5578603889119036,0.5335457208397473,79.28510021162325,9.910637526452906,9,9,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_202420_structural\tables\CamB_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_202420_structural\figures\CamB_rotation_curve.png,ok,
D512-2,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\D512-2_normalized.csv,structural,1048.846996936973,1048.846996936973,1048.846996936973,False,False,1757.0403787548203,1.6752113357677887,206.5490972222222,189.03041345193063,0.6444558371078537,0.6433834759263046,0.6471497770545063,4,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,3.311628160607276,2.4384772171474234,0.09160519228042795,0.04812264301686133,5.400511562303815,1.8001705207679384,4,4,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_202420_structural\tables\D512-2_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_202420_structural\figures\D512-2_rotation_curve.png,ok,
D564-8,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\D564-8_normalized.csv,structural,421.47154527124695,421.47154527124695,421.47154527124695,False,False,1559.651774705166,3.700491272077262,70.43799836601308,65.81715615091065,0.7437098129955872,0.8073553417774658,0.7853333975745865,6,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,2.5479111298628467,2.0482015909045264,0.15843682647671714,0.06657226795770127,16.609349831978943,3.3218699663957887,6,6,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_202420_structural\tables\D564-8_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_202420_structural\figures\D564-8_rotation_curve.png,ok,
D631-7,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\D631-7_normalized.csv,structural,2365.8964939841444,2000.0,2000.0,False,True,24245.22082541485,10.247794392977081,176.89675139275764,177.4202934561785,0.6724602818035884,0.7795720157257535,0.8003044105595102,13,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,3.948169727322432,3.5188719278446454,0.10677669852798126,0.08452872481628693,40.71040882505872,2.7140272550039146,16,16,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_202420_structural\tables\D631-7_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_202420_structural\figures\D631-7_rotation_curve.png,ok,
DDO064,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO064_normalized.csv,structural,1069.3049935107915,1069.3049935107915,1069.3049935107915,False,False,8198.10253249392,7.666757924301401,294.89539265251096,254.48699639190355,0.7228155557448395,0.7067216638198567,0.7400172741372036,14,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,11.223705013653124,8.996889435046679,0.6137475195299844,0.1647175191423581,79.03595190786012,6.079688608296933,14,14,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_202420_structural\tables\DDO064_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_202420_structural\figures\DDO064_rotation_curve.png,ok,
DDO154,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO154_normalized.csv,structural,1521.0229034026474,1521.0229034026474,1521.0229034026474,False,False,15447.569211931108,10.156039844879183,113.39115958443993,117.12170534208285,0.8718543223316527,0.9798661099465111,0.919965572040524,12,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,4.581736897421053,3.760875622156538,0.1356528647148458,0.06464789906432139,802.145902927089,72.92235481155355,12,12,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_202420_structural\tables\DDO154_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_202420_structural\figures\DDO154_rotation_curve.png,ok,
DDO161,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO161_normalized.csv,structural,3516.3560171920753,2000.0,2000.0,False,True,38007.430295135266,10.808754889809318,203.02229299363057,210.89414656458226,0.5021797997527665,0.6140659995452603,0.5904824405301667,31,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,8.256104322506715,6.543620718102705,0.12553153362918704,0.13367080008597299,1472.9687059907983,49.09895686635994,31,31,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_202420_structural\tables\DDO161_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_202420_structural\figures\DDO161_rotation_curve.png,ok,
DDO168,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO168_normalized.csv,structural,2312.1543056167934,2000.0,2000.0,False,True,9444.069376492049,4.084532487105239,349.09260200070753,336.41905162291397,0.5791672291175376,0.7172389175291844,0.6391034726164644,10,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,4.8983433932367575,4.446304791454667,0.1492550502756947,0.09347866813738195,66.69981377557131,7.411090419507924,10,10,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_202420_structural\tables\DDO168_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_202420_structural\figures\DDO168_rotation_curve.png,ok,
DDO170,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO170_normalized.csv,structural,2738.759828576947,2000.0,2000.0,False,True,12800.813031487418,4.673945081974819,145.149332915392,133.28663783148613,0.7553064515659542,0.7677610835554414,0.7643579889336719,8,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,7.441090901869129,7.003408412005838,0.14406393182854213,0.13183522258661975,299.36785461500637,42.76683637357234,8,8,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_202420_structural\tables\DDO170_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_202420_structural\figures\DDO170_rotation_curve.png,ok,
ESO079-G014,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\ESO079-G014_normalized.csv,structural,22562.959906595264,2000.0,2000.0,False,True,39421.547222430396,1.7471797754206566,1608.9090643776824,1661.706405566926,0.2923605939739489,0.35991824475278344,0.3412896888196943,12,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,26.11859200476282,21.775316207544748,0.15931635278726242,0.17946787752522952,1398.8548325686852,99.91820232633465,15,15,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_202420_structural\tables\ESO079-G014_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_202420_structural\figures\ESO079-G014_rotation_curve.png,ok,
