galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc
KK98-251,0.25,4.25,2.0,1.87,2.88,0.0,72.25
KK98-251,0.41,6.84,2.0,3.32,3.93,0.0,114.11121951219512
KK98-251,0.57,9.56,2.0,4.8,4.8,0.0,160.33964912280703
KK98-251,0.74,12.3,2.0,6.44,6.36,0.0,204.44594594594597
KK98-251,0.9,15.1,2.0,8.03,7.43,0.0,253.34444444444443
KK98-251,1.07,17.5,2.0,9.79,8.56,0.0,286.21495327102804
KK98-251,1.24,19.7,2.0,11.57,9.52,0.0,312.97580645161287
KK98-251,1.4,21.8,2.0,13.11,10.08,0.0,339.4571428571429
KK98-251,1.57,24.4,2.0,14.44,10.55,0.0,379.21019108280245
KK98-251,1.72,27.3,2.0,15.54,10.95,0.0,433.30813953488376
KK98-251,1.89,30.3,2.0,16.53,11.36,0.0,485.7619047619048
KK98-251,2.06,32.6,2.0,17.3,11.57,0.0,515.9029126213592
KK98-251,2.46,33.3,2.0,18.07,12.23,0.0,450.76829268292676
KK98-251,2.79,34.6,2.0,18.07,12.94,0.0,429.0896057347671
KK98-251,3.13,34.2,2.0,17.41,12.45,0.0,373.6869009584665
