galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc
NGC0100,0.23,6.81,8.19,-0.86,9.67,0.0,201.6352173913043
NGC0100,0.69,20.0,4.09,-1.93,23.77,0.0,579.7101449275362
NGC0100,1.15,33.0,4.0,-3.62,34.7,0.0,946.9565217391305
NGC0100,1.59,42.7,4.0,-4.31,41.73,0.0,1146.7232704402516
NGC0100,2.05,49.9,4.0,-3.92,46.7,0.0,1214.639024390244
NGC0100,2.51,55.5,4.0,3.21,50.33,0.0,1227.191235059761
NGC0100,2.97,61.9,4.0,7.43,53.12,0.0,1290.104377104377
NGC0100,3.42,67.9,4.0,10.05,55.1,0.0,1348.073099415205
NGC0100,3.88,73.1,4.0,11.97,55.08,0.0,1377.219072164948
NGC0100,4.34,76.1,3.0,13.61,54.16,0.0,1334.3801843317972
NGC0100,4.79,77.8,5.34,14.82,53.32,0.0,1263.6409185803757
NGC0100,5.24,79.0,4.0,15.7,52.48,0.0,1191.030534351145
NGC0100,5.7,78.5,5.6,16.36,50.92,0.0,1081.0964912280701
NGC0100,6.16,79.8,7.15,16.58,49.36,0.0,1033.7727272727273
NGC0100,7.16,83.4,5.12,17.02,46.44,0.0,971.4469273743018
NGC0100,7.52,84.6,4.0,17.46,45.44,0.0,951.7499999999999
NGC0100,7.98,86.1,5.53,18.01,44.24,0.0,928.9736842105261
NGC0100,8.44,87.5,10.2,18.77,43.11,0.0,907.1386255924172
NGC0100,8.9,89.0,7.77,19.76,41.91,0.0,890.0
NGC0100,9.35,90.4,5.16,20.86,40.72,0.0,874.0278074866311
NGC0100,9.62,91.2,13.7,21.63,40.12,0.0,864.5987525987528
