galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc
UGC08550,0.49,25.0,2.04,3.42,17.04,0.0,1275.5102040816328
UGC08550,0.97,42.5,2.7,4.1,26.7,0.0,1862.1134020618558
UGC08550,1.47,48.0,2.15,10.21,28.91,0.0,1567.3469387755101
UGC08550,1.95,49.2,2.08,12.59,27.91,0.0,1241.3538461538465
UGC08550,2.44,50.4,2.06,13.04,24.63,0.0,1041.0491803278687
UGC08550,2.92,51.6,2.04,12.14,22.08,0.0,911.8356164383562
UGC08550,3.41,53.2,2.0,13.38,20.22,0.0,829.9824046920821
UGC08550,3.89,55.1,2.05,14.95,18.69,0.0,780.46529562982
UGC08550,4.39,57.8,2.24,18.33,17.42,0.0,761.0113895216401
UGC08550,4.88,57.3,2.0,21.25,16.4,0.0,672.8053278688524
UGC08550,5.36,57.5,2.0,22.04,15.57,0.0,616.8376865671642
