galaxy,source_file,beta_mode,beta_raw,beta_formula,beta,beta_clipped,beta_hit_lower,beta_hit_upper,beta_saturation_ratio,beta_z,beta_numerator,beta_denominator,beta_g_choice,beta_sigma_choice,gbar_char_median,gbar_char_logmean,sigma_char_mean,sigma_char_median,sigma_char_rms,n_sigma_positive,beta_upper_dynamic,beta_upper_ratio_raw,beta_upper_ratio_used,beta_g_hat,beta_sigma_hat,beta_cap_mix_alpha,formula_g0,formula_sigma0,formula_p,formula_q,formula_lambda_beta,formula_cap_eta_g,formula_cap_eta_sigma,formula_cap_mix_alpha,formula_coherence_floor,sigma_weight_mode,sigma_weight_value,sigma_weight_u,sigma_weight_v,sigma_weight_lambda,sigma_weight_g_choice,sigma_weight_sigma_choice,structural_mode,sigma_proxy_mode,sigma_damping_mode,sigma_positive_only,D_bg,upsilon_disk,upsilon_bul,rmse_kmps,mae_kmps,mean_absolute_fractional_error,median_absolute_fractional_error,chi_square,reduced_chi_square,n_points_total,n_points_valid,detail_table,plot_path,status,error
CamB,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\CamB_normalized.csv,formula,,287.122243784503,287.122243784503,287.122243784503,False,False,0.17933712605007981,0.21852715864544348,,,gbar_char_logmean,sigma_char_rms,262.5817073170732,232.41966823803128,0.035075457488867624,0.0,0.10522637246660288,1,1601.0195440754649,0.8005097720377324,0.8005097720377324,0.41425024361972157,0.41214388053252343,0.6,561.0610296982485,0.5272732878135848,1.0737936939240849,1.0737936939240849,3.1772138142832826,1.0,0.55,0.6,0.35,formula,,0.5368968469620424,0.5368968469620424,1.782474071139124,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,4.467403163879181,3.9540551853458163,0.56398551882847,0.5335457208397473,79.83076411455087,9.97884551431886,9,9,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_160452_formula\tables\CamB_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_160452_formula\figures\CamB_rotation_curve.png,ok,
D512-2,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\D512-2_normalized.csv,formula,,784.6510872797926,784.6510872797926,784.6510872797926,False,False,0.5685107981634491,1.317555099278712,,,gbar_char_logmean,sigma_char_rms,206.5490972222222,189.03041345193063,0.6861718336785013,0.6847961949521497,0.6894576223501202,4,1380.1867788871837,0.6900933894435919,0.6900933894435919,0.3369159564577057,1.1589361078801588,0.6,561.0610296982485,0.5272732878135848,1.0737936939240849,1.0737936939240849,3.1772138142832826,1.0,0.55,0.6,0.35,formula,,0.5368968469620424,0.5368968469620424,1.782474071139124,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,3.555326702194798,3.4591840750791008,0.11151233782159786,0.10759556451244291,4.039188185944992,1.346396061981664,4,4,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_160452_formula\tables\D512-2_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_160452_formula\figures\D512-2_rotation_curve.png,ok,
D564-8,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\D564-8_normalized.csv,formula,,407.04634059221314,407.04634059221314,407.04634059221314,False,False,0.32050937760629233,0.47169065627013784,,,gbar_char_logmean,sigma_char_rms,70.43799836601308,65.81715615091065,0.7218196110407579,0.7839256224344778,0.7607579426321479,6,1269.9982248014633,0.6349991124007316,0.6349991124007316,0.1173083722929547,1.2233927397605608,0.6,561.0610296982485,0.5272732878135848,1.0737936939240849,1.0737936939240849,3.1772138142832826,1.0,0.55,0.6,0.35,formula,,0.5368968469620424,0.5368968469620424,1.782474071139124,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,2.5367733936948706,2.1533117923022833,0.1583249986031688,0.08451745529659746,15.605380721796966,3.1210761443593933,6,6,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_160452_formula\tables\D564-8_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_160452_formula\figures\D564-8_rotation_curve.png,ok,
D631-7,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\D631-7_normalized.csv,formula,,848.3850997096141,848.3850997096141,848.3850997096141,False,False,0.6281249124129076,1.6890749968987955,,,gbar_char_logmean,sigma_char_rms,176.89675139275764,177.4202934561785,0.7710903465796488,0.8753884576710766,0.925768354648831,13,1350.6630336481785,0.6753315168240892,0.6753315168240892,0.3162228065485126,1.3628768313109154,0.6,561.0610296982485,0.5272732878135848,1.0737936939240849,1.0737936939240849,3.1772138142832826,1.0,0.55,0.6,0.35,formula,,0.5368968469620424,0.5368968469620424,1.782474071139124,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,11.968228336941586,9.819728800257598,0.21991111875591202,0.23801879236375761,323.53433892596104,21.568955928397404,16,16,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_160452_formula\tables\D631-7_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_160452_formula\figures\D631-7_rotation_curve.png,ok,
DDO064,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO064_normalized.csv,formula,,976.9049395408573,976.9049395408573,976.9049395408573,False,False,0.6944118645386006,2.2723783549061105,,,gbar_char_logmean,sigma_char_rms,294.89539265251096,254.48699639190355,0.8253595282890076,0.8006544880299105,0.8507816478538749,14,1406.8091134790131,0.7034045567395065,0.7034045567395065,0.45358166566794433,1.3010089634813446,0.6,561.0610296982485,0.5272732878135848,1.0737936939240849,1.0737936939240849,3.1772138142832826,1.0,0.55,0.6,0.35,formula,,0.5368968469620424,0.5368968469620424,1.782474071139124,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,11.60379783297099,9.001635936937799,0.6362285561237783,0.15695355751916656,85.02955862887083,6.54073527914391,14,14,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_160452_formula\tables\DDO064_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_160452_formula\figures\DDO064_rotation_curve.png,ok,
DDO154,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO154_normalized.csv,formula,,709.5981203089467,709.5981203089467,709.5981203089467,False,False,0.5452221211000072,1.1988756410465238,,,gbar_char_logmean,sigma_char_rms,113.39115958443993,117.12170534208285,0.9623188600224571,1.0838648373187048,1.0191180077627722,12,1301.4844644918376,0.6507422322459188,0.6507422322459188,0.20875038390221753,1.4368247093565578,0.6,561.0610296982485,0.5272732878135848,1.0737936939240849,1.0737936939240849,3.1772138142832826,1.0,0.55,0.6,0.35,formula,,0.5368968469620424,0.5368968469620424,1.782474071139124,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,9.19760601287499,7.950217160657935,0.19209945535127307,0.22247100458240562,11242.52887344131,1022.0480794037554,12,12,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_160452_formula\tables\DDO154_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_160452_formula\figures\DDO154_rotation_curve.png,ok,
DDO161,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO161_normalized.csv,formula,,810.5328667104415,810.5328667104415,810.5328667104415,False,False,0.5781683923099229,1.3706142018990375,,,gbar_char_logmean,sigma_char_rms,203.02229299363057,210.89414656458226,0.541660166620015,0.6557907793248289,0.6411251773128881,31,1401.8975742900197,0.7009487871450099,0.7009487871450099,0.375884503470159,1.1135222109600398,0.6,561.0610296982485,0.5272732878135848,1.0737936939240849,1.0737936939240849,3.1772138142832826,1.0,0.55,0.6,0.35,formula,,0.5368968469620424,0.5368968469620424,1.782474071139124,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,14.751535001912629,11.675191468423128,0.19621340734588333,0.22721497962766055,4811.1629175153685,160.37209725051227,31,31,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_160452_formula\tables\DDO161_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_160452_formula\figures\DDO161_rotation_curve.png,ok,
DDO168,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO168_normalized.csv,formula,,1063.3137359434586,1063.3137359434586,1063.3137359434586,False,False,0.7254429701736418,2.6422305436230986,,,gbar_char_logmean,sigma_char_rms,349.09260200070753,336.41905162291397,0.6641918097091771,0.8254288600634982,0.7406150898220271,10,1465.7440759112244,0.7328720379556122,0.7328720379556122,0.5996122236539007,1.2054695162750895,0.6,561.0610296982485,0.5272732878135848,1.0737936939240849,1.0737936939240849,3.1772138142832826,1.0,0.55,0.6,0.35,formula,,0.5368968469620424,0.5368968469620424,1.782474071139124,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,7.9905772810504345,6.695859871942824,0.15812294505861615,0.18970519118159868,192.0547594902399,21.339417721137764,10,10,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_160452_formula\tables\DDO168_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_160452_formula\figures\DDO168_rotation_curve.png,ok,
DDO170,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO170_normalized.csv,formula,,688.9508386510141,688.9508386510141,688.9508386510141,False,False,0.5195215624094853,1.0812588490229917,,,gbar_char_logmean,sigma_char_rms,145.149332915392,133.28663783148613,0.8027832655386988,0.8157746113353302,0.8134158076036729,8,1326.1255903522733,0.6630627951761366,0.6630627951761366,0.23756174600679492,1.2692648723923339,0.6,561.0610296982485,0.5272732878135848,1.0737936939240849,1.0737936939240849,3.1772138142832826,1.0,0.55,0.6,0.35,formula,,0.5368968469620424,0.5368968469620424,1.782474071139124,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,16.549745945488237,15.065745974094266,0.26624590107902546,0.30351316186568766,1820.1877247447144,260.0268178206735,8,8,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_160452_formula\tables\DDO170_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_160452_formula\figures\DDO170_rotation_curve.png,ok,
ESO079-G014,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\ESO079-G014_normalized.csv,formula,,1602.1726839523903,1602.1726839523903,1602.1726839523903,False,False,0.8787092944367415,7.244654817993911,,,gbar_char_logmean,sigma_char_rms,1608.9090643776824,1661.706405566926,0.3267909332387804,0.39724501827031933,0.38358550494993704,12,1823.3250679104215,0.9116625339552107,0.9116625339552107,2.9617213058989855,0.8394687419523712,0.6,561.0610296982485,0.5272732878135848,1.0737936939240849,1.0737936939240849,3.1772138142832826,1.0,0.55,0.6,0.35,formula,,0.5368968469620424,0.5368968469620424,1.782474071139124,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,26.374140686517574,21.965505058522062,0.159469327003964,0.18122537284001478,1422.3785822807188,101.59847016290848,15,15,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_160452_formula\tables\ESO079-G014_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_160452_formula\figures\ESO079-G014_rotation_curve.png,ok,
