galaxy,n_points,n_segments,mean_Dw_i,mean_beta_i,mean_delta_sigma_i,mean_delta_m_struct_msun,mean_v_struct_kms,rmse_vis_only_kms,rmse_topo_kms,mae_vis_only_kms,mae_topo_kms,reduced_chi2_vis_only,reduced_chi2_topo,rmse_improvement_kms,mae_improvement_kms
UGC05721,18,5,2.081138129307593,0.8786925930671581,0.045145922715440975,3167742472.457074,74.77435778567921,37.70865004362226,25.85481242757614,34.50147014985871,20.85247894148891,71.9269365503235,28.74247348952983,11.853837616046118,13.6489912083698
NGC5985,29,5,2.0062111337830606,0.9943843564713843,0.002474660420160468,96339145884.81541,186.34389381592783,80.13422110229563,35.052818864190506,79.36502297396683,26.978711346871332,253.88130843550564,46.38717246950522,45.08140223810512,52.386311627095495
UGC01281,20,5,2.1009204675549618,0.8635823834594542,0.05577097332617616,1740889888.0651486,65.71297056678952,19.039841709046208,39.93760594023485,16.21440390457922,37.471580240716236,18.972876049072816,93.90519304225295,-20.897764231188646,-21.257176336137015
UGC04278,21,5,2.064056649717106,0.8797374659041219,0.03940569514039405,3046222737.303735,82.28748725316157,27.733839595268694,48.52951969639944,23.36036661759344,39.04743745027155,30.149033019702177,94.02959977992367,-20.795680101130745,-15.687070832678113
UGC08490,26,5,2.0339794974572967,0.9406350595860209,0.01930566028955294,7596453135.998713,105.76945118055532,38.11435670120881,49.04001970866522,36.39149888289967,43.94422136542856,110.95778925072966,183.6884625074231,-10.925663007456407,-7.5527224825288926
UGCA281,6,1,2.223188582841033,1.0,0.0,599929554.599934,62.29016529712746,7.177529777039661,51.12065559883548,6.688468146271515,46.18266652005166,21.399920300642766,1619.4690178229923,-43.94312582179582,-39.494198373780144
UGC05986,13,3,2.028310307788724,0.9582033226155277,0.016214972539602506,10762146582.401136,113.96684562076958,39.21030770006691,54.65161925391233,35.005928290617334,43.01237898694913,159.98877964927615,419.3252907576382,-15.441311553845416,-8.006450696331797
NGC0100,17,5,2.0445016760431627,0.9120078036257914,0.027730800326145923,6310424607.437851,96.60734759786281,27.477769360087667,55.482621157961695,22.47593038297263,48.78826998378736,22.75170568590904,110.1905809839302,-28.00485179787403,-26.312339600814727
NGC3917,14,4,2.0191747364348287,0.9707933145594856,0.010691982715168136,19643726661.304913,127.82797100251625,26.275307983859516,60.74718765491555,23.910904002915338,54.41745829430158,39.657952050238954,259.5389450750395,-34.47187967105603,-30.506554291386244
DDO168,9,2,2.064073703115479,0.9250522896897968,0.035189454209302085,3079337204.9291987,86.29485348985425,19.024813323289894,64.33936237395162,15.826201390734967,57.37831124626525,128.81094172142923,1398.9086958004527,-45.314549050661725,-41.55210985553028
NGC4010,10,3,2.023764344801276,0.9680949416748647,0.013291058015783896,12805110345.465952,117.17486261467616,17.55139775692406,64.66248948710484,15.401422451744116,59.326720033826554,14.345191584623803,134.92428484329025,-47.111091730180775,-43.925297582082436
NGC2403,69,5,2.0463070507485495,0.8776160135680475,0.03072318139826278,35191482294.24699,130.3231849992148,38.14020035207019,65.75527754911934,26.9481844126792,58.945706720630945,2117.2026111001674,6215.880525996901,-27.615077197049153,-31.997522307951744
UGC06917,10,2,2.0181316311160113,0.9845047991835407,0.008770827634721368,21066955931.985996,132.23429732014372,30.596331189780688,67.34411417435028,28.244821977626014,62.789092350998814,57.79119508699503,353.12899733107474,-36.7477829845696,-34.5442703733728
NGC2841,46,5,2.0067100017204362,0.9905231370529796,0.0032766462391135677,328274190574.45746,230.05578165065646,88.77406175651149,67.73194205959862,74.28523701151788,51.49112760352627,412.3645809600969,219.49319750502556,21.042119696912863,22.794109407991606
UGC06667,8,2,2.030859247406621,0.9633263438692521,0.017314594789537896,11434396787.988081,114.51448066635446,45.17688884804951,69.35468481868575,43.819180397494996,61.801004548721515,214.57156548510218,417.5981974878015,-24.177795970636247,-17.98182415122652
UGC08837,7,2,2.060064273665275,0.9366426869786635,0.032429912574127195,3103032193.1418285,84.52114353023723,8.490305533776496,70.75755390752977,6.9506867492881765,65.97588596672554,9.31837127870333,1135.3847192946519,-62.267248373753276,-59.02519921743737
NGC4013,32,5,2.004875604190952,0.9972052091414596,0.0016188248508528069,73203245294.156,186.59059122827836,39.77498515690112,75.43220255418824,33.98487619687046,74.39274072868659,63.22861127015683,227.39813186034368,-35.65721739728712,-40.40786453181613
UGC07089,10,3,2.024458726173117,0.9707765106094636,0.012834773192034632,10186492860.959711,113.0027222159959,15.229946408036618,76.25238680714921,12.303559329756132,71.78393319250434,7.696393487154574,300.8140671913673,-61.02244039911259,-59.4803738627482
NGC4183,19,5,2.0132265147054182,0.9784629350858053,0.006982513562663684,32079777821.934673,148.9430519416461,33.32695447458726,78.9507874945564,31.374016102312698,73.82824724267724,35.62939113587394,188.3452860986166,-45.62383301996913,-42.45423114036454
IC4202,28,5,2.0105036103106046,0.9809472654785175,0.0055817673421212355,52019423690.866196,170.49394262311412,37.32068988815855,82.9243493535502,25.941003196887227,65.54607204515047,68.3607217596409,351.5362635831952,-45.60365946539165,-39.605068848263244
ESO563-G021,26,5,2.010702123262348,0.9690806775539592,0.007175573360126997,135402786059.84746,205.55314740359307,64.78208319473143,82.93752171519961,57.10482145811693,56.500319688247046,67.4922502885804,109.9108021109099,-18.15543852046818,0.6045017698698842
UGC12506,27,5,2.005551494969026,0.9868275897110838,0.003274762512643825,189660878653.71173,237.04513590290736,78.6664731901264,94.16490107586198,77.98599478458165,72.96995511471603,36.1241909455634,32.91757205272626,-15.49842788573558,5.01603966986562
NGC4157,14,4,2.008228987485741,0.9874051599513569,0.004515888782672728,78561730522.84425,181.05479899315964,41.47400894099612,98.73281936104918,36.94523856803081,95.19663496475263,22.518587028159978,154.11293866262278,-57.25881042005306,-58.25139639672182
NGC5907,16,4,2.003383627996543,0.9964705996682697,0.0015384257979310645,230391373928.82648,242.18648269631737,44.87186077341752,99.13775244329709,38.15277312787822,96.81643535875683,278.20567368565906,1586.3339073213463,-54.26589166987957,-58.663662230878614
NGC4088,10,3,2.0101527419209506,0.986070114243057,0.005627425425047387,55169411129.198296,167.40300149315064,47.03169137242292,114.98509456335181,40.29237110232917,111.67587147865788,46.15742119320178,271.6751937977908,-67.9534031909289,-71.38350037632871
NGC4068,6,1,2.095770010174564,1.0,0.0,2600607061.6063814,93.84598253971917,6.0332781675934655,115.01519193232555,4.801296271137378,94.8798164077654,5.445130931015962,1646.3192482027837,-108.98191376473208,-90.07852013662803
NGC3198,39,5,2.021193597626808,0.9376982222199745,0.013886292766806464,155987836857.69717,183.33976586024173,38.233093369686515,117.64599966985357,28.66609111276689,103.45842838314312,308.0344533964537,3245.3244455360273,-79.41290630016705,-74.79233727037622
NGC2998,11,3,2.0291005879723376,0.8941289892221348,0.025526263919043224,215430428354.57996,195.58194164366282,37.33173037461076,119.7564795927174,31.907527665370004,106.63857315051092,200.42843511566008,2028.5882793628225,-82.42474921810664,-74.73104548514092
