galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta_raw,beta_formula,beta_clipped,use_dimension_proxy,d_eff_proxy,d_eff_boost,beta_mode
NGC5907,5.03,214.0,6.0,0.33009571787003783,6359.308648111331,113.99883489552893,6473.30748300686,178.85,23.9460673081095,180.44593827383454,,1737.1147472754244,1737.1147472754244,False,,1.0,formula
NGC5907,7.55,220.0,6.0,0.11437705600142553,5697.868622516557,26.316035858281243,5724.184658374837,207.41,14.09560465996487,207.88841759638757,,1737.1147472754244,1737.1147472754244,False,,1.0,formula
NGC5907,10.07,235.0,4.0,0.06752856022428938,5119.78585898709,11.648943180525295,5131.434802167616,227.06,10.83073671676538,227.31816570135325,,1737.1147472754244,1737.1147472754244,False,,1.0,formula
NGC5907,12.58,235.0,4.0,0.01340361474871817,4331.249682034977,1.8508439464862254,4333.100525981463,233.42476518141774,4.825310025977265,233.4746337760203,,1737.1147472754244,1737.1147472754244,False,,1.0,formula
NGC5907,15.1,230.0,2.0,0.03514307872430416,3381.2211523178808,4.042884789182117,3385.264037107063,225.95672019216423,7.813293819935992,226.0917666796309,,1737.1147472754244,1737.1147472754244,False,,1.0,formula
NGC5907,17.61,231.0,2.0,0.09980039683134158,2735.080777967064,9.844675815994492,2744.9254537830584,219.46474090386363,13.166804514371092,219.8593578657039,,1737.1147472754244,1737.1147472754244,False,,1.0,formula
NGC5907,20.13,232.0,2.0,0.16236350198939728,2257.210755091903,14.011129345507438,2271.2218844374106,213.16109518390078,16.79416665765422,213.82164655086976,,1737.1147472754244,1737.1147472754244,False,,1.0,formula
NGC5907,22.65,225.0,7.0,0.17321227634810127,1864.6840309050774,13.284309035471653,1877.968339940549,205.51178384705827,17.346169596006863,206.2425341670661,,1737.1147472754244,1737.1147472754244,False,,1.0,formula
NGC5907,25.16,224.0,7.0,0.26761547594677554,1497.3292567567564,18.47689943824624,1515.8061561950026,194.09483274935477,21.56104797699489,195.28871675001162,,1737.1147472754244,1737.1147472754244,False,,1.0,formula
NGC5907,27.68,229.0,2.0,0.37770385336430096,1250.7879660404624,23.703574197322315,1274.4915402377846,186.069371203323,25.614740556599077,187.82418862804087,,1737.1147472754244,1737.1147472754244,False,,1.0,formula
NGC5907,30.2,218.0,2.0,0.33888576249707686,1087.862546357616,19.492829658124144,1107.3553760157401,181.25520378736718,24.262799831745493,182.87190149302694,,1737.1147472754244,1737.1147472754244,False,,1.0,formula
NGC5907,32.71,214.0,2.0,0.38114276100755823,920.5340660348515,20.241171230923324,940.7752372657749,173.52426141609132,25.731084527541817,175.42165775913617,,1737.1147472754244,1737.1147472754244,False,,1.0,formula
NGC5907,35.23,213.0,2.0,0.42159726843779877,806.3974595515186,20.788045200520468,827.1855047520392,168.5508306120145,27.062203022191966,170.70953497802734,,1737.1147472754244,1737.1147472754244,False,,1.0,formula
NGC5907,37.75,211.0,2.0,0.47358949806355544,692.8523072847681,21.792829171946178,714.6451364567143,161.72561516346136,28.682386602947954,164.24936499493984,,1737.1147472754244,1737.1147472754244,False,,1.0,formula
NGC5907,40.26,217.0,2.0,0.5643355072709952,613.0078614008942,24.349615799592733,637.3574772004869,157.09772913699294,31.309990930877053,160.1874278215728,,1737.1147472754244,1737.1147472754244,False,,1.0,formula
NGC5907,42.78,216.0,3.0,0.6135724169243009,536.528894343151,24.91457910146396,561.4434734446149,151.50150527305001,32.647292291408,154.97919793946744,,1737.1147472754244,1737.1147472754244,False,,1.0,formula
NGC5907,45.29,215.0,3.0,0.6498537201205666,478.953133141974,24.92538045469712,503.8785135966711,147.28132060787615,33.598667842538525,151.065078296717,,1737.1147472754244,1737.1147472754244,False,,1.0,formula
NGC5907,47.81,217.0,5.0,0.7049615904135415,429.82703409328593,25.61387105145577,455.4409051447417,143.35281824924127,34.99427345966909,147.56229082990714,,1737.1147472754244,1737.1147472754244,False,,1.0,formula
NGC5907,50.33,214.0,5.0,0.7084926793898059,395.23821378899265,24.45327005175265,419.6914838407453,141.04020455175183,35.08180556506051,145.33778717768035,,1737.1147472754244,1737.1147472754244,False,,1.0,formula
