galaxy,segment_index,r_left_kpc,r_right_kpc,r_mid_kpc,dr_kpc,h_i_kpc,v_obs_segment_kms,v_vis_segment_kms,v_err_segment_kms,mass_bar_segment_msun,n_points,density_ref_gal_msun_per_kpc3,segment_wedge_volume_eff_kpc3,segment_density_eff_msun_per_kpc3,alpha_geom_i,alpha_dens_i,Dw_i,sigma_i,ell_info_kpc,c_info_gal,tau_struct_gal,propagation_source_i,propagation_term_i,delta_struct_i,DeltaD_i
NGC4183,1,0.87,4.37,2.62,3.5,9.99,74.28,55.05702458827953,6.24,1846572703.4668882,5,41664180.60558628,91.6083,20157264.172208067,2.597548134372131,2.161684623638417,2.379616379005274,0.06638457851437662,3.5,1.0,2.0,0.5264876072102396,0.09706118647541946,0.47128828254472804,0.47128828254472804
NGC4183,2,5.24,7.85,6.545,2.6099999999999994,9.99,105.075,78.4315719271537,5.2,9361191609.134169,4,41664180.60558628,170.65367549999993,54854907.64676892,2.3720794246165147,2.2543841763652797,2.313231800490897,0.07661117690596875,3.5,1.0,2.0,0.5620110694060491,0.10888746548625491,0.5,0.5
NGC4183,3,8.72,12.31,10.515,3.59,9.99,112.2,83.77962206637491,5.72,17160333196.635647,5,41664180.60558628,377.11101149999996,45504725.85878243,2.2565920717138312,2.196195978672841,2.2263940251933363,0.05723513055212903,3.5,1.0,2.0,0.4894397732206234,0.12757527230961863,0.5395153312474458,0.5395153312474458
NGC4183,4,13.12,16.03,14.575,2.910000000000002,9.99,109.25,72.17567239808223,4.925,17653461947.61814,4,41664180.60558628,423.70836750000035,41664180.60558628,2.227742644593442,2.1697804341798363,2.198761539386639,0.043668722036945606,3.5,1.0,2.0,0.4224355939390588,0.10474354990918645,0.4903012313792595,0.4903012313792595
NGC4183,5,16.95,21.02,18.985,4.07,9.99,110.8,64.2317986909034,7.359999999999999,18211696928.989456,5,41664180.60558628,771.9168105000002,23592823.32145745,2.174800032282976,2.1033131299559136,2.139056581119445,0.05970495826719402,3.5,1.0,2.0,0.5,0.13690081643431992,0.5569867504039867,0.5569867504039867
NGC4389,1,0.87,5.32,3.095,4.45,2.39,73.10000000000001,129.41212209049402,6.583333333333333,12051752833.602997,6,366126910.5563718,32.916872500000004,366126910.5563718,2.1916652385506428,2.267236328228428,2.2294507833895354,0.0,4.45,1.0,2.0,0.0,0.0,0.0,0.0
NGC5907,1,5.03,15.1,10.065,10.07,15.51,226.8,214.54029707471642,4.4,107713758420.55627,5,56853720.71159631,1572.0090704999998,68519807.195703,2.2506525151347017,2.212590988732082,2.2316217519333916,0.038958955188728606,10.07,1.0,2.0,0.4716584957522108,0.10485927921900348,0.44939066722504356,0.44939066722504356
NGC5907,2,17.61,25.16,21.384999999999998,7.550000000000001,15.51,228.0,208.05811317104434,4.5,215237634893.0507,4,56853720.71159631,2504.1941925000006,85950856.18267228,2.1788524634195157,2.2064731300698104,2.192662796744663,0.05422813731081444,10.07,1.0,2.0,0.5540884176705574,0.12643068066756044,0.4959855800817422,0.4959855800817422
NGC5907,3,27.68,37.75,32.715,10.07,15.51,217.0,174.22505643645147,2.0,230891421593.72415,5,56853720.71159631,5109.6151755,45187634.22748961,2.1265178520279027,2.1198131025956224,2.1231654773117627,0.048322979404680444,10.07,1.0,2.0,0.5254556936490493,0.15786042843996193,0.5513085247740223,0.5513085247740223
NGC5907,4,40.26,50.33,45.295,10.07,15.51,215.8,148.05471556378245,3.6,230852402090.8278,5,56853720.71159631,7074.431281499999,32631937.876691043,2.1048872542055097,2.0871464216650946,2.096016837935302,0.027148639376460615,10.07,1.0,2.0,0.3835116573228835,0.1305239113027502,0.5039509764047545,0.5039509764047545
NGC5985,1,3.54,8.02,5.779999999999999,4.4799999999999995,5.619999999999999,254.42857142857142,171.006515332304,6.155714285714285,39300022435.63424,7,480240442.70134723,145.52652799999996,270054009.91655797,2.233750916951118,2.140173745820656,2.186962331385887,0.008945074490373628,4.4799999999999995,1.0,2.0,0.30001295047198334,0.04638681684605643,0.31131127075267223,0.31131127075267223
NGC5985,2,8.79,12.56,10.675,3.7700000000000014,5.62,298.6666666666667,212.8164177014081,9.28,112413323015.78105,6,480240442.70134723,226.17549500000007,497018136.36256665,2.167949020096726,2.1880854936943,2.1780172568955134,0.020870553389360058,4.4799999999999995,1.0,2.0,0.5,0.08061107101203317,0.4399474288359181,0.4399474288359181
NGC5985,3,13.39,17.89,15.64,4.5,5.619999999999999,294.42857142857144,228.5514375976832,6.645714285714286,189952191648.14297,7,480240442.70134723,395.53559999999993,480240442.70134723,2.1234988570616236,2.16694359215271,2.145221224607167,0.02000324131609421,4.4799999999999995,1.0,2.0,0.489390365153078,0.10261780073140807,0.5,0.5
NGC5985,4,18.72,22.52,20.619999999999997,3.8000000000000007,5.62,290.5,217.7049921384439,4.056666666666667,227229693128.4864,6,480240442.70134723,440.36072000000013,516008087.93410623,2.1111007225926772,2.1649208259339727,2.138010774263325,0.04435251092815107,4.4799999999999995,1.0,2.0,0.6800126825111968,0.12294629925085807,0.5450614670531531,0.5450614670531531
NGC5985,5,23.23,34.72,28.975,11.489999999999998,5.619999999999999,291.85714285714283,203.18735566590126,4.497142857142857,278135514585.28076,7,480240442.70134723,1871.0258549999994,148654019.84799448,2.0563933600596447,2.056639045442085,2.0565162027508648,0.0814945715124602,4.4799999999999995,1.0,2.0,0.7961165640214157,0.33474379342548505,0.7653708004946672,0.7653708004946672
UGC01281,1,0.08,0.69,0.38499999999999995,0.61,11.31,7.756,7.517865646476006,4.0,5059289.0791038815,5,9546723.325059151,2.6561534999999994,1904742.733845722,3.5,2.195158531948089,2.847579265974044,0.08368643491270866,2.0,1.0,2.0,0.38939529835553144,0.05622038627144951,0.28017810382196207,0.28017810382196207
UGC01281,2,0.84,1.46,1.15,0.62,11.31,23.259999999999998,15.803338043385162,5.2059999999999995,66778267.22961664,5,9546723.325059151,8.064029999999999,8281004.315412598,3.5,2.3625314017735057,2.931265700886753,0.11197104237345967,2.0,1.0,2.0,0.46041020489638385,0.10591410957525846,0.423058773620982,0.423058773620982
UGC01281,3,1.61,2.22,1.915,0.6100000000000001,11.31,37.14,21.642519103318925,4.880000000000001,208556650.21085298,5,9546723.325059151,13.211776500000003,15785662.905427815,3.129952180956751,2.452067921148333,2.791010051052542,0.13122739498233038,2.0,1.0,2.0,0.5,0.1444390710684949,0.5,0.5
UGC01281,4,2.38,3.07,2.7249999999999996,0.69,11.31,48.379999999999995,25.118562460484434,6.388,399756665.6176082,5,9546723.325059151,21.265627499999997,18798253.924912784,2.898197237586401,2.439424584257783,2.668810910922092,0.18851771137475026,2.0,1.0,2.0,0.5895874796101491,0.19262517037657867,0.5714791030657815,0.5714791030657815
UGC01281,5,3.46,4.99,4.225,1.5300000000000002,11.31,55.620000000000005,26.65534840303284,4.0,697967314.7328941,5,9546723.325059151,73.1106675,9546723.325059151,2.587673671026395,2.2402755855796883,2.4139746283030417,0.25483628261905045,2.0,1.0,2.0,0.6600887299275392,0.33002773664610907,0.695576026141377,0.695576026141377
UGC04278,1,0.14,1.25,0.6950000000000001,1.1099999999999999,7.779999999999999,22.345999999999997,17.252937366659097,5.018,48100605.26856269,5,31383623.388630666,6.001880999999999,8014255.075794188,3.5,2.1710323032436505,2.8355161516218255,0.28927692971947927,2.0,1.0,2.0,0.7664399756226514,0.13755026239953808,0.4770575596567739,0.4770575596567739
UGC04278,2,1.52,2.63,2.075,1.1099999999999999,7.779999999999999,42.42,31.76649967257124,4.0,486851454.8092143,5,31383623.388630666,17.919284999999995,27169133.96986623,2.81282017153329,2.2796582722714023,2.546239221902346,0.20456881930033632,2.0,1.0,2.0,0.6988520225610094,0.19441241224040118,0.5631996841182466,0.5631996841182466
UGC04278,3,2.91,4.01,3.46,1.0999999999999996,7.779999999999999,55.120000000000005,33.98739353469354,6.544,929290429.4012578,5,31383623.388630666,29.610679999999984,31383623.388630666,2.5957813696082113,2.2569756564340944,2.426378513021153,0.08815240450134132,2.0,1.0,2.0,0.5,0.1861939545568803,0.5525465700204066,0.5525465700204066
