Name,preferred_name_2014raw,catalog_name_normalized_2014raw,RAJ2000,DEJ2000,Band,h,e_h,z0,e_z0,z0_over_h,h_over_z0,S0_2014raw,e_S0,gradz0,mag,B/T,Type,RV,AName,NED_2014raw,thickness_flag,biz_name_2014raw,biz_name_norm_2014raw,biz_catalog_token_2014raw,RA_match_deg_2014raw,DE_match_deg_2014raw,biz_aname_norm_2014raw,biz_aname_token_2014raw,biz_ned_norm_2014raw,biz_ned_token_2014raw,matched_2014raw,match_reason_2014raw,matched_sparc_name_2014raw,matched_sparc_index_2014raw,matched_sep_deg_2014raw,source_catalog_2014raw,matched_sparc_name_2014,matched_sparc_name_norm,matched_sparc_index_2014,source_object_name_2014,sparc_name_std_2014raw,sparc_name_norm_2014raw,RA_deg_2014,DEC_deg_2014,preferred_name_2002raw,catalog_name_normalized_2002raw,RFGC_int,Dist,Re,Z0,z0_over_re,S0_2002raw,RAJ2000_deg,DEJ2000_deg,Note,has_ned_link_flag,has_simbad_link_flag,source_catalog_2002raw,_Glon,_Glat,_RAJ2000,_DEJ2000,_RAB1950,_DEB1950,_Elon2000,_Elat2000,RFGC,_RA,_DE,NED_2002raw,Simbad,biz_name_2002raw,biz_name_norm_2002raw,biz_catalog_token_2002raw,RA_match_deg_2002raw,DE_match_deg_2002raw,biz_aname_norm_2002raw,biz_aname_token_2002raw,biz_ned_norm_2002raw,biz_ned_token_2002raw,matched_2002raw,match_reason_2002raw,matched_sparc_name_2002raw,matched_sparc_index_2002raw,matched_sep_deg_2002raw,matched_sparc_name_2002,matched_sparc_index_2002,source_object_name_2002,sparc_name_std_2002raw,sparc_name_norm_2002raw,RA_deg_2002,DEC_deg_2002,_merge,duplicate_status,sparc_sep_arcsec
EON_198.280_46.098,PGC2275350,PGC2275350,198.279648,46.098438,r,8.07,1.36,1.24,0.12,0.1536555142503098,6.508064516129033,22.76,0.33,-0.121,16.84,0.05,SD,8896.0,PGC2275350,NED,intermediate,PGC2275350,PGC2275350,PGC2275350,198.279648,46.098438,PGC2275350,PGC2275350,NED,,True,coord_review,DDO168,7.0,0.2944694149658889,Bizyaev_2014,DDO168,DDO168,7.0,PGC2275350,DDO168,DDO168,198.6166561,45.9197619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,unique_to_one_catalog,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESO563G021,,,,,,,RFGC1431,RFGC1431,1431.0,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev_2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431.0,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,ESO563-G021,12.0,RFGC1431,ESO563-G021,ESO563G021,131.8207542,-20.0356611,right_only,unique_to_one_catalog,
EON_197.132_24.701,IC04202,IC04202,197.131577,24.700766,r,13.3,0.08,3.44,0.16,0.2586466165413533,3.866279069767442,21.28,0.11,0.041,13.66,0.16,SB,7130.0,IC4202,NED,thick_like,IC04202,IC04202,IC4202,197.131577,24.700766,IC4202,IC4202,NED,,True,name_exact,IC4202,30.0,0.0,Bizyaev_2014,IC4202,IC4202,30.0,IC04202,IC4202,IC4202,197.1315917,24.7008333,RFGC2477,RFGC2477,2477.0,95.17,4.75,1.37,0.2884210526315789,17.53,197.131917,24.700639,x,True,True,Bizyaev_2002,1.598373,85.455159,197.131917,24.700639,196.528506,24.967013,185.219842,29.330598,2477.0,197.1319,24.7006,NED,Simbad,RFGC2477,RFGC2477,,197.131917,24.700639,,,NED,,True,coord_strict,IC4202,30.0,0.0003536870039324,IC4202,30.0,RFGC2477,IC4202,IC4202,197.1315917,24.7008333,both,confirmed_duplicate_by_sparc_name,0.0
EON_6.012_16.487,NED,,6.012434,16.487118,r,29.05,0.13,6.87,0.39,0.2364888123924268,4.228529839883552,22.03,0.07,0.063,12.76,0.06,IR,,,NED,thick_like,NED,NED,,6.012434,16.487118,,,NED,,True,coord_strict,NGC0100,34.0,0.0009366523394287,Bizyaev_2014,NGC0100,NGC100,34.0,NED,NGC0100,NGC100,6.0118208,16.4863889,RFGC0095,RFGC0095,95.0,13.1,1.45,0.26,0.1793103448275862,19.5,6.011458,16.486111,x,True,True,Bizyaev_2002,113.478749,-45.882256,6.011458,16.486111,5.362661,16.209157,12.133321,12.733715,95.0,6.0115,16.4861,NED,Simbad,RFGC0095,RFGC0095,,6.011458,16.486111,,,NED,,True,coord_strict,NGC0100,34.0,0.0004452550303377,NGC0100,34.0,RFGC0095,NGC0100,NGC100,6.0118208,16.4863889,both,confirmed_duplicate_by_sparc_name,0.003073585126505738
EON_113.582_65.473,NED,,113.582474,65.472786,r,3.2,0.45,0.53,0.16,0.165625,6.037735849056604,21.82,0.45,-0.004,17.87,0.09,SD,,,NED,intermediate,NED,NED,,113.582474,65.472786,,,NED,,True,coord_review,NGC2403,44.0,0.291989405019979,Bizyaev_2014,NGC2403,NGC2403,44.0,NED,NGC2403,NGC2403,114.21415,65.6025472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,unique_to_one_catalog,
EON_133.173_33.421,NED,,133.172729,33.422428,r,48.08,0.55,21.58,1.48,0.4488352745424293,2.2279888785912885,19.92,0.08,0.096,9.33,0.25,SC,,,NED,thick_like,NED,NED,,133.172729,33.422428,,,NED,,True,coord_strict,NGC2683,45.0,0.0007352795597574,Bizyaev_2014,NGC2683,NGC2683,45.0,NED,NGC2683,NGC2683,133.1722708,33.4218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,unique_to_one_catalog,
EON_140.660_50.765,PGC26549,PGC26549,140.659882,50.76506,r,5.8,0.14,2.04,0.3,0.3517241379310345,2.8431372549019605,21.01,0.22,0.143,15.32,0.22,SB,8070.0,PGC026549,NED,thick_like,PGC26549,PGC26549,PGC26549,140.659882,50.76506,PGC026549,PGC26549,NED,,True,coord_review,NGC2841,46.0,0.2313387107923883,Bizyaev_2014,NGC2841,NGC2841,46.0,PGC26549,NGC2841,NGC2841,140.5110625,50.9764778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,unique_to_one_catalog,
EON_147.312_44.131,NGC03005,NGC03005,147.312408,44.13089,r,5.9,0.23,3.31,0.55,0.5610169491525423,1.782477341389728,20.48,0.25,0.243,14.64,0.14,SC,4635.0,NGC3005,NED,thick_like,NGC03005,NGC03005,NGC3005,147.312408,44.13089,NGC3005,NGC3005,NED,,True,coord_review,NGC2998,51.0,0.1060989322735624,Bizyaev_2014,NGC2998,NGC2998,51.0,NGC03005,NGC2998,NGC2998,147.1817917,44.0812861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,unique_to_one_catalog,
EON_154.800_45.738,PGC2269711,PGC2269711,154.799942,45.737778,r,4.92,0.03,2.1,0.12,0.426829268292683,2.3428571428571425,20.77,0.12,0.036,15.34,0.19,SB,13211.0,PGC2269711,NED,thick_like,PGC2269711,PGC2269711,PGC2269711,154.799942,45.737778,PGC2269711,PGC2269711,NED,,True,coord_review,NGC3198,53.0,0.2259867764128791,Bizyaev_2014,NGC3198,NGC3198,53.0,PGC2269711,NGC3198,NGC3198,154.979125,45.5496889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,unique_to_one_catalog,
EON_155.223_45.776,PGC2270265,PGC2270265,155.22258,45.775822,r,6.87,1.82,1.1,0.16,0.1601164483260553,6.245454545454545,23.15,0.4,-0.144,17.2,0.11,SB,25959.0,PGC2270265,NED,intermediate,PGC2270265,PGC2270265,PGC2270265,155.22258,45.775822,PGC2270265,PGC2270265,NED,,True,coord_review,NGC3198,53.0,0.282994054647794,Bizyaev_2014,NGC3198,NGC3198,53.0,PGC2270265,NGC3198,NGC3198,154.979125,45.5496889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,unique_to_one_catalog,
