_RAJ2000,_DEJ2000,UGC,RAJ2000,DEJ2000,Type,f_Type,HRV,Dist,Bmag,Ksmag,KMag,B-K,mu0,hR,r23.5,Sel,Ha,f_Ha,sigma,n_sigma,Spz,HI,2M,Simbad,NED
000.954167,+7.478889,16,00 03 49.0,+07 28 44,Sbc,,5239,70.6,13.6,9.46,-24.8,3.9,20.6,14.4,36.5,"4,d",S,,,,,,2M,Simbad,NED
002.186250,+4.612500,74,00 08 44.7,+04 36 45,SABc,,3941,53.2,13.9,10.09,-23.6,3.7,20.7,13.3,32.8,"4,d",S,,M,,y,G,2M,Simbad,NED
002.754583,+30.052222,102,00 11 01.1,+30 03 08,SABa,,6791,91.6,14.3,9.81,-25.0,4.2,20.8,15.4,36.6,4,S,g,,,,,2M,Simbad,NED
007.642500,+13.366667,305,00 30 34.2,+13 22 00,Sc,,9934,133.9,14.5,10.69,-25.0,3.5,21.0,10.5,24.2,4,S,,,,,,2M,Simbad,NED
007.835417,+30.792500,311,00 31 20.5,+30 47 33,Scd,2,6433,86.6,13.9,10.65,-24.1,3.0,20.4,10.2,28.6,"4,d",S,,,,,,2M,Simbad,NED
009.895417,+0.859722,419,00 39 34.9,+00 51 35,SABc,,4415,59.1,14.1,9.85,-24.0,4.1,19.5,13.3,47.7,4,,,,,,,2M,Simbad,NED
010.592083,+29.641667,448,00 42 22.1,+29 38 30,SABc,,4857,65.3,14.0,10.06,-24.0,3.7,20.8,13.9,33.6,d,S,,P,,y,W,2M,Simbad,NED
010.885417,+14.342778,463,00 43 32.5,+14 20 34,SABc,,4452,59.6,13.3,9.36,-24.5,3.6,19.8,12.4,41.5,"p,4,d",S,,"P,M",,y,V,2M,Simbad,NED
010.984167,+1.850556,468,00 43 56.2,+01 51 02,SABc,3,4561,61.0,14.0,11.24,-22.7,2.7,20.6,13.5,34.9,4,,,,,,,2M,Simbad,NED
011.258333,+6.112778,473,00 45 02.0,+06 06 46,S0/a,,12247,164.4,14.3,9.86,-26.2,4.3,19.9,10.2,32.9,d,,,,,,,2M,Simbad,NED
011.522500,-1.723056,476,00 46 05.4,-01 43 23,Sb,1,4060,54.6,13.1,10.90,-22.8,2.1,17.8,7.5,38.7,4,,,,,,,2M,Simbad,NED
016.558750,+3.574444,678,01 06 14.1,+03 34 28,Scd,,5521,73.5,14.4,11.08,-23.3,3.2,20.5,9.4,25.7,4,S,,,,,,2M,Simbad,NED
