r,v_obs,v_err,v_gas,v_disk,v_bul
0.78,28.1,5.66,6.39,20.31,0.0
1.55,31.3,5.66,10.35,23.49,0.0
2.34,33.0,5.66,14.5,22.94,0.0
3.12,33.4,5.66,17.55,22.52,0.0
3.89,34.3,5.66,17.55,22.05,0.0
