galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta_raw,beta_formula,beta_clipped,use_dimension_proxy,d_eff_proxy,d_eff_response,beta_mode
NGC5055,0.72,125.0,17.6,-0.14743901884269506,56387.54222222222,-52.80880594584187,56334.73341627638,201.4920107597321,0.0,201.39763667858418,,452.8731608739697,257.8851960590755,True,4.482871128334416,0.5694424362914332,formula
NGC5055,1.43,162.0,8.5,-0.14743294282424596,40333.04566433567,-26.587953402655344,40306.45771093301,240.15881266362055,0.0,240.07964204953782,,452.8731608739697,257.8851960590755,True,4.482871128334416,0.5694424362914332,formula
NGC5055,2.16,178.0,5.22,-0.1474325287292978,32096.213425925915,-17.602160452240852,32078.611265473675,263.30176793937403,0.0,263.2295582441743,,452.8731608739697,257.8851960590755,True,4.482871128334416,0.5694424362914332,formula
NGC5055,2.87,193.0,1.88,-0.14742844009360762,27471.589965156792,-13.24725163004309,27458.34271352675,280.7907818999762,0.0,280.72307277425875,,452.8731608739697,257.8851960590755,True,4.482871128334416,0.5694424362914332,formula
NGC5055,3.59,192.0,3.59,-0.147419494155878,20818.99256267409,-10.58977859423909,20808.40278407985,273.3865089941345,0.0,273.31696982596355,,452.8731608739697,257.8851960590755,True,4.482871128334416,0.5694424362914332,formula
NGC5055,4.3,190.0,0.97,-0.14742263632779662,17234.433604651163,-8.841422203009214,17225.592182448156,272.2279642138184,0.0,272.158127537149,,452.8731608739697,257.8851960590755,True,4.482871128334416,0.5694424362914332,formula
NGC5055,5.03,195.0,0.99,-0.14741033089336233,14910.33982107356,-7.5576425613455145,14902.782178512214,273.85946998415085,0.0,273.7900552575211,,452.8731608739697,257.8851960590755,True,4.482871128334416,0.5694424362914332,formula
NGC5055,5.75,201.0,0.45,-0.14738856346930615,13303.369808695652,-6.610318015156088,13296.759490680495,276.5761674475948,0.0,276.50744487520194,,452.8731608739697,257.8851960590755,True,4.482871128334416,0.5694424362914332,formula
NGC5055,6.46,204.0,0.81,-0.14738689398376856,12168.493885448917,-5.883730348535964,12162.610155100381,280.372021607007,0.0,280.30423043890806,,452.8731608739697,257.8851960590755,True,4.482871128334416,0.5694424362914332,formula
NGC5055,7.18,204.0,0.65,-0.14736297459197362,10650.847423398329,-5.292859274999955,10645.55456412333,276.53767284042874,0.0,276.46895263375507,,452.8731608739697,257.8851960590755,True,4.482871128334416,0.5694424362914332,formula
NGC5055,7.91,206.0,0.66,-0.14729297586034767,9398.215537294564,-4.802108464964657,9393.413428829599,272.65341534629636,0.0,272.58374900577275,,452.8731608739697,257.8851960590755,True,4.482871128334416,0.5694424362914332,formula
NGC5055,8.62,206.0,1.54,-0.1472195796170058,8369.92438515081,-4.404379368128332,8365.520005782682,268.6051901955731,0.0,268.53450886216973,,452.8731608739697,257.8851960590755,True,4.482871128334416,0.5694424362914332,formula
NGC5055,11.49,206.0,1.9,-0.14548900234080941,5344.052332463012,-3.2654012091469915,5340.786931253865,247.79661276942429,0.0,247.7208950413891,,452.8731608739697,257.8851960590755,True,4.482871128334416,0.5694424362914332,formula
NGC5055,14.3,206.0,0.42,-0.13271830544781446,3687.393972027972,-2.393432602869783,3685.000539425102,229.62955776641647,0.0,229.55502110339248,,452.8731608739697,257.8851960590755,True,4.482871128334416,0.5694424362914332,formula
NGC5055,17.19,203.0,4.19,-0.08945124277490914,2659.3425247236764,-1.341951790618697,2658.000572933058,213.808554552899,0.0,213.7546019357695,,452.8731608739697,257.8851960590755,True,4.482871128334416,0.5694424362914332,formula
NGC5055,20.07,200.0,1.23,0.04360603711584809,1905.4091529646237,0.5603064988031793,1905.9694594634268,195.55449803060014,3.353408926895109,195.58324839165283,,452.8731608739697,257.8851960590755,True,4.482871128334416,0.5694424362914332,formula
NGC5055,22.96,194.0,4.09,0.11112589122103227,1418.2466071428573,1.2481586343543294,1419.4947657772116,180.45204930950496,5.353290786495294,180.53143721314794,,452.8731608739697,257.8851960590755,True,4.482871128334416,0.5694424362914332,formula
NGC5055,25.85,188.0,5.2,0.13316815324575618,1097.5242166344292,1.3285143252845975,1098.8527309597139,168.43693478569358,5.860212906423012,168.53884743675152,,452.8731608739697,257.8851960590755,True,4.482871128334416,0.5694424362914332,formula
NGC5055,28.74,184.0,1.16,0.1418198725653376,880.7361169102297,1.2725555198881415,882.0086724301178,159.0985732179896,6.047581801148719,159.2134706789648,,452.8731608739697,257.8851960590755,True,4.482871128334416,0.5694424362914332,formula
NGC5055,31.62,182.0,2.47,0.1453586647331715,727.1375205566095,1.1855106816445082,728.323031238254,151.63142286478748,6.122568721835579,151.75498096521773,,452.8731608739697,257.8851960590755,True,4.482871128334416,0.5694424362914332,formula
NGC5055,34.51,180.0,3.85,0.14649012958404545,614.7984613155608,1.094686635424542,615.8931479509853,145.65951702515014,6.146351420843176,145.7891372352155,,452.8731608739697,257.8851960590755,True,4.482871128334416,0.5694424362914332,formula
NGC5055,37.4,181.0,8.43,0.1471912666369461,519.3978743315507,1.0149317822153077,520.412806113766,139.3753224211517,6.161042822027169,139.51142945527744,,452.8731608739697,257.8851960590755,True,4.482871128334416,0.5694424362914332,formula
NGC5055,40.29,180.0,4.55,0.14732301048107524,450.90578307272284,0.9429740243714402,451.8487570970943,134.78499174611395,6.1637994323246215,134.9258552814913,,452.8731608739697,257.8851960590755,True,4.482871128334416,0.5694424362914332,formula
NGC5055,43.17,179.0,0.44,0.14737988836393823,396.09258281213806,0.8804051750266126,396.9729879871647,130.76435599963776,6.164989165107986,130.90960198322315,,452.8731608739697,257.8851960590755,True,4.482871128334416,0.5694424362914332,formula
NGC5055,45.92,179.0,1.96,0.14740844602453454,354.9231380662021,0.8278409408493191,355.75097900705146,127.66389661920869,6.165586428215952,127.81269481551433,,452.8731608739697,257.8851960590755,True,4.482871128334416,0.5694424362914332,formula
NGC5055,48.81,179.0,2.99,0.1474251551452464,315.5538311821348,0.7789134406611655,316.33274462279593,124.10552969146862,6.165935860732861,124.25860640228777,,452.8731608739697,257.8851960590755,True,4.482871128334416,0.5694424362914332,formula
NGC5055,51.7,174.0,3.39,0.14742515582737473,281.5027562862669,0.7353726347114562,282.23812892097834,120.63868575212513,6.165935874997589,120.79615583790148,,452.8731608739697,257.8851960590755,True,4.482871128334416,0.5694424362914332,formula
NGC5055,54.59,172.0,4.84,0.14743098522239928,250.83513464004392,0.6964694729668639,251.5316041130108,117.01747732710699,6.166057778618451,117.17982022741484,,452.8731608739697,257.8851960590755,True,4.482871128334416,0.5694424362914332,formula
