r_kpc,v_obs_kms,v_vis_kms,v_err_kms,galaxy,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc,matched_sparc_name,matched_sparc_name_norm,included_source_catalog,secondary_source_catalog,duplicate_flag,duplicate_status,source_object_name_primary,source_object_name_secondary,structure_2014_Name,structure_2014_preferred_name,structure_2014_catalog_name_normalized,structure_2014_RAJ2000,structure_2014_DEJ2000,structure_2014_Band,structure_2014_h,structure_2014_e_h,structure_2014_z0,structure_2014_e_z0,structure_2014_z0_over_h,structure_2014_h_over_z0,structure_2014_S0,structure_2014_e_S0,structure_2014_gradz0,structure_2014_mag,structure_2014_B/T,structure_2014_Type,structure_2014_RV,structure_2014_AName,structure_2014_NED,structure_2014_thickness_flag,structure_2014_biz_name,structure_2014_biz_name_norm,structure_2014_biz_catalog_token,structure_2014_RA_match_deg,structure_2014_DE_match_deg,structure_2014_biz_aname_norm,structure_2014_biz_aname_token,structure_2014_biz_ned_norm,structure_2014_biz_ned_token,structure_2014_matched,structure_2014_match_reason,structure_2014_matched_sparc_name,structure_2014_matched_sparc_index,structure_2014_matched_sep_deg,structure_2014___source_catalog__,h_kpc,segment_index,Dw_i,sigma_i,beta_i,source_core_i,info_source_i,I_struct_i,gamma_topo,alpha_geom_i,alpha_mass_i,weight_geom_i,weight_mass_i,mass_bar_segment_msun,mass_norm_i,alpha_relax_i,neighbor_gradient_i,ell_info_kpc,c_info_gal,tau_struct_gal,mean_dw_pert,mean_sigma,mean_beta,r_scale,dw_internal,dw_external,observer_gap,observer_factor,factor_dw,factor_sigma,factor_rscale,factor_beta,gamma_raw,g_topo_km2s2_per_kpc,v_struct_kms,v_topo_total_kms,rotation_residual_topo_kms,rotation_residual_vis_only_kms
0.34,38.8,27.88485251888559,3.69,UGC08490,0.91,27.87,0.0,4427.764705882352,UGC08490,UGC8490,Bizyaev_2014,,False,unique_to_2014,PGC2579855,,EON_202.180_58.534,PGC2579855,PGC2579855,202.179565,58.534054,r,4.26,0.3,1.45,0.18,0.3403755868544601,2.9379310344827587,21.24,0.31,0.155,16.54,0.13,SC,15612.0,PGC2579855,NED,thick_like,PGC2579855,PGC2579855,PGC2579855,202.179565,58.534054,PGC2579855,PGC2579855,NED,,True,coord_review,UGC08490,157.0,0.1638271753419018,Bizyaev_2014,0.35,1,2.1678559588802346,0.050881335599811894,0.9590436914046071,0.02679098445322921,0.025693724626388383,0.0596726206394484,165497.62155622002,2.1724326388622215,2.163048413989705,0.22801302931596096,0.21706353048477905,506070544.5326532,0.5265385457634932,0.049045218663792856,0.030107299171486333,2.0,1.0,2.0,0.20971862619372814,0.016891199365940635,0.9892373107121228,3.396283366859726,2.2169011775440275,2.209718626193728,0.007182551350299438,1.0316956748568178,6.990620873157605,1.6891199366940632,1.3585133467442905,1.0,165497.62155622002,85429.72999874839,170.42918822659004,172.69531898570514,-133.89531898570516,10.915147481114406
0.68,50.1,40.152713482403655,3.69,UGC08490,7.1,39.52,0.0,3691.191176470588,UGC08490,UGC8490,Bizyaev_2014,,False,unique_to_2014,PGC2579855,,EON_202.180_58.534,PGC2579855,PGC2579855,202.179565,58.534054,r,4.26,0.3,1.45,0.18,0.3403755868544601,2.9379310344827587,21.24,0.31,0.155,16.54,0.13,SC,15612.0,PGC2579855,NED,thick_like,PGC2579855,PGC2579855,PGC2579855,202.179565,58.534054,PGC2579855,PGC2579855,NED,,True,coord_review,UGC08490,157.0,0.1638271753419018,Bizyaev_2014,0.35,1,2.1678559588802346,0.050881335599811894,0.9590436914046071,0.02679098445322921,0.025693724626388383,0.0596726206394484,165497.62155622002,2.1724326388622215,2.163048413989705,0.22801302931596096,0.21706353048477905,506070544.5326532,0.5265385457634932,0.049045218663792856,0.030107299171486333,2.0,1.0,2.0,0.20971862619372814,0.016891199365940635,0.9892373107121228,3.396283366859726,2.2169011775440275,2.209718626193728,0.007182551350299438,1.0316956748568178,6.990620873157605,1.6891199366940632,1.3585133467442905,1.0,165497.62155622002,21357.432499687096,120.51163470714032,127.02477907789184,-76.92477907789183,9.947286517596346
1.02,60.2,45.68022876475117,3.69,UGC08490,10.23,44.52,0.0,3552.980392156863,UGC08490,UGC8490,Bizyaev_2014,,False,unique_to_2014,PGC2579855,,EON_202.180_58.534,PGC2579855,PGC2579855,202.179565,58.534054,r,4.26,0.3,1.45,0.18,0.3403755868544601,2.9379310344827587,21.24,0.31,0.155,16.54,0.13,SC,15612.0,PGC2579855,NED,thick_like,PGC2579855,PGC2579855,PGC2579855,202.179565,58.534054,PGC2579855,PGC2579855,NED,,True,coord_review,UGC08490,157.0,0.1638271753419018,Bizyaev_2014,0.35,1,2.1678559588802346,0.050881335599811894,0.9590436914046071,0.02679098445322921,0.025693724626388383,0.0596726206394484,165497.62155622002,2.1724326388622215,2.163048413989705,0.22801302931596096,0.21706353048477905,506070544.5326532,0.5265385457634932,0.049045218663792856,0.030107299171486333,2.0,1.0,2.0,0.20971862619372814,0.016891199365940635,0.9892373107121228,3.396283366859726,2.2169011775440275,2.209718626193728,0.007182551350299438,1.0316956748568178,6.990620873157605,1.6891199366940632,1.3585133467442905,1.0,165497.62155622002,9492.192222083155,98.39733770039115,108.48372857956541,-48.283728579565405,14.519771235248832
1.36,68.2,47.83659686892453,3.69,UGC08490,12.18,46.26,0.0,3420.0294117647063,UGC08490,UGC8490,Bizyaev_2014,,False,unique_to_2014,PGC2579855,,EON_202.180_58.534,PGC2579855,PGC2579855,202.179565,58.534054,r,4.26,0.3,1.45,0.18,0.3403755868544601,2.9379310344827587,21.24,0.31,0.155,16.54,0.13,SC,15612.0,PGC2579855,NED,thick_like,PGC2579855,PGC2579855,PGC2579855,202.179565,58.534054,PGC2579855,PGC2579855,NED,,True,coord_review,UGC08490,157.0,0.1638271753419018,Bizyaev_2014,0.35,1,2.1678559588802346,0.050881335599811894,0.9590436914046071,0.02679098445322921,0.025693724626388383,0.0596726206394484,165497.62155622002,2.1724326388622215,2.163048413989705,0.22801302931596096,0.21706353048477905,506070544.5326532,0.5265385457634932,0.049045218663792856,0.030107299171486333,2.0,1.0,2.0,0.20971862619372814,0.016891199365940635,0.9892373107121228,3.396283366859726,2.2169011775440275,2.209718626193728,0.007182551350299438,1.0316956748568178,6.990620873157605,1.6891199366940632,1.3585133467442905,1.0,165497.62155622002,5339.358124921774,85.21459411329502,97.72342119417236,-29.523421194172357,20.363403131075472
1.69,72.8,48.01641802550457,3.69,UGC08490,14.42,45.8,0.0,3135.9999999999995,UGC08490,UGC8490,Bizyaev_2014,,False,unique_to_2014,PGC2579855,,EON_202.180_58.534,PGC2579855,PGC2579855,202.179565,58.534054,r,4.26,0.3,1.45,0.18,0.3403755868544601,2.9379310344827587,21.24,0.31,0.155,16.54,0.13,SC,15612.0,PGC2579855,NED,thick_like,PGC2579855,PGC2579855,PGC2579855,202.179565,58.534054,PGC2579855,PGC2579855,NED,,True,coord_review,UGC08490,157.0,0.1638271753419018,Bizyaev_2014,0.35,1,2.1678559588802346,0.050881335599811894,0.9590436914046071,0.02679098445322921,0.025693724626388383,0.0596726206394484,165497.62155622002,2.1724326388622215,2.163048413989705,0.22801302931596096,0.21706353048477905,506070544.5326532,0.5265385457634932,0.049045218663792856,0.030107299171486333,2.0,1.0,2.0,0.20971862619372814,0.016891199365940635,0.9892373107121228,3.396283366859726,2.2169011775440275,2.209718626193728,0.007182551350299438,1.0316956748568178,6.990620873157605,1.6891199366940632,1.3585133467442905,1.0,165497.62155622002,3457.7489541176133,76.44341523282935,90.27276517565399,-17.47276517565399,24.783581974495426
2.37,76.6,46.876435444687985,3.69,UGC08490,18.41,43.11,0.0,2475.7637130801686,UGC08490,UGC8490,Bizyaev_2014,,False,unique_to_2014,PGC2579855,,EON_202.180_58.534,PGC2579855,PGC2579855,202.179565,58.534054,r,4.26,0.3,1.45,0.18,0.3403755868544601,2.9379310344827587,21.24,0.31,0.155,16.54,0.13,SC,15612.0,PGC2579855,NED,thick_like,PGC2579855,PGC2579855,PGC2579855,202.179565,58.534054,PGC2579855,PGC2579855,NED,,True,coord_review,UGC08490,157.0,0.1638271753419018,Bizyaev_2014,0.35,2,2.2187372944800465,0.027438059332216103,0.9983218103434569,0.024944055317332736,0.02490219446170695,0.060576660199955314,165497.62155622002,2.04402617979575,2.2566438531827324,0.09817671809256663,0.4524959384609842,1508613748.0385149,0.9091042123392795,0.0018361169360190388,0.016235538066400067,2.0,1.0,2.0,0.20971862619372814,0.016891199365940635,0.9892373107121228,3.396283366859726,2.2169011775440275,2.209718626193728,0.007182551350299438,1.0316956748568178,6.990620873157605,1.6891199366940632,1.3585133467442905,1.0,165497.62155622002,1784.844520093279,65.03907681249075,80.17157671282929,-3.571576712829298,29.72356455531201
2.7,77.6,46.08538271512997,3.69,UGC08490,20.65,41.2,0.0,2230.281481481481,UGC08490,UGC8490,Bizyaev_2014,,False,unique_to_2014,PGC2579855,,EON_202.180_58.534,PGC2579855,PGC2579855,202.179565,58.534054,r,4.26,0.3,1.45,0.18,0.3403755868544601,2.9379310344827587,21.24,0.31,0.155,16.54,0.13,SC,15612.0,PGC2579855,NED,thick_like,PGC2579855,PGC2579855,PGC2579855,202.179565,58.534054,PGC2579855,PGC2579855,NED,,True,coord_review,UGC08490,157.0,0.1638271753419018,Bizyaev_2014,0.35,2,2.2187372944800465,0.027438059332216103,0.9983218103434569,0.024944055317332736,0.02490219446170695,0.060576660199955314,165497.62155622002,2.04402617979575,2.2566438531827324,0.09817671809256663,0.4524959384609842,1508613748.0385149,0.9091042123392795,0.0018361169360190388,0.016235538066400067,2.0,1.0,2.0,0.20971862619372814,0.016891199365940635,0.9892373107121228,3.396283366859726,2.2169011775440275,2.209718626193728,0.007182551350299438,1.0316956748568178,6.990620873157605,1.6891199366940632,1.3585133467442905,1.0,165497.62155622002,1375.2116851731055,60.93497805010998,76.39983016975486,1.2001698302451302,31.514617284870027
3.05,78.5,44.954221158863376,3.69,UGC08490,21.24,39.62,0.0,2020.409836065574,UGC08490,UGC8490,Bizyaev_2014,,False,unique_to_2014,PGC2579855,,EON_202.180_58.534,PGC2579855,PGC2579855,202.179565,58.534054,r,4.26,0.3,1.45,0.18,0.3403755868544601,2.9379310344827587,21.24,0.31,0.155,16.54,0.13,SC,15612.0,PGC2579855,NED,thick_like,PGC2579855,PGC2579855,PGC2579855,202.179565,58.534054,PGC2579855,PGC2579855,NED,,True,coord_review,UGC08490,157.0,0.1638271753419018,Bizyaev_2014,0.35,2,2.2187372944800465,0.027438059332216103,0.9983218103434569,0.024944055317332736,0.02490219446170695,0.060576660199955314,165497.62155622002,2.04402617979575,2.2566438531827324,0.09817671809256663,0.4524959384609842,1508613748.0385149,0.9091042123392795,0.0018361169360190388,0.016235538066400067,2.0,1.0,2.0,0.20971862619372814,0.016891199365940635,0.9892373107121228,3.396283366859726,2.2169011775440275,2.209718626193728,0.007182551350299438,1.0316956748568178,6.990620873157605,1.6891199366940632,1.3585133467442905,1.0,165497.62155622002,1077.6988105253363,57.332201877324366,72.85508473745861,5.644915262541389,33.545778841136624
3.38,78.2,44.11988780584103,3.69,UGC08490,22.11,38.18,0.0,1809.242603550296,UGC08490,UGC8490,Bizyaev_2014,,False,unique_to_2014,PGC2579855,,EON_202.180_58.534,PGC2579855,PGC2579855,202.179565,58.534054,r,4.26,0.3,1.45,0.18,0.3403755868544601,2.9379310344827587,21.24,0.31,0.155,16.54,0.13,SC,15612.0,PGC2579855,NED,thick_like,PGC2579855,PGC2579855,PGC2579855,202.179565,58.534054,PGC2579855,PGC2579855,NED,,True,coord_review,UGC08490,157.0,0.1638271753419018,Bizyaev_2014,0.35,2,2.2187372944800465,0.027438059332216103,0.9983218103434569,0.024944055317332736,0.02490219446170695,0.060576660199955314,165497.62155622002,2.04402617979575,2.2566438531827324,0.09817671809256663,0.4524959384609842,1508613748.0385149,0.9091042123392795,0.0018361169360190388,0.016235538066400067,2.0,1.0,2.0,0.20971862619372814,0.016891199365940635,0.9892373107121228,3.396283366859726,2.2169011775440275,2.209718626193728,0.007182551350299438,1.0316956748568178,6.990620873157605,1.6891199366940632,1.3585133467442905,1.0,165497.62155622002,877.5334533902823,54.46157427452087,70.09013891025722,8.109861089742779,34.08011219415897
3.72,78.8,43.91853595009743,3.69,UGC08490,23.77,36.93,0.0,1669.2043010752686,UGC08490,UGC8490,Bizyaev_2014,,False,unique_to_2014,PGC2579855,,EON_202.180_58.534,PGC2579855,PGC2579855,202.179565,58.534054,r,4.26,0.3,1.45,0.18,0.3403755868544601,2.9379310344827587,21.24,0.31,0.155,16.54,0.13,SC,15612.0,PGC2579855,NED,thick_like,PGC2579855,PGC2579855,PGC2579855,202.179565,58.534054,PGC2579855,PGC2579855,NED,,True,coord_review,UGC08490,157.0,0.1638271753419018,Bizyaev_2014,0.35,2,2.2187372944800465,0.027438059332216103,0.9983218103434569,0.024944055317332736,0.02490219446170695,0.060576660199955314,165497.62155622002,2.04402617979575,2.2566438531827324,0.09817671809256663,0.4524959384609842,1508613748.0385149,0.9091042123392795,0.0018361169360190388,0.016235538066400067,2.0,1.0,2.0,0.20971862619372814,0.016891199365940635,0.9892373107121228,3.396283366859726,2.2169011775440275,2.209718626193728,0.007182551350299438,1.0316956748568178,6.990620873157605,1.6891199366940632,1.3585133467442905,1.0,165497.62155622002,724.4546468458736,51.913112854717646,67.99859620805896,10.801403791941041,34.88146404990257
