r_kpc,v_obs,v_model
0.13,232.0,56938.96482339246
0.25,233.0,5e-07
0.38,234.0,6.164414002968976e-07
0.51,235.0,7.141428428542851e-07
0.63,236.0,7.937253933193772e-07
0.76,237.0,8.717797887081347e-07
0.89,238.0,9.433981132056604e-07
1.01,239.0,1.004987562112089e-06
1.14,240.0,1.067707825203131e-06
1.27,240.0,1.1269427669584645e-06
1.39,241.0,1.1789826122551597e-06
1.52,242.0,1.2328828005937952e-06
1.65,242.0,1.284523257866513e-06
1.77,243.0,1.330413469565007e-06
1.9,244.0,1.3784048752090221e-06
2.03,244.0,1.4247806848775006e-06
2.16,244.0,1.4696938456699068e-06
2.28,245.0,1.5099668870541498e-06
2.41,245.0,1.5524174696260024e-06
2.54,246.0,1.5937377450509227e-06
2.66,246.0,1.630950643030009e-06
2.79,246.0,1.6703293088490067e-06
2.92,247.0,1.7088007490635062e-06
3.04,247.0,1.7435595774162694e-06
3.17,247.0,1.7804493814764855e-06
3.3,247.0,1.8165902124584949e-06
3.42,247.0,1.849324200890693e-06
3.55,248.0,1.8841443681416772e-06
3.68,248.0,1.918332609325088e-06
3.8,248.0,1.9493588689617926e-06
3.93,248.0,1.982422760159901e-06
4.06,248.0,2.0149441679609883e-06
4.18,248.0,2.0445048300260874e-06
4.31,248.0,2.076053949202669e-06
4.44,248.0,2.107130750570548e-06
4.56,248.0,2.135415650406262e-06
4.69,248.0,2.1656407827707716e-06
4.82,248.0,2.195449840010015e-06
4.94,248.0,2.222611077089287e-06
4.99,248.0,2.233830790368868e-06
5.07,248.0,2.2516660498395405e-06
5.2,248.0,2.280350850198276e-06
5.45,247.0,2.3345235059857506e-06
5.58,247.0,2.362202362203543e-06
5.7,247.0,2.3874672772626643e-06
5.83,247.0,2.414539293529927e-06
6.47,247.0,2.543619468395381e-06
6.59,246.0,2.5670995305986873e-06
6.66,246.0,2.580697580112788e-06
6.72,246.0,2.592296279363144e-06
6.85,246.0,2.61725046566048e-06
6.97,246.0,2.640075756488817e-06
7.1,246.0,2.6645825188948456e-06
7.23,246.0,2.6888659319497505e-06
8.32,246.0,2.8844410203711914e-06
10.0,245.0,3.162277660168379e-06
11.61,245.0,3.407345007480164e-06
13.35,246.0,3.653765181289022e-06
14.98,245.0,3.870400496072726e-06
16.61,245.0,4.075536774462966e-06
18.34,245.0,4.282522621072771e-06
19.97,245.0,4.468780594300866e-06
21.6,245.0,4.647580015448901e-06
23.33,244.0,4.830113870293329e-06
26.7,243.0,5.167204273105525e-06
29.95,239.0,5.472659317004851e-06
33.32,231.0,5.772347875864725e-06
36.68,219.0,6.056401571890688e-06
39.94,210.0,6.3198101237299844e-06
43.3,210.0,6.58027355054484e-06
46.67,212.0,6.831544481301428e-06
49.92,213.0,7.0654086930622775e-06
53.29,218.0,7.2999999999999996e-06
