r_kpc,v_obs,v_model
1.08,34.6,282.04614680067857
1.61,47.0,213.08702883261145
2.15,59.1,42.91505744798133
2.7,64.4,1.6431676725154984e-06
3.22,67.4,1.794435844492636e-06
3.77,69.8,1.94164878389476e-06
4.31,71.3,2.076053949202669e-06
4.85,73.2,2.202271554554524e-06
5.38,75.1,2.3194827009486404e-06
5.92,78.5,2.4331050121192877e-06
6.46,81.4,2.5416530054277667e-06
6.99,83.5,2.643860813280457e-06
7.53,87.1,2.7440845468024487e-06
8.07,90.7,2.840774542268358e-06
8.62,93.1,2.9359836511806395e-06
9.14,95.9,3.0232432915661947e-06
9.69,98.4,3.112876483254676e-06
10.23,101.0,3.1984371183438953e-06
10.76,103.0,3.280243893371345e-06
11.3,104.0,3.361547262794322e-06
11.84,105.0,3.4409301068170506e-06
12.38,105.0,3.5185224171518363e-06
12.91,105.0,3.5930488446443366e-06
13.48,106.0,3.6715119501371637e-06
14.01,108.0,3.7429934544425804e-06
14.54,107.0,3.8131351929875237e-06
