r_kpc,v_obs,v_model
0.63,29.5,7.937253933193772e-07
1.26,50.8,1.1224972160321825e-06
1.88,68.2,417.2424686124297
2.51,84.3,260.8908052487094
3.13,95.3,1.769180601295413e-06
3.77,106.0,1.94164878389476e-06
4.39,112.0,2.0952326839756963e-06
5.02,115.0,2.2405356502408076e-06
5.65,116.0,2.3769728648009426e-06
6.28,116.0,2.5059928172283337e-06
6.9,116.0,2.6267851073127392e-06
7.54,114.0,2.745906043549196e-06
8.16,112.0,2.8565713714171403e-06
8.79,109.0,2.9647934160747187e-06
9.41,107.0,3.0675723300355935e-06
