r_kpc,v_obs,v_model
1.74,56.9,1.3190905958272919e-06
2.61,87.4,1.6155494421403513e-06
3.5,92.1,1.8708286933869708e-06
4.37,93.5,2.0904544960366874e-06
5.24,98.2,2.2891046284519193e-06
6.11,99.7,2.471841418861655e-06
6.98,102.0,2.6419689627245813e-06
7.85,107.0,2.8017851452243797e-06
8.72,108.0,2.9529646120466803e-06
9.6,110.0,3.0983866769659333e-06
10.47,113.0,3.2357379374726872e-06
11.35,110.0,3.3689761055846034e-06
12.19,108.0,3.491418050019218e-06
13.12,109.0,3.6221540552549664e-06
13.94,108.0,3.733630940518894e-06
14.86,108.0,3.854867053479277e-06
15.68,109.0,3.959797974644666e-06
