r_kpc,v_obs,v_model
0.45,18.9,2586.7305097905337
1.34,58.3,1.1575836902790227e-06
2.23,74.1,1.4933184523068078e-06
3.12,119.0,1.7663521732655694e-06
4.01,141.0,2.0024984394500784e-06
4.9,195.0,1277.4258232296438
5.79,227.0,1416.7096526766238
6.69,246.0,398.3597647677202
7.58,268.0,2.753179979587241e-06
8.47,283.0,2.9103264421710497e-06
10.23,291.0,3.1984371183438953e-06
12.06,310.0,3.472751070837068e-06
13.44,310.0,3.666060555964672e-06
15.18,310.0,3.896151947755632e-06
16.83,314.0,4.102438299353203e-06
18.56,317.0,4.308131845707603e-06
20.3,319.0,4.505552130427524e-06
21.94,318.0,4.684015371452147e-06
23.68,317.0,4.866210024238575e-06
25.41,317.0,5.040833264451424e-06
27.06,312.0,5.2019227214559806e-06
28.8,312.0,5.3665631459994955e-06
30.53,311.0,5.525395913416522e-06
32.18,310.0,5.6727418414731335e-06
33.91,313.0,5.823229344616267e-06
35.65,320.0,5.970762095411272e-06
37.3,321.0,6.107372593840988e-06
39.03,320.0,6.24739945897491e-06
40.76,315.0,6.384355879804947e-06
42.41,312.0,6.512296062065974e-06
