r_kpc,v_obs,v_model
0.28,107.0,14533.730495121725
0.55,121.0,5882.05913873417
0.83,134.0,9.110433579144299e-07
1.39,157.0,1.1789826122551597e-06
1.65,168.0,1.284523257866513e-06
3.04,207.0,1.7435595774162694e-06
3.32,213.0,1.8220867158288597e-06
3.59,218.0,1.8947295321496417e-06
3.87,222.0,1.9672315572906e-06
4.15,226.0,2.037154878746336e-06
4.43,229.0,2.1047565179849188e-06
4.7,232.0,2.16794833886788e-06
4.97,234.0,2.229349680960795e-06
5.25,235.0,2.2912878474779198e-06
5.52,236.0,2.349468024894146e-06
5.8,237.0,2.408318915758459e-06
6.08,237.0,2.4657656011875905e-06
6.36,237.0,2.5219040425836984e-06
6.63,236.0,2.5748786379167463e-06
6.91,236.0,2.6286878856189832e-06
7.19,235.0,2.6814175355583845e-06
7.27,234.0,2.6962937525425527e-06
7.46,234.0,2.7313000567495325e-06
8.02,231.0,2.8319604517012594e-06
8.29,229.0,2.8792360097775936e-06
8.56,228.0,2.9257477676655586e-06
8.84,226.0,2.973213749463701e-06
9.12,224.0,3.0199337741082995e-06
9.69,221.0,3.112876483254676e-06
12.11,216.0,3.4799425282610628e-06
14.58,220.0,3.818376618407356e-06
14.68,220.0,3.831448812133603e-06
15.2,221.0,3.898717737923585e-06
15.5,221.0,3.9370039370059055e-06
15.71,221.0,3.963584236521283e-06
16.02,221.0,4.0024992192379e-06
16.32,221.0,4.039801975344831e-06
16.53,221.0,4.065710270051224e-06
16.84,221.0,4.103656905736638e-06
16.94,221.0,4.115823125451336e-06
19.4,218.0,4.404543109109048e-06
21.77,216.0,4.665833258915282e-06
24.23,215.0,4.922397789695587e-06
26.69,212.0,5.166236541235796e-06
29.06,208.0,5.390732788777422e-06
31.52,209.0,5.6142675390472795e-06
36.34,220.0,6.028266749240614e-06
40.04,220.0,6.3277168078225495e-06
