r_kpc,v_obs,v_model
0.25,4.25,138.7587048620341
0.41,6.84,136.59879142797558
0.57,9.56,157.5043453011789
0.74,12.3,167.5019472946194
0.9,15.1,159.75594711998625
1.07,17.5,158.7318503426253
1.24,19.7,142.23205305407978
1.4,21.8,111.49370951499232
1.57,24.4,92.1539571794424
1.72,27.3,73.6381433580923
1.89,30.3,21.995360251998974
2.06,32.6,1.4352700094407324e-06
2.46,33.3,1.5684387141358121e-06
2.79,34.6,1.6703293088490067e-06
3.13,34.2,1.769180601295413e-06
