r_kpc,v_obs,v_model
1.23,28.7,43.658901419355225
1.84,37.6,1.3564659966250537e-06
2.46,43.1,1.5684387141358121e-06
3.07,50.1,1.752141546793523e-06
3.68,58.1,1.918332609325088e-06
4.3,64.6,2.073644135332772e-06
4.91,68.5,2.2158519806160336e-06
5.52,72.3,2.349468024894146e-06
6.14,74.2,2.477902338672773e-06
6.75,78.9,2.598076211353316e-06
7.37,82.4,2.7147743920996455e-06
7.98,84.3,2.824889378365107e-06
8.59,85.4,2.930870177950569e-06
9.21,85.3,3.0347981810987037e-06
9.82,86.8,3.1336879231984794e-06
10.43,85.4,3.2295510523910284e-06
11.05,85.4,3.3241540277189324e-06
11.66,86.2,3.4146742157927744e-06
12.28,86.1,3.504283093587046e-06
12.89,87.4,3.5902646142032484e-06
13.5,86.5,43.28154195296159
