r_kpc,v_obs,v_model
0.85,10.3,94.53380146589672
1.14,12.9,83.4197468529709
1.42,16.4,67.1383534252931
1.71,18.6,71.04647883777335
1.99,19.8,53.28139350042126
2.28,26.1,25.679355001350526
2.55,27.7,10.175960394717011
2.84,29.7,1.6852299546352715e-06
3.13,33.0,1.769180601295413e-06
3.41,34.8,1.8466185312619388e-06
3.7,35.0,1.9235384061671345e-06
3.98,39.0,1.9949937343260004e-06
4.26,35.9,65.48742495793229
4.55,40.0,90.63403958584234
4.84,38.7,78.01622483819276
5.12,41.8,37.34181015261437
5.41,42.9,32.421610268982974
5.68,44.4,44.82417137233263
5.97,46.1,41.156370764519316
6.26,49.0,40.75965432450764
6.54,51.9,2.5573423705088845e-06
6.83,53.1,2.613426869074396e-06
7.1,54.0,2.6645825188948456e-06
7.39,55.9,2.718455443813637e-06
7.68,58.8,24.944934183641337
7.96,57.3,11.695195375091359
8.25,54.0,2.8722813232690144e-06
8.52,63.8,2.918903903865285e-06
8.81,60.5,2.968164415931166e-06
9.1,61.0,24.05206143812631
9.38,66.0,46.833065714535735
9.67,65.2,35.37504548953312
9.96,67.1,13.935003393742512
10.23,67.5,32.722514875025375
