r_kpc,v_obs,v_model
0.25,3.17,596.97849397689
0.5,10.5,515.6531877806302
0.75,17.5,491.34816248628647
1.0,22.7,493.8042008490373
1.26,29.7,154.06709106167625
1.5,34.5,1.224744871391589e-06
1.76,36.0,1.32664991614216e-06
2.01,37.3,1.4177446878757825e-06
2.26,35.6,1.5033296378372907e-06
2.51,34.9,175.32030327504572
2.76,32.7,189.75460220640238
3.01,32.8,1.7349351572897472e-06
3.27,33.2,1.8083141320025124e-06
3.51,32.1,1.8734993995195194e-06
3.76,30.1,1.9390719429665314e-06
4.02,32.3,2.004993765576342e-06
4.26,33.6,2.063976744055029e-06
4.52,35.1,2.1260291625469298e-06
4.77,35.3,2.1840329667841553e-06
5.02,35.2,2.2405356502408076e-06
5.27,34.6,2.295648056649799e-06
5.52,33.0,2.349468024894146e-06
