r_kpc,v_obs,v_model
0.34,13.5,5.8309518948453e-07
0.67,31.3,8.18535277187245e-07
1.0,35.3,1e-06
1.34,50.5,1.1575836902790227e-06
1.68,61.0,1.296148139681572e-06
2.01,66.5,1.4177446878757825e-06
2.34,74.4,1.5297058540778353e-06
2.67,83.0,1.6340134638368192e-06
3.01,86.4,1.7349351572897472e-06
3.35,83.6,1.8303005217723127e-06
3.68,79.8,1.918332609325088e-06
4.02,82.8,2.004993765576342e-06
4.35,83.5,2.085665361461421e-06
4.68,80.4,2.1633307652783933e-06
5.02,80.3,2.2405356502408076e-06
5.35,82.1,2.3130067012440753e-06
5.69,82.4,2.3853720883753127e-06
6.03,80.9,2.455605831561735e-06
6.36,79.0,2.5219040425836984e-06
6.69,81.4,2.5865034312755127e-06
7.02,79.7,2.649528259898354e-06
7.36,77.5,2.7129319932501075e-06
7.7,79.9,2.7748873851023218e-06
8.03,81.5,2.8337254630609506e-06
8.37,82.2,2.893095228297886e-06
8.7,82.0,2.9495762407505253e-06
9.03,84.7,3.0049958402633436e-06
9.37,86.1,3.061045573002793e-06
9.7,85.3,3.1144823004794873e-06
10.04,86.5,3.1685959035509717e-06
