r_kpc,v_obs,v_model
0.12,6.48,3.4641016151377545e-07
0.19,8.6,4.3588989435406735e-07
0.26,10.2,163.84889127090585
0.33,11.7,156.19781129303985
0.4,12.7,160.35629766666156
0.47,14.1,185.28912122113672
0.55,16.0,204.97663161728838
0.62,18.1,208.52317849500903
0.69,21.2,194.12319602058122
0.76,21.6,194.00632612976386
0.83,23.3,172.90996004674582
0.9,24.5,124.03199965356188
0.97,24.4,98.81994974693417
1.04,25.3,69.28598135451344
1.11,25.4,1.053565375285274e-06
1.19,25.9,1.0908712114635715e-06
1.26,26.7,1.1224972160321825e-06
1.33,27.1,1.1532562594670797e-06
1.4,28.6,1.1832159566199231e-06
1.48,28.9,1.2165525060596438e-06
1.55,30.4,1.2449899597988732e-06
1.62,30.8,1.2727922061357855e-06
1.69,30.5,1.3e-06
1.75,33.0,1.3228756555322954e-06
1.83,32.1,1.3527749258468684e-06
1.9,32.9,1.3784048752090221e-06
1.97,34.2,1.4035668847618199e-06
2.04,32.6,1.4282856857085702e-06
2.11,33.7,1.4525839046333949e-06
2.19,33.8,1.479864858694874e-06
2.26,34.9,1.5033296378372907e-06
2.33,36.1,1.5264337522473749e-06
2.4,37.2,1.5491933384829666e-06
2.48,37.6,1.5748015748023623e-06
2.55,35.6,1.596871942267131e-06
2.62,38.3,1.6186414056238645e-06
