r_kpc,v_obs,v_model
0.32,44.0,5.656854249492381e-07
0.64,64.0,8e-07
0.96,128.0,9.797958971132711e-07
1.28,148.0,1.1313708498984761e-06
1.6,157.0,1.2649110640673517e-06
1.92,189.0,1.3856406460551018e-06
2.24,195.0,4144.454239896253
2.56,201.0,3229.5155959296703
2.88,214.0,1.697056274847714e-06
3.2,215.0,1.7888543819998317e-06
3.52,215.0,1.8761663039293717e-06
3.84,216.0,1.9595917942265423e-06
4.8,214.0,2.190890230020664e-06
5.76,210.0,2.4e-06
6.72,205.0,2.592296279363144e-06
7.68,203.0,2.7712812921102036e-06
8.64,201.0,2.9393876913398136e-06
9.6,201.0,3.0983866769659333e-06
10.56,199.0,3.2496153618543843e-06
11.52,197.0,3.394112549695428e-06
12.48,196.0,3.5327043465311387e-06
13.44,193.0,3.666060555964672e-06
14.4,190.0,3.794733192202055e-06
15.36,188.0,3.9191835884530846e-06
16.32,187.0,4.039801975344831e-06
17.28,188.0,4.156921938165306e-06
18.24,186.0,4.270831300812524e-06
19.2,185.0,4.381780460041328e-06
20.16,185.0,4.48998886412873e-06
21.12,181.0,4.595650117230423e-06
22.08,178.0,4.698936049788292e-06
23.04,177.0,4.8e-06
24.0,182.0,4.898979485566356e-06
24.96,180.0,4.995998398718719e-06
