r_kpc,v_obs,v_model
0.28,11.9,374.85536302499474
0.87,34.8,347.2459132919417
1.46,58.5,285.96051806167486
2.05,81.5,211.44118365726217
2.35,91.8,1.532970971675589e-06
4.76,114.0,2.181742422927143e-06
7.86,116.0,2.8035691537752375e-06
8.7,117.0,2.9495762407505253e-06
10.18,118.0,3.190611226708763e-06
10.47,118.0,3.2357379374726872e-06
