r_kpc,v_obs,v_model
0.23,6.81,718.3807763042761
0.69,20.0,635.8571820701204
1.15,33.0,425.5028644701758
1.59,42.7,99.88575039171026
2.05,49.9,1.4317821063276352e-06
2.51,55.5,1.5842979517754859e-06
2.97,61.9,1.7233687939614085e-06
3.42,67.9,1.849324200890693e-06
3.88,73.1,1.9697715603592207e-06
4.34,76.1,2.083266665599966e-06
4.79,77.8,2.1886068628239286e-06
5.24,79.0,2.2891046284519193e-06
5.7,78.5,2.3874672772626643e-06
6.16,79.8,2.4819347291981714e-06
7.16,83.4,2.6758176320519306e-06
7.52,84.6,2.7422618401604175e-06
7.98,86.1,2.824889378365107e-06
8.44,87.5,2.9051678092667897e-06
8.9,89.0,2.9832867780352594e-06
9.35,90.4,3.0577769702841307e-06
9.62,91.2,3.1016124838541647e-06
