r_kpc,v_obs,v_model
0.91,33.1,9.539392014169457e-07
1.36,46.7,1.16619037896906e-06
1.82,53.9,1.349073756323204e-06
2.27,58.8,1.5066519173319362e-06
2.72,65.6,1.6492422502470642e-06
3.17,70.8,1.7804493814764855e-06
3.63,82.1,1.905255888325765e-06
4.08,84.1,2.0199009876724156e-06
4.54,83.4,2.1307275752662516e-06
4.99,81.5,2.233830790368868e-06
5.45,80.8,2.3345235059857506e-06
5.9,82.8,2.428991560298224e-06
6.36,88.2,2.5219040425836984e-06
6.81,88.5,2.6095976701399775e-06
7.26,88.4,2.6944387170614956e-06
7.71,88.2,2.776688675382964e-06
8.17,89.5,2.8583211855912903e-06
8.62,89.7,2.9359836511806395e-06
9.07,93.7,3.0116440692751195e-06
9.53,97.0,3.0870698080866263e-06
9.96,96.2,3.1559467676119e-06
10.45,94.8,3.2326459750489223e-06
10.93,92.5,3.306055050963308e-06
11.32,92.8,3.3645207682521444e-06
11.8,93.5,3.4351128074635336e-06
