r_kpc,v_obs,v_model
0.58,31.3,7.615773105863907e-07
1.16,54.8,1.0770329614269008e-06
1.74,61.1,1.3190905958272919e-06
2.33,63.9,1.5264337522473749e-06
2.91,67.2,1.705872210923198e-06
3.49,70.4,1.8681541692269405e-06
4.07,73.7,2.0174241001832015e-06
4.65,78.0,2.1563858652847827e-06
5.23,80.8,2.286919325205854e-06
5.81,80.5,2.41039415863879e-06
6.4,81.3,2.5298221281347034e-06
6.98,82.1,2.6419689627245813e-06
7.62,82.8,2.7604347483684523e-06
8.28,84.9,2.8774989139876317e-06
8.9,84.3,2.9832867780352594e-06
9.52,83.2,3.0854497241083026e-06
10.22,80.1,3.196873472629156e-06
